CV,test_start,test_end,model,best_params,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-07,2019-05-05,SVMC,"{'C': 0.17959807013561865, 'gamma': 0.19226038331757522, 'kernel': 'rbf', 'degree': 4}",True,btc_LogReturn_binary,"['btc_LogReturn', '02_market-cap_LogReturn', '13_transaction-fees_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn']",1,0,480,60,60,0.7744107744107743,0.6849315068493151,0.5150375939849624,0.5507246376811593,0.49009009009009014,0.5641025641025641,0.75139146567718,0.6166666666666667,0.5213358070500927,0.48333333333333334,0.4749536178107607,0.43333333333333335,5.575604586509657,0.38574073216427074,0.842809273854563,0.2156865251566451,0.2015992336311836,0.26514824684914196,-0.11804797756272123,0.41615629238502017,25.36945984799999,2021_03_20_20_00
2,2019-05-06,2019-07-04,SVMC,"{'C': 0.007755541171836952, 'gamma': 8.40942473519642e-06, 'kernel': 'linear', 'degree': 1}",True,btc_LogReturn_binary,"['btc_LogReturn', '02_market-cap_LogReturn', '07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn']",1,0,480,60,60,0.7378335949764521,0.7948717948717949,0.52994555353902,0.5454545454545454,0.4867724867724868,0.7105263157894737,0.6901669758812616,0.7333333333333333,0.5194805194805194,0.5,0.4601113172541744,0.6333333333333333,4.698555531757366,1.0972217992828739,0.030421963766167792,0.34203214440747765,0.1331939170380263,0.5752236833564002,-0.14945210117727292,0.6470433349101583,25.34642366,2021_03_20_20_00
3,2019-07-05,2019-09-02,SVMC,"{'C': 0.2568960507693296, 'gamma': 0.06071475810953853, 'kernel': 'linear', 'degree': 2}",True,btc_LogReturn_binary,"['btc_LogReturn', '02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn']",1,0,480,60,60,0.7556325823223571,0.7796610169491527,0.5534150612959721,0.53125,0.49469964664310956,0.5,0.738404452690167,0.7833333333333333,0.5269016697588126,0.5,0.46938775510204084,0.5,5.056574151753095,0.5213626920499408,0.11157732294246614,-0.156924574168249,-0.23640187070135177,0.048217561623284055,-0.2897541579864047,-0.11817755565157384,22.39511960500002,2021_03_20_20_00
4,2019-09-03,2019-11-01,SVMC,"{'C': 0.2568960507693296, 'gamma': 0.06071475810953853, 'kernel': 'linear', 'degree': 2}",True,btc_LogReturn_binary,"['btc_LogReturn', '02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn']",1,0,480,60,60,0.7753001715265868,0.5614035087719297,0.5166959578207382,0.5357142857142857,0.4964788732394366,0.3829787234042554,0.7569573283858998,0.5833333333333334,0.4897959183673469,0.5666666666666667,0.46938775510204084,0.5166666666666667,4.755647640587441,0.31222931571594437,-0.1518382634251143,0.02149351002022115,0.12781385142677237,0.042275535717022805,0.08967025434819043,-0.046501467890543324,23.294639036000007,2021_03_20_20_00
5,2019-11-02,2019-12-31,SVMC,"{'C': 0.17959807013561865, 'gamma': 0.19226038331757522, 'kernel': 'rbf', 'degree': 4}",True,btc_LogReturn_binary,"['btc_LogReturn', '02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn']",1,0,480,60,60,0.7400722021660651,0.7272727272727274,0.5116279069767442,0.4150943396226415,0.4927536231884058,0.34615384615384615,0.7328385899814471,0.75,0.4935064935064935,0.48333333333333334,0.4805194805194805,0.43333333333333335,4.376667532700948,0.2625334826449812,-0.127532927051476,-0.1997729769565666,0.3564028825551233,-0.2432192318233639,-0.015776706394234452,-0.21582447156333018,20.607824546000018,2021_03_20_20_00
6,2020-01-01,2020-02-29,SVMC,"{'C': 0.2568960507693296, 'gamma': 0.06071475810953853, 'kernel': 'linear', 'degree': 2}",True,btc_LogReturn_binary,"['btc_LogReturn', '02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",1,0,480,60,60,0.7681159420289856,0.875,0.4866920152091255,0.5,0.4889705882352941,0.40625,0.7625231910946196,0.8666666666666667,0.49907235621521334,0.4666666666666667,0.4842300556586271,0.36666666666666664,4.654936704346202,0.7003519589275538,0.1451153047950875,-0.016189765857504312,0.2765569689168643,-0.10386611822495162,0.0937971826780597,0.17576645422199455,23.056692722999998,2021_03_20_20_00
7,2020-03-01,2020-04-29,SVMC,"{'C': 0.08269973724389335, 'gamma': 0.38998382041487667, 'kernel': 'linear', 'degree': 1}",True,btc_LogReturn_binary,"['btc_LogReturn', '02_market-cap_LogReturn', '15_fees-usd-per-transaction_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",1,0,480,60,60,0.790035587188612,0.7272727272727272,0.5153153153153153,0.5806451612903226,0.47619047619047616,0.5,0.7810760667903525,0.7,0.5009276437847866,0.5666666666666667,0.46938775510204084,0.43333333333333335,4.8976699377315835,0.9228408323449422,0.4507858558524873,-0.11923568102490023,0.1015932729936786,-0.42241421750622266,0.30326246709297777,-0.12234757943435604,26.856706828,2021_03_20_20_00
8,2020-04-30,2020-06-28,SVMC,"{'C': 0.1611956391928103, 'gamma': 0.0012569393191973217, 'kernel': 'rbf', 'degree': 4}",True,btc_LogReturn_binary,"['btc_LogReturn', '02_market-cap_LogReturn', '15_fees-usd-per-transaction_LogReturn', '25_utxo-count_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",1,0,480,60,60,0.7193675889328063,0.7045454545454546,0.5249537892791128,0.5901639344262296,0.47755834829443444,0.46875,0.6048237476808905,0.5666666666666667,0.5231910946196661,0.5833333333333334,0.4601113172541744,0.43333333333333335,3.0680514112691935,0.27965061630939125,0.9177361435118403,0.3622375792911239,-0.43811886332736094,-0.064197121127334,0.19071795589836427,0.16129539949523064,27.052077327000006,2021_03_20_20_00
9,2020-06-29,2020-08-27,SVMC,"{'C': 0.4183303603568941, 'gamma': 0.04346441909494977, 'kernel': 'poly', 'degree': 5}",True,btc_LogReturn_binary,"['btc_LogReturn', '02_market-cap_LogReturn', '04_blocks-size_LogReturn', '15_fees-usd-per-transaction_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'USDT_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",1,0,480,60,60,0.7103274559193955,0.7499999999999999,0.4864864864864865,0.5074626865671641,0.48936170212765956,0.39436619718309857,0.5732838589981447,0.6,0.4712430426716141,0.45,0.46567717996289426,0.2833333333333333,2.767727831556284,0.24178729152327882,-0.023956594441090218,0.03568358658582049,-0.005457986390702274,-0.045932632653407524,0.8642989173844846,0.21384586448402665,26.397005379000007,2021_03_20_20_00
10,2020-08-28,2020-10-26,SVMC,"{'C': 0.2568960507693296, 'gamma': 0.06071475810953853, 'kernel': 'linear', 'degree': 2}",True,btc_LogReturn_binary,"['btc_LogReturn', '02_market-cap_LogReturn', '15_fees-usd-per-transaction_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",1,0,480,60,60,0.7630252100840336,0.7532467532467532,0.5432098765432098,0.5084745762711865,0.4844290657439446,0.5205479452054794,0.738404452690167,0.6833333333333333,0.5194805194805194,0.5166666666666667,0.44712430426716143,0.4166666666666667,5.632525305061241,0.17593967917181352,0.7027742683792013,0.037259627428616326,0.05004877776427463,0.0428293615422195,1.0741012469762943,0.14666336540875768,24.16343795199998,2021_03_20_20_00
