CV,test_start,test_end,model,best_params,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-09,2019-05-07,Logistic,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 0.001059369130932664}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'BNB_Volume_LogReturn', 'XEM_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn']",3,0,480,60,60,0.7243589743589745,0.8,0.49077490774907745,0.5789473684210527,0.5009074410163339,0.75,0.6797020484171322,0.7,0.4860335195530726,0.4666666666666667,0.48789571694599626,0.6333333333333333,8.085957444543492,1.1278135000155132,0.3129018523479328,0.7815114714285887,0.26534744322859183,0.890343168770471,-0.21587233246512838,1.091236501192327,25.149661320999257,2021_03_19_20_09
2,2019-05-08,2019-07-06,Logistic,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.06218696060441329}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '17_cost-per-transaction_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn']",3,0,480,60,60,0.7028862478777589,0.7179487179487181,0.524822695035461,0.5675675675675675,0.5311942959001782,0.6829268292682927,0.6741154562383612,0.6333333333333333,0.5009310986964618,0.4666666666666667,0.5102420856610801,0.5666666666666667,7.121710648080882,2.048494748899026,1.3756327070108707,1.2083569976832056,0.316150767054971,1.4993503238937294,-0.4123937054345923,2.0221645590091075,23.886959362999733,2021_03_19_20_09
3,2019-07-07,2019-09-04,Logistic,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 0.001135512345884182}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'USDT_Volume_LogReturn', 'BCH_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn']",3,0,480,60,60,0.7206106870229007,0.7352941176470589,0.472998137802607,0.5333333333333333,0.5266903914590747,0.4642857142857143,0.659217877094972,0.7,0.4729981378026071,0.5333333333333333,0.5046554934823091,0.5,6.288905424691752,0.7645241399647631,-0.9380980335041489,0.29692184112902886,0.08459310985625201,-0.0050596218463017095,-0.8439880140924991,-0.34163160280751903,24.846470069000134,2021_03_19_20_09
4,2019-09-05,2019-11-03,Logistic,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.0011325853847739024}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'USDT_Volume_LogReturn', 'BCH_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn']",3,0,480,60,60,0.6842105263157895,0.5283018867924528,0.5018587360594796,0.4363636363636364,0.5268817204301075,0.34615384615384615,0.664804469273743,0.5833333333333334,0.5009310986964618,0.48333333333333334,0.5083798882681564,0.43333333333333335,7.002732818337401,0.30708129710623844,0.2327621862570055,-0.09472436291091668,1.0933224649404991,-0.18253344560869067,0.13185063525680363,-0.09013692345399882,22.348438457000157,2021_03_19_20_09
5,2019-11-04,2020-01-02,Logistic,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 0.001966123239802328}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'USDT_Volume_LogReturn', 'BCH_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn']",3,0,480,60,60,0.6848381601362863,0.5517241379310345,0.4848484848484849,0.36000000000000004,0.5163636363636364,0.2790697674418604,0.6554934823091247,0.5666666666666667,0.4618249534450652,0.4666666666666667,0.5046554934823091,0.48333333333333334,6.3423955365470945,-0.10184948111391989,-0.7802606900731632,-0.4662422021246009,1.0423225720631564,-0.42738259012058855,0.12285786911648167,-0.713070978957365,21.262252041000465,2021_03_19_20_09
6,2020-01-03,2020-03-02,Logistic,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 0.001966123239802328}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn']",3,0,480,60,60,0.6607142857142857,0.7164179104477613,0.4861878453038674,0.6031746031746033,0.5074074074074074,0.5757575757575758,0.6461824953445066,0.6833333333333333,0.48044692737430167,0.5833333333333334,0.5046554934823091,0.5333333333333333,5.457618638813679,0.9486757283595946,-0.6315339420873229,0.2733272936746971,1.3512816804573369,0.2603043669801064,0.31724534283215355,0.6116306024659952,22.730858646999877,2021_03_19_20_09
7,2020-03-03,2020-05-01,Logistic,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.06218696060441329}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '04_blocks-size_LogReturn', '07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",3,0,480,60,60,0.6865671641791045,0.6349206349206348,0.4907749077490775,0.5217391304347826,0.49723756906077354,0.6027397260273972,0.6871508379888268,0.6166666666666667,0.4860335195530726,0.45,0.49162011173184356,0.5166666666666667,6.678579348683016,0.7089671137801581,0.20391595196832668,-0.7256763066919127,1.3560888141096648,0.2827392427437818,1.0290188980959023,-0.4637996829294089,22.508849656000166,2021_03_19_20_09
8,2020-05-02,2020-06-30,Logistic,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 0.0011714793058197428}",True,btc_LogReturn_binary,"['04_blocks-size_LogReturn', '07_n-transactions-total_LogReturn', '15_fees-usd-per-transaction_LogReturn', '29_mvrv_LogReturn', '31_nvts_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",3,0,480,60,60,0.7264,0.6470588235294118,0.5247706422018349,0.48484848484848486,0.5215827338129496,0.5454545454545455,0.6815642458100558,0.6,0.5176908752327747,0.43333333333333335,0.5046554934823091,0.5,7.345195651801127,0.6412060937231967,0.507113291389647,-0.20092660253277295,1.8653953661828382,-0.08865001851382459,0.5074429960172857,0.5497663902451588,22.983034756000052,2021_03_19_20_09
9,2020-07-01,2020-08-29,Logistic,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 0.0011714793058197428}",True,btc_LogReturn_binary,"['07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",3,0,480,60,60,0.7270194986072424,0.7441860465116279,0.5319148936170213,0.5161290322580645,0.535405872193437,0.4857142857142857,0.6350093109869647,0.6333333333333333,0.5083798882681564,0.5,0.49906890130353815,0.4,6.818244565006312,0.7332867928663731,1.7853422470049036,0.4236825802630353,1.9033557878796064,0.4139441967295774,2.567686245995981,0.6832773026714971,21.36349777400028,2021_03_19_20_09
10,2020-08-30,2020-10-28,Logistic,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 0.001135512345884182}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '04_blocks-size_LogReturn', '07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn']",3,0,480,60,60,0.7449933244325767,0.7727272727272728,0.5244122965641953,0.6578947368421052,0.5491525423728814,0.6052631578947368,0.6443202979515829,0.6666666666666666,0.5102420856610801,0.5666666666666667,0.5046554934823091,0.5,7.491407338043473,0.5852220336053584,1.6794910482036087,0.2515185333723071,2.612689049810985,0.23269532278685467,3.281746038584288,0.35091494449700633,21.342014343999836,2021_03_19_20_09
