Date,topic_counts
2017-07-12,"[5, 9, 92, 44, 3, 17, 2, 0, 1, 8, 14, 10, 83, 269, 24, 18, 4, 1, 8, 86, 1, 13, 258, 54, 7, 33, 34, 4, 39, 4, 12, 0, 92, 4, 26, 49, 40, 4, 41, 13, 13, 6, 14, 0, 3, 1, 10, 8, 107, 137, 24, 7, 0, 0, 3, 14, 87, 13, 6, 5, 166, 0, 24, 458, 18, 99, 8, 29, 46, 4, 22, 12, 520, 2, 10, 180, 1, 160, 0, 143, 2, 4, 0, 77, 7, 0, 380, 88, 14, 18, 0, 52, 230]"
2017-07-13,"[4, 11, 74, 24, 1, 25, 3, 1, 0, 9, 1, 7, 85, 232, 11, 4, 7, 2, 17, 59, 0, 9, 201, 61, 12, 43, 38, 7, 42, 8, 8, 0, 76, 9, 16, 45, 26, 3, 46, 6, 3, 13, 6, 1, 2, 3, 21, 2, 95, 132, 22, 5, 0, 4, 1, 16, 87, 5, 6, 4, 136, 0, 19, 339, 10, 86, 12, 35, 20, 23, 9, 2, 493, 1, 7, 155, 11, 148, 1, 129, 1, 3, 0, 41, 3, 0, 329, 79, 10, 26, 0, 63, 197]"
2017-07-14,"[4, 12, 80, 27, 3, 9, 6, 2, 0, 8, 5, 6, 100, 193, 10, 7, 6, 1, 15, 79, 8, 11, 188, 56, 11, 26, 23, 7, 39, 6, 9, 0, 80, 3, 24, 33, 26, 2, 56, 7, 12, 1, 9, 3, 2, 7, 23, 0, 91, 150, 21, 18, 0, 5, 10, 7, 90, 5, 11, 0, 144, 0, 21, 308, 13, 87, 9, 25, 41, 9, 16, 1, 461, 0, 9, 163, 37, 154, 2, 146, 2, 2, 0, 47, 5, 0, 340, 61, 13, 19, 0, 54, 195]"
2017-07-15,"[0, 4, 24, 26, 5, 11, 5, 1, 2, 7, 2, 9, 125, 113, 10, 6, 10, 4, 7, 62, 0, 5, 178, 28, 13, 19, 46, 5, 54, 9, 9, 0, 25, 8, 15, 33, 10, 0, 68, 5, 15, 1, 10, 3, 2, 2, 7, 0, 44, 103, 16, 17, 1, 1, 8, 7, 19, 17, 1, 2, 121, 0, 17, 169, 17, 75, 13, 25, 12, 36, 1, 2, 322, 0, 6, 152, 6, 114, 7, 87, 2, 0, 0, 50, 2, 0, 319, 26, 3, 13, 0, 55, 212]"
2017-07-16,"[0, 7, 23, 24, 4, 7, 12, 0, 4, 18, 1, 15, 91, 115, 19, 10, 6, 2, 8, 56, 6, 12, 210, 49, 17, 16, 36, 5, 34, 15, 12, 0, 23, 7, 19, 31, 30, 3, 47, 9, 9, 2, 15, 1, 3, 2, 10, 1, 69, 128, 7, 1, 0, 3, 1, 15, 24, 10, 0, 1, 115, 0, 20, 213, 17, 105, 10, 20, 12, 19, 1, 2, 376, 0, 10, 135, 1, 145, 3, 118, 2, 2, 0, 65, 3, 0, 417, 48, 0, 5, 0, 33, 223]"
2017-07-17,"[9, 11, 25, 24, 5, 20, 9, 0, 4, 14, 2, 18, 164, 224, 17, 6, 7, 4, 21, 96, 2, 9, 212, 51, 6, 37, 51, 22, 40, 7, 8, 0, 26, 16, 20, 54, 53, 2, 90, 12, 9, 3, 8, 3, 5, 1, 12, 2, 77, 143, 19, 8, 1, 0, 6, 10, 45, 3, 19, 1, 110, 0, 20, 277, 13, 151, 11, 36, 40, 11, 3, 11, 557, 2, 10, 219, 0, 129, 2, 145, 4, 3, 0, 52, 5, 1, 465, 100, 1, 13, 0, 71, 232]"
2017-07-18,"[10, 13, 24, 23, 1, 11, 4, 1, 2, 5, 1, 13, 138, 200, 17, 11, 6, 3, 29, 78, 2, 7, 217, 45, 6, 49, 22, 7, 69, 16, 3, 0, 24, 3, 14, 51, 46, 1, 77, 12, 6, 4, 11, 4, 9, 6, 7, 1, 76, 149, 36, 7, 0, 2, 2, 13, 65, 10, 11, 5, 113, 1, 13, 316, 20, 141, 9, 40, 54, 15, 4, 13, 566, 0, 12, 189, 0, 159, 3, 165, 3, 2, 0, 43, 3, 1, 460, 87, 3, 15, 1, 58, 211]"
2017-07-19,"[28, 5, 22, 31, 8, 15, 8, 0, 1, 4, 1, 6, 106, 191, 16, 20, 4, 3, 23, 117, 2, 11, 247, 40, 10, 36, 24, 20, 41, 28, 8, 0, 25, 7, 23, 54, 29, 1, 46, 7, 4, 4, 12, 5, 4, 3, 33, 1, 87, 151, 22, 18, 0, 0, 2, 5, 45, 6, 4, 1, 121, 0, 30, 325, 19, 122, 20, 35, 54, 6, 0, 0, 545, 2, 5, 168, 3, 137, 4, 139, 0, 3, 0, 44, 3, 0, 389, 78, 5, 10, 1, 63, 189]"
2017-07-20,"[18, 11, 54, 33, 6, 17, 18, 0, 3, 5, 7, 18, 282, 246, 14, 9, 1, 1, 29, 131, 3, 13, 312, 96, 15, 40, 45, 19, 99, 20, 12, 0, 57, 8, 34, 42, 47, 3, 179, 16, 11, 0, 27, 3, 0, 3, 15, 1, 157, 195, 39, 1, 1, 5, 0, 14, 65, 18, 15, 10, 139, 1, 40, 393, 15, 124, 11, 32, 23, 8, 1, 2, 618, 1, 8, 345, 1, 189, 2, 212, 1, 3, 0, 74, 16, 0, 705, 74, 4, 31, 1, 72, 256]"
2017-07-21,"[15, 10, 48, 17, 3, 21, 7, 3, 2, 2, 1, 10, 121, 163, 13, 8, 4, 4, 9, 121, 3, 31, 201, 65, 6, 24, 15, 9, 44, 8, 8, 1, 48, 3, 29, 22, 34, 5, 80, 15, 10, 1, 15, 3, 4, 4, 9, 2, 69, 182, 29, 1, 1, 3, 1, 8, 33, 8, 7, 3, 113, 0, 19, 294, 15, 128, 11, 25, 34, 6, 2, 0, 486, 4, 11, 248, 3, 168, 8, 137, 0, 4, 0, 46, 3, 1, 485, 63, 4, 23, 0, 59, 184]"
2017-07-22,"[6, 10, 19, 20, 6, 12, 7, 0, 0, 4, 3, 10, 100, 147, 10, 7, 2, 2, 6, 52, 0, 7, 205, 37, 5, 20, 24, 5, 29, 15, 8, 0, 24, 3, 21, 56, 27, 3, 50, 6, 11, 1, 12, 0, 2, 4, 10, 1, 53, 117, 12, 6, 1, 3, 0, 2, 35, 4, 3, 3, 118, 0, 26, 228, 12, 94, 10, 19, 25, 4, 1, 2, 373, 2, 9, 158, 1, 119, 3, 113, 2, 2, 0, 42, 9, 0, 293, 52, 2, 24, 0, 36, 159]"
2017-07-23,"[9, 13, 14, 26, 0, 13, 4, 0, 1, 1, 2, 9, 91, 136, 28, 9, 4, 3, 13, 55, 0, 11, 192, 33, 8, 21, 14, 5, 42, 17, 3, 0, 14, 5, 16, 49, 22, 4, 64, 11, 4, 1, 18, 2, 2, 0, 8, 1, 63, 102, 18, 4, 1, 0, 0, 5, 68, 7, 4, 3, 120, 0, 37, 250, 21, 106, 11, 18, 19, 7, 3, 0, 382, 1, 7, 175, 2, 133, 0, 118, 2, 0, 0, 56, 5, 0, 280, 46, 2, 17, 2, 54, 145]"
2017-07-24,"[19, 10, 43, 24, 1, 13, 7, 1, 2, 2, 4, 9, 149, 184, 20, 6, 4, 5, 20, 118, 0, 16, 227, 48, 5, 29, 29, 3, 41, 10, 13, 0, 43, 2, 21, 65, 19, 3, 96, 7, 8, 0, 14, 2, 1, 2, 8, 1, 68, 138, 32, 6, 0, 1, 2, 8, 92, 2, 8, 4, 141, 0, 33, 322, 23, 99, 19, 25, 4, 8, 3, 1, 453, 1, 17, 232, 0, 173, 1, 162, 3, 2, 0, 47, 6, 1, 398, 100, 1, 31, 0, 69, 202]"
