,Logistic,LGBMC,RFC,FNN,BuyAndHolds,Random guess,Naive guess
Logistic,NaN,0.8711971786978729,0.8493181568150783,0.9955319929104424,7.606157773211236e-12,3.055537424665995e-19,2.5763750635177384e-23
LGBMC,0.1288028213021271,NaN,0.35079848878099695,0.7490923633118615,2.4900260141933376e-19,1.780205721048923e-21,7.268130143333146e-24
RFC,0.15068184318492178,0.649201511219003,NaN,0.9025453640945195,2.0129807907926167e-13,7.106289784584035e-19,1.3493880097451854e-26
FNN,0.004468007089557597,0.25090763668813854,0.09745463590548054,NaN,1.0107694848835442e-15,1.2508615868570635e-19,1.1672053370937631e-26
BuyAndHolds,0.9999999999923939,1.0,0.9999999999997987,0.999999999999999,NaN,0.05431841045886895,0.0004935752188606558
Random guess,1.0,1.0,1.0,1.0,1.0,NaN,0.04874459691105678
Naive guess,1.0,1.0,1.0,1.0,1.0,0.9512554030889432,NaN
