,Logistic,LGBMC,RFC,FNN,BuyAndHolds,Random guess,Naive guess
Logistic,NaN,0.30720208352547346,0.7500569218165848,0.4273685467729437,1.5523592896765845e-10,1.1107288338962304e-17,8.075761741290889e-20
LGBMC,0.6927979164745266,NaN,0.8804482941583803,0.649938825987639,4.5979563276198334e-10,4.597875957064709e-19,2.091645710194339e-18
RFC,0.2499430781834152,0.11955170584161967,NaN,0.22301561279458987,4.641109559024317e-11,1.2213921686036647e-17,1.7035846704635102e-20
FNN,0.5726314532270562,0.35006117401236103,0.7769843872054101,NaN,8.272742541417533e-10,8.520740321902913e-17,2.2103220513037506e-20
BuyAndHolds,0.9999999998447641,0.9999999995402044,0.9999999999535889,0.9999999991727258,NaN,0.003042455783365783,0.0004192205407640299
Random guess,1.0,1.0,1.0,0.9999999999999999,1.0,NaN,0.3722376772148286
Naive guess,1.0,1.0,1.0,1.0,1.0,0.6277623227851714,NaN
