,Variables,count,mean,std,min,50%,max,skewness
0,BCH_Price,1259,522.7881595953955,505.551838809372,77.36577606201172,318.3062744140625,3923.070068359375,2.61258402402243
1,BCH_Volume,1259,1863390278.734313,2121403858.0933723,59280514.0,1316717680.0,29574589033.0,4.172057279692988
2,BNB_Price,1259,18.594202777049766,20.18541225652621,0.6787840127944946,15.581703186035156,332.61602783203125,8.262716128239141
3,BTC_Price,1266,9844.69525276462,7120.791808697568,3216.43,8315.465,56001.2,3.294643297185631
4,EOS_Price,1259,4.669359389636325,3.236452477937509,0.49322500824928284,3.539591073989868,21.542600631713867,1.8327036109412569
5,ETC_Price,1259,10.385793018568311,7.754141671013284,3.4723870754241943,7.022183895111084,44.04750061035156,1.9389227565495042
6,ETH_Price,1259,377.16984167545917,316.76891959020554,84.30829620361328,251.86441040039062,1960.164794921875,2.267964229758529
7,IOTA_Price,1259,0.6687633970055531,0.8113342807834177,0.11019500344991684,0.32374799251556396,5.366330146789551,2.8207969665874577
8,IOTA_Volume,1259,47770890.05599682,121213186.94273572,2895618.0,17449911.0,2126969984.0,8.732878821636774
9,LTC_Price,1259,83.45317776644391,53.772899884164964,23.464330673217773,61.14189910888672,358.33599853515625,1.8849452389426469
10,NEO_Price,1259,25.778207129197426,28.807903481094776,5.377223968505859,15.123636245727539,187.40499877929688,2.542605763577387
11,USDT_Price,1259,1.0023361548627532,0.006859227642256639,0.9666439890861511,1.001397967338562,1.0778800249099731,1.6280047138376228
12,USDT_Volume,1259,23609302102.810963,28562771499.50478,85384600.0,16172223852.0,183670639698.0,2.1202196085490943
13,WAVES_Price,1259,3.304888228346565,2.7642589691986834,0.5334470272064209,2.5087618827819824,16.026599884033203,1.8502788095840168
14,XEM_Price,1259,0.1687999612683574,0.2282728178817717,0.031043000519275665,0.09042300283908844,1.8427200317382812,3.7079309757033907
15,XLM_Price,1259,0.15175897194955845,0.12546260181956814,0.010599999688565731,0.1017410010099411,0.8962270021438599,1.7366483475769787
16,XMR_Price,1259,114.33737678164239,77.3071349001684,33.01032257080078,90.04712677001953,469.197998046875,1.9579838784169736
17,XRP_Price,1259,0.40690870953515185,0.33433084364141236,0.13963499665260315,0.30274099111557007,3.377810001373291,4.270126372355649
18,XRP_Volume,1259,1987727126.1405878,3228303793.6338563,20566500.0,1151157499.0,34974233953.0,4.639489737812649
19,ZEC_Price,1259,131.52681179364774,128.36116866129095,24.504302978515625,70.97054290771484,880.760986328125,2.1100386927558077
20,cost-per-transaction,1266,56.262346447261045,29.096064306761388,17.999770746070197,50.19194670449005,209.43336878458618,1.3670176763260113
21,gbp_usd_Price,881,1.3059781029329938,0.047938142798828555,1.149438500404358,1.3053126335144043,1.4342057704925537,0.13967094360896432
22,gold_Price,861,1474.4979092091771,240.81388431861134,1176.199951171875,1346.0,2051.5,0.7275085709366779
23,market-cap,1265,176328795250.16644,134334857173.20702,55659826957.5,146625637112.5,1068820456600.0,3.356075610368565
24,mempool-count,1266,16153.7577014218,23404.868709446164,0.0,6721.5,171635.5,2.7753388347194554
25,mempool-size,1266,19471608.514020536,29647612.327835534,0.0,5376704.75,136782761.5,1.9773097871966254
26,mvrv,1264,1.762983433760441,0.7062695923526319,0.692798927850688,1.61632461016775,4.47315638915043,1.1805008695522834
27,nvts,1264,14.128728079057415,4.458215558222608,3.8438588495124653,13.60365235540437,24.344938950426002,0.2482705276485023
28,utxo-count,1265,59068638.47114625,7415922.876263629,48861375.0,59435365.5,73196407.0,0.06516672286974678
