,Logistic,LGBMC,RFC,FNN,BuyAndHolds,Random guess,Naive guess
Logistic,NaN,0.05955054888410552,0.25227935550610325,0.11812035737096971,1.2394056591991388e-05,1.4919207849444872e-16,3.1381753300057143e-10
LGBMC,0.9404494511158945,NaN,0.8652131793738769,0.7785092690469897,0.00021884907246795852,4.611534356329335e-13,1.4274977161714756e-07
RFC,0.7477206444938967,0.13478682062612313,NaN,0.3808554587469029,0.0001122419875829928,4.1810908115661093e-13,2.972555668893542e-09
FNN,0.8818796426290303,0.2214907309530103,0.619144541253097,NaN,0.00031844253745436877,1.1218621172428566e-07,1.6528725955068476e-08
BuyAndHolds,0.999987605943408,0.9997811509275321,0.999887758012417,0.9996815574625456,NaN,0.02489361554594115,0.005103922272723056
Random guess,0.9999999999999999,0.9999999999995388,0.9999999999995819,0.9999998878137882,1.0,NaN,0.36321401709777035
Naive guess,0.9999999996861825,0.9999998572502283,0.9999999970274444,0.9999999834712741,1.0,0.6367859829022297,NaN
