n_days_ahead,CV,test_start,test_end
2,1,2019-03-04,2019-05-02
2,2,2019-05-03,2019-07-01
2,3,2019-07-02,2019-08-30
2,4,2019-08-31,2019-10-29
2,5,2019-10-30,2019-12-28
2,6,2019-12-29,2020-02-26
2,7,2020-02-27,2020-04-26
2,8,2020-04-27,2020-06-25
2,9,2020-06-26,2020-08-24
2,10,2020-08-25,2020-10-23
2,11,2020-10-24,2020-12-22
2,12,2020-12-23,2021-02-20
