,model,dataset,test f1,test accuracy,train-valid f1,train-valid accuracy
31,RFC,BlockchainAltcoinMacro,0.7562809607300469,0.7111111111111111,0.9196941733355888,0.9135572139303482
13,LGBMC,BlockchainAltcoinMacro,0.7444036567745834,0.7041666666666666,0.9305944597723648,0.9148009950248756
22,Logistic,BlockchainAltcoinMacro,0.7435616595920805,0.6986111111111111,0.7628817631453861,0.7384950248756219
4,FNN,BlockchainAltcoinMacro,0.7362246743906081,0.7000000000000001,0.7866918579994051,0.7733208955223881
25,Logistic,BlockchainMacro,0.669298488396849,0.6041666666666666,0.6567712706929753,0.5973258706467662
19,Logistic,Blockchain,0.6536286126814038,0.5986111111111111,0.6535016281141162,0.6019900497512438
1,FNN,Blockchain,0.6524170277710262,0.6180555555555556,0.6415136060102153,0.6184701492537313
16,LGBMC,BlockchainMacro,0.6518939750704451,0.5791666666666667,0.7431803693869982,0.6733519900497512
10,LGBMC,Blockchain,0.6433159854105855,0.5722222222222223,0.7541928528967338,0.6921641791044776
7,FNN,BlockchainMacro,0.6429427834461785,0.6069444444444444,0.6483659451553234,0.625
28,RFC,Blockchain,0.6090925827024133,0.5791666666666667,0.8605298418329602,0.8642723880597015
34,RFC,BlockchainMacro,0.6066439355200709,0.5847222222222223,0.8619734124005679,0.8614738805970149
