n_days_ahead,CV,test_start,test_end
1,1,2019-03-03,2019-05-01
1,2,2019-05-02,2019-06-30
1,3,2019-07-01,2019-08-29
1,4,2019-08-30,2019-10-28
1,5,2019-10-29,2019-12-27
1,6,2019-12-28,2020-02-25
1,7,2020-02-26,2020-04-25
1,8,2020-04-26,2020-06-24
1,9,2020-06-25,2020-08-23
1,10,2020-08-24,2020-10-22
1,11,2020-10-23,2020-12-21
1,12,2020-12-22,2021-02-19
