,End of Day,2 days ahead,3 days ahead
Logistic,0.3598760759082829,0.3712682296252866,0.35665666370112253
LGBMC,0.29832589399395665,0.3415843033421692,0.23630529127265956
RFC,0.34420622874541873,0.3964411578358142,0.34139829123356247
FNN,0.3958464349480518,0.35192268127616294,0.32559767549455404
BuyAndHolds,0.0817294355177018,0.12772378838233509,0.14942368542050646
Random guess,0.004638477643122546,0.07486888207398196,0.09001239763945784
Naive guess,0.03374689549254458,0.06356932134805635,0.1336450854689335
