,count,mean,std,min,50%,max,skewness
BCH_Price_LogReturn,1263,0.00015297835453295105,0.06866007097703511,-0.5585401697083929,-0.0018302602511086619,0.4310423202639635,0.009594900814178239
BCH_Volume_LogReturn,1263,0.001497770624162736,0.32327360983909853,-1.2389534639307378,-0.02217193670977835,2.146919354696312,0.8021577898017379
BNB_Price_LogReturn,1263,0.003951037160884303,0.05773053271470726,-0.5027492507511919,0.0008540414781781358,0.5271290114143854,0.7713460846905513
BTC_Price_LogReturn,1263,0.0019766322707839698,0.0436346158316343,-0.49652030778951683,0.0023259445863761385,0.19713635224838022,-1.115026708157965
EOS_Price_LogReturn,1263,0.0009537756296624648,0.053416993803403943,-0.35450817322795847,0.0,0.3043284201842882,0.21884900560448212
ETC_Price_LogReturn,1263,2.2332922456728914e-05,0.055417510772905354,-0.4229544878324243,0.0004567027938153778,0.30037021520103035,-0.8236692233838568
ETH_Price_LogReturn,1263,0.0014832031035507012,0.05220878470358655,-0.5469886823120049,0.0007477268930822234,0.23433516272302146,-1.1067493505773451
IOTA_Price_LogReturn,1263,0.0003517943331189524,0.03101284245172105,-0.30433324966774666,-0.00010077784573805926,0.26728854140033564,0.4749177621088553
IOTA_Volume_LogReturn,1263,0.0009266994971147428,0.38788575998895386,-1.7307227511580106,-0.023436319757141888,1.8254762519196994,0.4488157294806189
LTC_Price_LogReturn,1263,0.0009495104244726554,0.05631182372768517,-0.43766707720534814,0.0,0.3878214323151683,0.09564631087673456
NEO_Price_LogReturn,1263,0.0006061132325153571,0.060026400343326625,-0.4102119138703224,-0.00012886276348478276,0.33447965623038733,0.0418327652564707
USDT_Price_LogReturn,1263,-2.591546777283973e-06,0.002751581864372089,-0.026625398162137714,-4.099186490802431e-05,0.028963743530519337,0.6033986358741904
USDT_Volume_LogReturn,1263,0.004568529596854832,0.23039180756219452,-1.2944939593483582,-0.006339792627805707,1.6359684555650347,0.392629392158555
WAVES_Price_LogReturn,1263,0.0007064436927979671,0.04802838359223559,-0.24924048130887144,0.0,0.32747534749745055,0.21036841897391506
XEM_Price_LogReturn,1263,0.000166998637953869,0.018271874433865656,-0.16126110768243995,0.0,0.28225090929902713,4.381798827972819
XLM_Price_LogReturn,1263,0.0003066879569314061,0.012809119614547292,-0.1040738762930043,-7.67479247841818e-05,0.19212983802032146,3.0181806675574543
XMR_Price_LogReturn,1263,0.0005831775308340054,0.05518158584415155,-0.4827101691308284,0.0,0.2472085628072005,-0.6692141857742789
XRP_Price_LogReturn,1263,0.00019433995200573794,0.024206573591655546,-0.2363760161892623,-0.0002375307492136769,0.279449648611902,1.6277317077246733
XRP_Volume_LogReturn,1263,0.0029855658581564586,0.37461567656780603,-1.9626184383105283,-0.018145138652542414,2.321978211538852,0.6466868729664911
ZEC_Price_LogReturn,1263,-0.00021608605218206443,0.05835884055101325,-0.40056605221705777,-0.0021979855944156412,0.26033503913422074,-0.18696262971198405
cost-per-transaction_LogReturn,1263,0.001218155514217348,0.12246942968604903,-0.7442688019117316,0.007076297367964557,0.4130111469244442,-0.47407694121547955
gbp_usd_Price_LogReturn,1263,2.902385283118675e-05,0.002694004878710009,-0.022691154482926912,0.0,0.0158669502884925,-0.18791734799484666
gold_Price_LogReturn,1263,0.00021979613345050747,0.00790427641508307,-0.051042532285249465,0.0,0.057739281452960256,-0.12885413137716048
market-cap_LogReturn,1263,0.00209996624814909,0.039758651596216124,-0.25770229088771757,0.0017172174257389372,0.20138419692055365,-0.23180035757379333
mempool-count_LogReturn,1263,0.0013728024117098156,1.1551275065575435,-8.61974977974133,-0.009060723531005621,7.189356399867916,0.0067080304501909
mempool-size_LogReturn,1263,0.0015528693650872073,1.4853429392290969,-17.160168963307203,0.004563663593444289,15.919553244636814,-0.25152980020183907
mvrv_LogReturn,1263,0.0002094177665520741,0.02590334418245471,-0.179560671084386,0.00045194960351435665,0.13040551846033832,-0.2561655964862308
nvts_LogReturn,1263,0.00044020911302360507,0.0385607890775699,-0.2827594935906843,0.0009672891759251456,0.1813041557740216,-0.4561542842429501
utxo-count_LogReturn,1263,0.00028217408802533816,0.0017075374831690476,-0.008554420925378281,0.0004989289332080205,0.007025160920949958,-1.1539221494431608
