Timestamp,estimated-transaction-volume-usd
2018-03-20 00:00:00,995164628.417782
2018-03-21 00:00:00,1045367812.30046
2018-03-22 00:00:00,990650088.556166
2018-03-23 00:00:00,942170172.519648
2018-03-24 00:00:00,623816401.961253
2018-03-25 00:00:00,901137748.465333
2018-03-26 00:00:00,1020516865.12928
2018-03-27 00:00:00,947745397.417293
2018-03-28 00:00:00,854240309.445948
2018-03-29 00:00:00,1120831366.94695
2018-03-30 00:00:00,1222424226.86149
2018-03-31 00:00:00,559075148.77362
2018-04-01 00:00:00,580329069.034802
2018-04-02 00:00:00,768333587.034114
2018-04-03 00:00:00,979510265.303481
2018-04-04 00:00:00,788206668.206622
2018-04-05 00:00:00,757321484.524495
2018-04-06 00:00:00,720018556.313689
2018-04-07 00:00:00,653582260.43181
2018-04-08 00:00:00,563967121.149313
2018-04-09 00:00:00,787438242.266748
2018-04-10 00:00:00,812498863.15906
2018-04-11 00:00:00,944639313.553063
2018-04-12 00:00:00,1355733106.53215
2018-04-13 00:00:00,1154400878.6438
2018-04-14 00:00:00,516931824.839407
2018-04-15 00:00:00,557096715.843899
2018-04-16 00:00:00,874622524.380565
2018-04-17 00:00:00,933802321.600287
2018-04-18 00:00:00,826568991.032139
2018-04-19 00:00:00,1375773424.07329
2018-04-20 00:00:00,1105686984.46496
2018-04-21 00:00:00,995169153.726345
2018-04-22 00:00:00,674296002.598428
2018-04-23 00:00:00,1170233453.21339
2018-04-24 00:00:00,1754372889.85276
2018-04-25 00:00:00,1690055328.53289
2018-04-26 00:00:00,1356669104.25048
2018-04-27 00:00:00,1274803527.6643
2018-04-28 00:00:00,1663576172.91648
2018-04-29 00:00:00,1043832708.35065
2018-04-30 00:00:00,1039280676.98002
2018-05-01 00:00:00,852143458.967716
2018-05-02 00:00:00,1356043112.32921
2018-05-03 00:00:00,1292845454.07964
2018-05-04 00:00:00,1424167444.69354
2018-05-05 00:00:00,1032424172.16879
2018-05-06 00:00:00,990555813.193302
2018-05-07 00:00:00,1299195635.80706
2018-05-08 00:00:00,1305599529.85642
2018-05-09 00:00:00,1231496059.67689
2018-05-10 00:00:00,1367418842.25004
2018-05-11 00:00:00,1308283132.78675
2018-05-12 00:00:00,914542131.232237
2018-05-13 00:00:00,622325191.112393
2018-05-14 00:00:00,1877479922.51764
2018-05-15 00:00:00,1098113121.7909
2018-05-16 00:00:00,1354020052.00064
2018-05-17 00:00:00,1986371307.18684
2018-05-18 00:00:00,1754540455.70633
2018-05-19 00:00:00,572037902.728045
2018-05-20 00:00:00,505408446.545892
2018-05-21 00:00:00,801652229.73729
2018-05-22 00:00:00,902765750.949497
2018-05-23 00:00:00,1070131558.32802
2018-05-24 00:00:00,997838496.239073
2018-05-25 00:00:00,792961295.780727
2018-05-26 00:00:00,433358755.892997
2018-05-27 00:00:00,402952722.618485
2018-05-28 00:00:00,1030143175.61157
2018-05-29 00:00:00,902651076.805139
2018-05-30 00:00:00,912070535.696193
2018-05-31 00:00:00,829972345.81463
2018-06-01 00:00:00,860640929.266263
2018-06-02 00:00:00,517843929.695078
2018-06-03 00:00:00,489033822.746906
