Timestamp,utxo-count
2018-03-20 17:00:22,51262003
2018-03-21 08:41:58,51305735
2018-03-22 03:52:11,51302342
2018-03-22 21:12:19,51260067
2018-03-23 17:27:14,51250182
2018-03-24 10:11:46,51246009
2018-03-25 02:56:52,51225428
2018-03-25 22:38:04,51215643
2018-03-26 16:05:44,51213410
2018-03-27 08:06:32,51216432
2018-03-28 02:19:09,51162527
2018-03-28 20:19:16,51166254
2018-03-29 14:25:04,51207586
2018-03-30 06:29:27,51233483
2018-03-30 22:29:59,51286150
2018-03-31 18:29:36,51274877
2018-04-01 11:27:10,51319555
2018-04-02 03:38:31,51335668
2018-04-02 19:38:09,51359343
2018-04-03 12:01:12,51399379
2018-04-04 04:42:09,51382985
2018-04-04 22:31:25,51394447
2018-04-05 15:58:33,51407757
2018-04-06 09:01:34,51441112
2018-04-07 01:56:59,51440051
2018-04-07 16:15:10,51418832
2018-04-08 08:06:44,51437369
2018-04-09 00:06:00,51463006
2018-04-09 16:51:49,51430349
2018-04-10 10:17:22,51411226
2018-04-11 01:39:15,51452792
2018-04-11 18:40:35,51459896
2018-04-12 09:20:21,51431703
2018-04-13 02:30:55,51428273
2018-04-13 19:10:56,51471133
2018-04-14 09:54:26,51482017
2018-04-15 04:54:48,51388652
2018-04-15 21:39:34,51359300
2018-04-16 14:58:01,51190236
2018-04-17 08:31:58,51144403
2018-04-18 00:33:46,51130628
2018-04-18 16:17:21,51160786
2018-04-19 07:39:09,51210440
2018-04-19 22:08:26,51237179
2018-04-20 14:47:33,51339797
2018-04-21 09:37:31,51346248
2018-04-22 02:22:00,51324625
2018-04-22 17:26:30,51366975
2018-04-23 10:00:17,51420397
2018-04-24 03:29:09,51454991
2018-04-24 19:39:48,51366895
2018-04-25 15:25:17,51331225
2018-04-26 09:08:12,51324493
2018-04-27 06:08:31,51367415
2018-04-27 22:54:38,51367305
2018-04-28 20:01:34,51428608
2018-04-29 10:43:10,51461540
2018-04-30 06:10:19,51497732
2018-04-30 21:09:07,51519236
2018-05-01 14:02:22,51579328
2018-05-02 07:36:02,51613948
2018-05-03 00:46:58,51572959
2018-05-03 17:34:21,51597005
2018-05-04 11:53:47,51578252
2018-05-05 07:13:06,51577970
2018-05-05 23:10:30,51548791
2018-05-06 16:54:50,51554165
2018-05-07 10:13:19,51521019
2018-05-08 05:45:36,51446979
2018-05-08 22:45:42,51419075
2018-05-09 15:12:11,51430911
2018-05-10 07:29:45,51450702
2018-05-11 01:31:34,51459752
2018-05-11 22:34:56,51390538
2018-05-12 14:24:12,51419940
2018-05-13 05:01:56,51455398
2018-05-13 23:31:12,51466753
2018-05-14 20:35:21,51482166
2018-05-15 12:17:12,51518925
2018-05-16 05:23:14,51555412
2018-05-16 20:17:53,51581291
2018-05-17 12:06:47,51558041
2018-05-18 08:39:46,51473957
2018-05-19 03:17:27,51543802
2018-05-19 20:33:46,51564965
2018-05-20 11:23:16,51601393
2018-05-21 06:16:48,51644459
2018-05-21 22:55:54,51590697
2018-05-22 13:47:06,51610619
2018-05-23 08:08:02,51622465
2018-05-23 23:38:11,51640311
2018-05-24 17:32:34,51695758
2018-05-25 08:08:11,51719528
2018-05-25 23:47:46,51750796
2018-05-26 17:15:53,51801489
2018-05-27 09:07:32,51843183
2018-05-27 23:02:22,51880711
2018-05-28 16:09:24,51890233
2018-05-29 09:35:03,51840638
2018-05-30 03:23:49,51853521
2018-05-30 18:31:51,51846539
2018-05-31 09:51:10,51853512
2018-06-01 00:21:21,51843170
2018-06-01 17:17:10,51945023
2018-06-02 06:34:13,51984769
2018-06-03 00:49:50,51998097
2018-06-03 16:40:17,51981170
2018-06-04 08:38:48,51833985
2018-06-04 21:55:46,51685056
2018-06-05 10:46:49,51649891
2018-06-06 02:23:34,51544277
2018-06-06 21:19:39,51494592
2018-06-07 15:51:44,51412509
2018-06-08 08:49:06,51326676
2018-06-09 02:00:55,51353435
2018-06-09 19:37:50,51366038
2018-06-10 16:21:52,51413794
2018-06-11 11:28:15,51421289
2018-06-12 05:03:54,51433789
2018-06-12 23:57:01,51337212
2018-06-13 17:30:38,51313893
2018-06-14 09:57:18,51314182
2018-06-15 05:16:19,51340718
2018-06-15 20:40:35,51315384
2018-06-16 12:56:07,51363968
2018-06-17 03:57:19,51397706
2018-06-17 21:07:38,51413942
2018-06-18 12:23:41,51443963
2018-06-19 05:18:02,51448905
2018-06-19 21:28:25,51274132
2018-06-20 14:45:33,50960491
2018-06-21 06:52:54,50829577
2018-06-21 21:26:51,50848775
2018-06-22 14:08:23,50909068
2018-06-23 09:06:38,50907919
2018-06-23 23:22:41,50933318
2018-06-24 13:39:38,50978021
2018-06-25 06:29:24,50981640
2018-06-25 22:59:12,50880359
2018-06-26 16:11:08,50775005
2018-06-27 11:11:18,50677249
2018-06-28 06:19:26,50616638
2018-06-28 23:20:11,50620042
2018-06-29 17:53:58,50672932
2018-06-30 12:39:54,50614761
2018-07-01 04:27:05,50520585
2018-07-01 22:48:15,50500618
2018-07-02 16:17:26,50452985
2018-07-03 13:59:09,50393995
2018-07-04 09:59:13,50312600
2018-07-05 06:21:56,50346094
2018-07-05 23:49:59,50337973
2018-07-06 15:41:08,50462793
2018-07-07 08:18:04,50512252
2018-07-08 01:52:46,50530866
2018-07-08 17:53:49,50544513
2018-07-09 12:47:06,50500741
2018-07-10 04:46:16,50380316
2018-07-10 23:31:04,50319094
2018-07-11 18:56:12,50264782
2018-07-12 13:38:30,49969508
2018-07-13 06:57:18,49659965
2018-07-14 02:21:48,49536376
2018-07-14 20:49:06,49228154
2018-07-15 17:16:09,49147724
2018-07-16 13:25:40,49177498
2018-07-17 08:09:18,49154357
2018-07-18 00:47:30,49089661
2018-07-18 16:38:46,49000169
2018-07-19 06:14:42,48885657
2018-07-19 21:05:53,48890295
2018-07-20 12:35:03,48930901
2018-07-21 05:28:01,48928011
2018-07-22 02:29:00,48953023
2018-07-22 16:17:54,48989282
2018-07-23 07:12:30,49017527
2018-07-23 21:17:07,48921718
2018-07-24 13:57:02,48939638
2018-07-25 05:52:12,48926889
2018-07-25 21:15:28,48873455
2018-07-26 11:35:24,48882283
2018-07-27 04:38:55,48875574
2018-07-27 20:14:06,48868582
2018-07-28 12:57:28,48871792
2018-07-29 03:56:01,48874256
2018-07-29 20:05:47,48889141
