Timestamp,mempool-size
2018-07-14 16:15:00,34992157.5
2018-07-15 09:45:00,593551
2018-07-16 03:15:00,270784.5
2018-07-16 20:45:00,2271519.5
2018-07-17 14:15:00,1737802.5
2018-07-18 07:45:00,670106.5
2018-07-19 01:15:00,1816221
2018-07-19 18:45:00,334568
2018-07-20 12:15:00,855715
2018-07-21 05:45:00,187514.5
2018-07-21 23:15:00,201303
2018-07-22 16:45:00,378338
2018-07-23 10:15:00,3196141
2018-07-24 03:45:00,288089.5
2018-07-24 21:15:00,7641336.5
2018-07-25 14:45:00,11244235.5
2018-07-26 08:15:00,392872.5
2018-07-27 01:45:00,2779593.5
2018-07-27 19:15:00,627618.5
2018-07-28 12:45:00,1383776.5
2018-07-29 06:15:00,291310
2018-07-29 23:45:00,173776
2018-07-30 17:15:00,2686664
2018-07-31 10:45:00,844779.5
2018-08-01 04:15:00,984880.5
2018-08-01 21:45:00,15242473
2018-08-02 15:15:00,519493.5
2018-08-03 08:45:00,5599845.5
2018-08-04 02:15:00,261499.5
2018-08-04 19:45:00,667601.5
2018-08-05 13:15:00,1990111
2018-08-06 06:45:00,916371
2018-08-07 00:15:00,16777686
2018-08-07 17:45:00,5858488
2018-08-08 11:15:00,1791401.5
2018-08-09 04:45:00,2043978.5
2018-08-09 22:15:00,243376
2018-08-10 15:45:00,359213.5
2018-08-11 09:15:00,757715.5
2018-08-12 02:45:00,403867
2018-08-12 20:15:00,1874151.5
2018-08-13 13:45:00,2859763
2018-08-14 07:15:00,3200159.5
2018-08-15 00:45:00,388963.5
2018-08-15 18:15:00,2832942.5
2018-08-16 11:45:00,731482
2018-08-17 05:15:00,243833
2018-08-17 22:45:00,560096.5
2018-08-18 16:15:00,406366.5
2018-08-19 09:45:00,181718.5
2018-08-20 03:15:00,276159.5
2018-08-20 20:45:00,3620098
2018-08-21 14:15:00,6850876
2018-08-22 07:45:00,604212
2018-08-23 01:15:00,583517
2018-08-23 18:45:00,238797.5
2018-08-24 12:15:00,1992797
2018-08-25 05:45:00,473927.5
2018-08-25 23:15:00,1359431
2018-08-26 16:45:00,385715
2018-08-27 10:15:00,5048808.5
2018-08-28 03:45:00,399252.5
2018-08-28 21:15:00,704030.5
2018-08-29 14:45:00,2692963.5
2018-08-30 08:15:00,484304
2018-08-31 01:45:00,542642.5
2018-08-31 19:15:00,349178.5
2018-09-01 12:45:00,275560.5
2018-09-02 06:15:00,284631
2018-09-02 23:45:00,107584
2018-09-03 17:15:00,10983532
2018-09-04 10:45:00,1838752
2018-09-05 04:15:00,635865.5
2018-09-05 21:45:00,9946981
2018-09-06 15:15:00,5130544.5
2018-09-07 08:45:00,2372924.5
2018-09-08 02:15:00,249997
2018-09-08 19:45:00,280866
2018-09-09 13:15:00,746514.5
2018-09-10 06:45:00,421455
2018-09-11 00:15:00,7740375.5
2018-09-11 17:45:00,10491405
2018-09-12 11:15:00,504591.5
2018-09-13 04:45:00,217377.5
2018-09-13 22:15:00,227278.5
2018-09-14 15:45:00,24499379
2018-09-15 09:15:00,1147620.5
2018-09-16 02:45:00,302398
2018-09-16 20:15:00,244256.5
2018-09-17 13:45:00,4006824.5
2018-09-18 07:15:00,1587682
2018-09-19 00:45:00,317599.5
2018-09-19 18:15:00,870775.5
2018-09-20 11:45:00,525728.5
2018-09-21 05:15:00,2376108.5
2018-09-21 22:45:00,459303
2018-09-22 16:15:00,1775236
2018-09-23 09:45:00,1499614.5
2018-09-24 03:15:00,357406.5
2018-09-24 20:45:00,669783
2018-09-25 14:15:00,5417054.5
2018-09-26 07:45:00,314423.5
2018-09-27 01:15:00,486072
2018-09-27 18:45:00,4675365.5
2018-09-28 12:15:00,914896
2018-09-29 05:45:00,613102.5
2018-09-29 23:15:00,259923.5
2018-09-30 16:45:00,467514
2018-10-01 10:15:00,2232165
2018-10-02 03:45:00,1366687.5
2018-10-02 21:15:00,6924309.5
2018-10-03 14:45:00,4265046.5
