Timestamp,median-confirmation-time
2018-08-17 00:00:00,7.26666666666667
2018-08-18 00:00:00,4.77916666666667
2018-08-19 00:00:00,6.475
2018-08-20 00:00:00,7.20833333333333
2018-08-21 00:00:00,7.07083333333333
2018-08-22 00:00:00,6.81666666666667
2018-08-23 00:00:00,6.075
2018-08-24 00:00:00,6.87916666666667
2018-08-25 00:00:00,6.9
2018-08-26 00:00:00,4.36666666666667
2018-08-27 00:00:00,4.9
2018-08-28 00:00:00,8.51666666666667
2018-08-29 00:00:00,9.31666666666667
2018-08-30 00:00:00,6.9625
2018-08-31 00:00:00,6.71666666666667
2018-09-01 00:00:00,6.15
2018-09-02 00:00:00,5.875
2018-09-03 00:00:00,9.10833333333333
2018-09-04 00:00:00,9.38333333333333
2018-09-05 00:00:00,11.9083333333333
2018-09-06 00:00:00,8.0375
2018-09-07 00:00:00,7.40833333333333
2018-09-08 00:00:00,5.93333333333333
2018-09-09 00:00:00,5.05
2018-09-10 00:00:00,8.13333333333333
2018-09-11 00:00:00,8.88333333333333
2018-09-12 00:00:00,4.9625
2018-09-13 00:00:00,7.33333333333333
2018-09-14 00:00:00,8.7
2018-09-15 00:00:00,8.00416666666667
2018-09-16 00:00:00,5.00833333333333
2018-09-17 00:00:00,7.91666666666667
2018-09-18 00:00:00,8.09166666666667
2018-09-19 00:00:00,5.3
2018-09-20 00:00:00,6.325
2018-09-21 00:00:00,8.725
2018-09-22 00:00:00,5.625
2018-09-23 00:00:00,5.03333333333333
2018-09-24 00:00:00,6.2375
2018-09-25 00:00:00,6.3
2018-09-26 00:00:00,9.46666666666667
2018-09-27 00:00:00,8.98333333333333
2018-09-28 00:00:00,6.18333333333333
2018-09-29 00:00:00,6.95833333333333
2018-09-30 00:00:00,5.6
2018-10-01 00:00:00,6.5
2018-10-02 00:00:00,9.88333333333333
2018-10-03 00:00:00,7.51666666666667
2018-10-04 00:00:00,6.74166666666667
2018-10-05 00:00:00,9.975
2018-10-06 00:00:00,8.66666666666667
2018-10-07 00:00:00,6.5875
2018-10-08 00:00:00,8.73333333333333
2018-10-09 00:00:00,8.47083333333333
2018-10-10 00:00:00,7.825
2018-10-11 00:00:00,6.68333333333333
2018-10-12 00:00:00,9.93333333333333
2018-10-13 00:00:00,7.4
2018-10-14 00:00:00,9.66666666666667
2018-10-15 00:00:00,7.30833333333333
2018-10-16 00:00:00,9.48333333333333
2018-10-17 00:00:00,9.54583333333333
2018-10-18 00:00:00,8.67916666666667
2018-10-19 00:00:00,9.19166666666667
2018-10-20 00:00:00,6.64166666666667
2018-10-21 00:00:00,5.98333333333333
2018-10-22 00:00:00,6.98333333333333
2018-10-23 00:00:00,7.29166666666667
2018-10-24 00:00:00,13.15
2018-10-25 00:00:00,8.98333333333333
2018-10-26 00:00:00,9.1
2018-10-27 00:00:00,6.975
2018-10-28 00:00:00,7.79166666666667
2018-10-29 00:00:00,9.63333333333333
2018-10-30 00:00:00,8.10833333333333
2018-10-31 00:00:00,6.88333333333333
2018-11-01 00:00:00,8.84166666666667
2018-11-02 00:00:00,8.93333333333333
2018-11-03 00:00:00,6
2018-11-04 00:00:00,10.1291666666667
2018-11-05 00:00:00,8.7
