Time,anxbtc,bitflyer,kraken
2015-06-01 00:00:00 UTC,28129.822761913,,29141.22675
2015-06-02 00:00:00 UTC,27842.0995617966,,28359.330207265
2015-06-03 00:00:00 UTC,28019.4815731787,,28619.0680625
2015-06-04 00:00:00 UTC,28031.0835836595,,
2015-06-05 00:00:00 UTC,28105.0450866919,,28933.8740833333
2015-06-06 00:00:00 UTC,28198.5534715429,,28660.6435
2015-06-07 00:00:00 UTC,28219.5943031227,,28675.8155
2015-06-08 00:00:00 UTC,28353.8650401772,,28683.7635
2015-06-09 00:00:00 UTC,28676.1657724704,,29060.292
2015-06-10 00:00:00 UTC,28378.9806372509,,29699.7535
2015-06-11 00:00:00 UTC,28523.967638935,,28718.9359
2015-06-12 00:00:00 UTC,28457.1373007262,,
2015-06-13 00:00:00 UTC,28386.2851376686,,29238.9816666667
2015-06-14 00:00:00 UTC,28832.8756135613,,
2015-06-15 00:00:00 UTC,29054.5329871775,,29700.0
2015-06-16 00:00:00 UTC,29836.7708222708,,30298.9160416667
2015-06-17 00:00:00 UTC,31102.6343483598,,31409.7894027778
2015-06-18 00:00:00 UTC,30747.5582068117,,30984.3325561224
2015-06-19 00:00:00 UTC,30578.029982474,,30984.0435
2015-06-20 00:00:00 UTC,29817.9814178722,,30758.5
2015-06-21 00:00:00 UTC,29911.760892416,,30577.0
2015-06-22 00:00:00 UTC,30216.5696328652,,30882.134
2015-06-23 00:00:00 UTC,30259.8697163432,,30350.002
2015-06-24 00:00:00 UTC,30015.6065925372,31175.3333333333,30637.18225
2015-06-25 00:00:00 UTC,29884.8017196953,30711.6071428572,30184.7777125
2015-06-26 00:00:00 UTC,29840.3750876981,31700.0,30499.9185
2015-06-27 00:00:00 UTC,30395.7691914143,30818.2063974556,30465.00025
2015-06-28 00:00:00 UTC,30858.8721261684,31040.0,31982.7782380952
2015-06-29 00:00:00 UTC,31083.7935411507,31174.7619047619,31480.168625
2015-06-30 00:00:00 UTC,32132.7663008536,32309.2857142857,32833.3333333333
2015-07-01 00:00:00 UTC,31760.3427465025,32208.5714285714,32408.3336
2015-07-02 00:00:00 UTC,31578.2184886679,32038.0555555556,31901.3717142857
2015-07-03 00:00:00 UTC,31307.9846617899,31677.5256788666,32028.3926666667
2015-07-04 00:00:00 UTC,31564.377268675,31832.1785714286,32070.0926666667
2015-07-05 00:00:00 UTC,32378.7760315853,32626.1163901458,33054.90875
2015-07-06 00:00:00 UTC,33460.3511713223,33621.8333333333,34534.0506319445
2015-07-07 00:00:00 UTC,32930.3375141334,33452.6041666667,33545.80675
2015-07-08 00:00:00 UTC,32760.2751219683,33231.2648809524,32685.0661690476
2015-07-09 00:00:00 UTC,32895.5426447889,33969.3465909091,33456.704375
2015-07-10 00:00:00 UTC,34402.2625681383,34713.5603174603,35376.4374333333
2015-07-11 00:00:00 UTC,35801.2892963173,36358.125,36120.7451428571
2015-07-12 00:00:00 UTC,37459.7364192709,37304.6997755331,37114.7439722222
2015-07-13 00:00:00 UTC,36240.9650069332,36905.5808080808,36000.0
2015-07-14 00:00:00 UTC,36004.032462414,36059.5833333333,36564.763062963
2015-07-15 00:00:00 UTC,35939.8730858432,36156.8757763975,36504.6245
2015-07-16 00:00:00 UTC,34848.0114313034,35816.369047619,36085.5845
2015-07-17 00:00:00 UTC,34367.093383842,34675.9469696969,35187.95575
2015-07-18 00:00:00 UTC,34393.6803867987,34633.3333333333,35226.5489
2015-07-19 00:00:00 UTC,34162.5144179003,34514.8049886621,34477.1945
2015-07-20 00:00:00 UTC,34245.7158145772,34527.6203030303,34400.0
2015-07-21 00:00:00 UTC,34664.0859785405,35066.7328869048,34910.1079444444
2015-07-22 00:00:00 UTC,34152.1229229694,34718.7410714286,34084.6590706169
2015-07-23 00:00:00 UTC,34324.6252313951,34912.5833333333,34380.6469052887
2015-07-24 00:00:00 UTC,35057.3121544991,35089.8827852998,34946.0916425656
2015-07-25 00:00:00 UTC,35689.7464632844,36051.0525568182,36520.0
2015-07-26 00:00:00 UTC,36007.1440037706,36208.1212121212,
2015-07-27 00:00:00 UTC,35880.0238088557,36169.7632282883,36499.924
2015-07-28 00:00:00 UTC,36472.1574707044,36641.0830525703,36461.2687026135
2015-07-29 00:00:00 UTC,35856.8408189166,36135.5222308635,36201.871782967
2015-07-30 00:00:00 UTC,35580.5594875942,35834.8819792232,36078.5714285714
2015-07-31 00:00:00 UTC,35385.8979229941,35671.0804975602,35764.30075
2015-08-01 00:00:00 UTC,34755.8652314238,35114.6666666667,35186.5969166667
2015-08-02 00:00:00 UTC,34492.324719662,34629.8307880845,34340.0039
2015-08-03 00:00:00 UTC,34921.7708223936,35250.0,35369.9045674603
2015-08-04 00:00:00 UTC,35094.0256326042,35456.5944444444,35500.0
2015-08-05 00:00:00 UTC,35147.1467819943,35535.8333333333,35683.0352777778
2015-08-06 00:00:00 UTC,34808.268610132,35203.3353174603,35200.0002
2015-08-07 00:00:00 UTC,34698.2025272947,35008.7969706401,34830.7965555555
2015-08-08 00:00:00 UTC,33991.9850626068,34312.3265697188,34217.7879325397
2015-08-09 00:00:00 UTC,32689.2199442363,33036.3916666667,33148.7115833333
2015-08-10 00:00:00 UTC,32722.7625547401,33408.3601764537,33400.0
2015-08-11 00:00:00 UTC,33078.7558273521,33540.3017040149,33400.001
2015-08-12 00:00:00 UTC,33257.8491839698,33671.0930735931,33819.5229666667
2015-08-13 00:00:00 UTC,32911.1912575873,33443.2434920635,33414.547689352
2015-08-14 00:00:00 UTC,33034.7419667206,33393.9480519481,33222.6972
2015-08-15 00:00:00 UTC,32990.0244300411,33305.0298220298,33106.5694444444
2015-08-16 00:00:00 UTC,32223.8709732304,32634.8185185185,32500.0
2015-08-17 00:00:00 UTC,32143.8125905358,32377.7291666667,32910.7141428571
2015-08-18 00:00:00 UTC,31689.3664438102,31894.6349842967,31907.4265714286
2015-08-19 00:00:00 UTC,28834.3045505748,29303.8655255037,29340.6841815476
2015-08-20 00:00:00 UTC,28930.7384448623,29438.0054466231,29538.5971333333
2015-08-21 00:00:00 UTC,28727.3093363822,29367.6847319347,29221.8807619048
2015-08-22 00:00:00 UTC,28098.809390877,28747.4722222222,28355.2656333333
