Date,CCXX_High,CCXX_Low,CCXX_Open,CCXX_Close,CCXX_Volume,CCXX_AdjClose
2020-04-19,20.596525192260742,19.77206039428711,20.528453826904297,20.315067291259766,273092.0,20.315067291259766
2020-04-20,20.570768356323242,19.83730125427246,20.322057723999023,20.384632110595703,223760.0,20.384632110595703
2020-04-21,20.5614013671875,19.853317260742188,20.387483596801758,20.420061111450195,295919.0,20.420061111450195
2020-04-22,20.51685905456543,19.52434730529785,20.41729736328125,19.73021125793457,100352.0,19.73021125793457
2020-04-23,20.571741104125977,19.629375457763672,19.734588623046875,20.184768676757812,323786.0,20.184768676757812
2020-04-24,20.52757453918457,19.88322639465332,20.186105728149414,20.254926681518555,174623.0,20.254926681518555
2020-04-25,20.630281448364258,19.964805603027344,20.258026123046875,20.387052536010742,208528.0,20.387052536010742
2020-04-26,20.557828903198242,19.851741790771484,20.391803741455078,20.458179473876953,333702.0,20.458179473876953
2020-04-27,20.5927734375,19.878328323364258,20.459762573242188,20.518714904785156,235428.0,20.518714904785156
2020-04-28,20.615808486938477,19.68413543701172,20.527700424194336,20.534456253051758,257180.0,20.534456253051758
2020-04-29,20.601551055908203,19.826223373413086,20.527435302734375,20.249164581298828,190704.0,20.249164581298828
2020-04-30,20.584238052368164,19.86505699157715,20.249164581298828,20.515151977539062,231146.0,20.515151977539062
2020-05-01,20.61081886291504,19.851573944091797,20.517961502075195,20.445850372314453,208281.0,20.445850372314453
2020-05-02,20.5895938873291,19.80567741394043,20.460784912109375,20.412076950073242,182504.0,20.412076950073242
2020-05-03,20.604476928710938,19.809268951416016,20.415109634399414,20.47805404663086,198224.0,20.47805404663086
2020-05-04,20.57689666748047,19.72298812866211,20.47527503967285,20.423404693603516,192461.0,20.423404693603516
2020-05-05,20.64456558227539,19.83169174194336,20.409530639648438,20.639583587646484,112805.0,20.639583587646484
2020-05-06,20.71242904663086,19.825685501098633,20.639583587646484,20.43210220336914,105032.0,20.43210220336914
2020-05-07,20.58365249633789,19.84682846069336,20.43210220336914,20.46875762939453,394765.0,20.46875762939453
2020-05-08,20.514738082885742,19.93760871887207,20.475797653198242,20.45829963684082,233154.0,20.45829963684082
2020-05-09,20.96074867248535,19.77446746826172,20.458959579467773,20.32619857788086,304691.0,20.32619857788086
2020-05-10,20.52265167236328,19.72899055480957,20.340347290039062,20.36550521850586,174333.0,20.36550521850586
2020-05-11,20.484073638916016,19.62835693359375,20.354114532470703,20.42555809020996,137574.0,20.42555809020996
2020-05-12,20.483152389526367,19.565460205078125,20.425201416015625,20.4215087890625,209964.0,20.4215087890625
2020-05-13,20.579586029052734,19.417945861816406,20.4215087890625,20.32843780517578,207444.0,20.32843780517578
2020-05-14,20.799516677856445,19.526493072509766,20.344219207763672,20.45999526977539,205173.0,20.45999526977539
2020-05-15,20.482192993164062,19.57274627685547,20.45999526977539,20.383071899414062,347763.0,20.383071899414062
2020-05-16,20.479700088500977,19.817909240722656,20.383024215698242,20.42912483215332,576102.0,20.42912483215332
2020-05-17,20.529279708862305,19.72100067138672,20.428003311157227,20.409847259521484,501891.0,20.409847259521484
2020-05-18,20.524568557739258,19.596900939941406,20.415815353393555,20.322322845458984,611385.0,20.322322845458984
2020-05-19,20.50598907470703,19.76806640625,20.308046340942383,20.375242233276367,483737.0,20.375242233276367
