Date,BTC_FUTURES_High,BTC_FUTURES_Low,BTC_FUTURES_Open,BTC_FUTURES_Close,BTC_FUTURES_Volume,BTC_FUTURES_AdjClose
2017-12-18,20650.0,18345.0,20650.0,19100.0,1054.0,19100.0
2017-12-19,19725.0,17180.0,19135.0,18200.0,559.0,18200.0
2017-12-20,18350.0,16435.0,17745.0,17040.0,784.0,17040.0
2017-12-21,17270.0,15080.0,16400.0,15330.0,879.0,15330.0
2017-12-22,15825.0,12265.0,15595.0,14135.0,2374.0,14135.0
2017-12-23,,,,,,
2017-12-24,,,,,,
2017-12-25,,,,,,
2017-12-26,16100.0,13700.0,13900.0,15785.0,406.0,15785.0
2017-12-27,16545.0,14460.0,15655.0,14690.0,507.0,14690.0
2017-12-28,15280.0,13360.0,15150.0,13745.0,746.0,13745.0
2017-12-29,15005.0,13835.0,13965.0,14470.0,1078.0,14470.0
2017-12-30,,,,,,
2017-12-31,,,,,,
2018-01-01,,,,,,
2018-01-02,15245.0,13080.0,13955.0,14855.0,734.0,14855.0
2018-01-03,15450.0,14650.0,14900.0,14975.0,719.0,14975.0
2018-01-04,15470.0,14205.0,14925.0,14900.0,760.0,14900.0
2018-01-05,16845.0,14870.0,15085.0,16590.0,814.0,16590.0
2018-01-06,,,,,,
2018-01-07,,,,,,
2018-01-08,16455.0,13870.0,16425.0,14905.0,958.0,14905.0
2018-01-09,15365.0,14185.0,14675.0,14750.0,863.0,14750.0
2018-01-10,14720.0,13480.0,14405.0,14450.0,887.0,14450.0
2018-01-11,14910.0,12820.0,14500.0,13385.0,1298.0,13385.0
2018-01-12,14080.0,12850.0,13000.0,13945.0,787.0,13945.0
2018-01-13,,,,,,
2018-01-14,,,,,,
2018-01-15,,,,,,
2018-01-16,14280.0,11160.0,13600.0,11160.0,2552.0,11160.0
2018-01-17,11800.0,9225.0,11190.0,10945.0,2657.0,10945.0
2018-01-18,12075.0,10645.0,11125.0,11815.0,1708.0,11815.0
2018-01-19,12030.0,10990.0,11335.0,11360.0,979.0,11360.0
2018-01-20,,,,,,
2018-01-21,,,,,,
2018-01-22,11830.0,9955.0,11300.0,10355.0,1137.0,10355.0
2018-01-23,11350.0,9865.0,10625.0,11095.0,1241.0,11095.0
2018-01-24,11455.0,10435.0,10790.0,11115.0,838.0,11115.0
2018-01-25,11710.0,10830.0,11090.0,11245.0,769.0,11245.0
2018-01-26,11570.0,10925.400390625,11355.0,10925.400390625,573.0,10925.400390625
2018-01-27,,,,,,
2018-01-28,,,,,,
2018-01-29,11775.0,10970.0,11510.0,11170.0,463.0,11170.0
2018-01-30,11245.0,9720.0,11120.0,9940.0,1137.0,9940.0
2018-01-31,10275.0,9500.0,10000.0,10000.0,842.0,10000.0
2018-02-01,10175.0,8480.0,10020.0,9090.0,1485.0,9090.0
2018-02-02,9075.0,7750.0,8890.0,8585.0,2535.0,8585.0
2018-02-03,,,,,,
2018-02-04,,,,,,
2018-02-05,8315.0,6870.0,8305.0,7260.0,2186.0,7260.0
2018-02-06,7920.0,5970.0,6850.0,7550.0,2234.0,7550.0
2018-02-07,8540.0,7235.0,7620.0,8245.0,1379.0,8245.0
2018-02-08,8690.0,7645.0,7790.0,8325.0,906.0,8325.0
2018-02-09,8770.0,7715.0,8165.0,8610.0,764.0,8610.0
2018-02-10,,,,,,
2018-02-11,,,,,,
2018-02-12,8920.0,8075.0,8380.0,8860.0,679.0,8860.0
2018-02-13,9000.0,8335.0,8925.0,8700.0,550.0,8700.0
2018-02-14,9390.0,8505.0,8505.0,9290.0,944.0,9290.0
2018-02-15,10180.0,9375.0,9400.0,10090.0,1783.0,10090.0
2018-02-16,10265.0,9675.0,10090.0,10020.0,1101.0,10020.0
2018-02-17,,,,,,
2018-02-18,,,,,,
2018-02-19,,,,,,
2018-02-20,11760.0,10315.0,10350.0,11735.0,2080.0,11735.0
2018-02-21,11340.0,10220.0,11240.0,10370.0,1326.0,10370.0
2018-02-22,10900.0,9710.0,10505.0,10085.0,1168.0,10085.0
2018-02-23,10360.0,9590.0,9975.0,10319.400390625,0.0,10319.400390625
2018-02-24,,,,,,
2018-02-25,,,,,,
2018-02-26,10390.0,9270.0,9680.0,10250.0,745.0,10250.0
2018-02-27,10875.0,10100.0,10285.0,10660.0,761.0,10660.0
2018-02-28,11005.0,10330.0,10665.0,10645.0,1130.0,10645.0
2018-03-01,11100.0,10220.0,10450.0,11065.0,1345.0,11065.0
2018-03-02,11215.0,10760.0,11035.0,11060.0,748.0,11060.0
2018-03-03,,,,,,
2018-03-04,,,,,,
2018-03-05,11700.0,11340.0,11350.0,11615.0,990.0,11615.0
2018-03-06,11655.0,10570.0,11595.0,10650.0,1580.0,10650.0
2018-03-07,10880.0,9385.0,10735.0,9790.0,1888.0,9790.0
2018-03-08,10100.0,9105.0,9970.0,9400.0,2524.0,9400.0
2018-03-09,9445.0,8390.0,9350.0,9015.0,2742.0,9015.0
2018-03-10,,,,,,
2018-03-11,,,,,,
2018-03-12,9940.0,8735.0,9490.0,8910.0,2732.0,8910.0
2018-03-13,9515.0,8825.0,9165.0,9070.0,3375.0,9070.0
2018-03-14,9395.0,8185.0,8905.0,8275.0,2638.0,8275.0
2018-03-15,8450.0,7700.0,8005.0,8235.0,3093.0,8235.0
2018-03-16,8640.0,7885.0,8340.0,8555.0,3065.0,8555.0
2018-03-17,,,,,,
2018-03-18,,,,,,
2018-03-19,8720.0,8100.0,8275.0,8400.0,2746.0,8400.0
