Date,CMC200_High,CMC200_Low,CMC200_Open,CMC200_Close,CMC200_Volume,CMC200_AdjClose
2018-12-31,100.0,100.0,100.0,100.0,0.0,100.0
2019-01-01,,,,,,
2019-01-02,107.20999908447266,107.20999908447266,107.20999908447266,107.20999908447266,0.0,107.20999908447266
2019-01-03,103.69999694824219,103.69999694824219,103.69999694824219,103.69999694824219,0.0,103.69999694824219
2019-01-04,104.4800033569336,104.4800033569336,104.4800033569336,104.4800033569336,0.0,104.4800033569336
2019-01-05,,,,,,
2019-01-06,,,,,,
2019-01-07,107.93000030517578,107.93000030517578,107.93000030517578,107.93000030517578,0.0,107.93000030517578
2019-01-08,108.27999877929688,108.27999877929688,108.27999877929688,108.27999877929688,0.0,108.27999877929688
2019-01-09,108.91999816894531,108.91999816894531,108.91999816894531,108.91999816894531,0.0,108.91999816894531
2019-01-10,97.5,97.5,97.5,97.5,0.0,97.5
2019-01-11,97.44999694824219,97.44999694824219,97.44999694824219,97.44999694824219,0.0,97.44999694824219
2019-01-12,,,,,,
2019-01-13,,,,,,
2019-01-14,98.12000274658203,98.12000274658203,98.12000274658203,98.12000274658203,0.0,98.12000274658203
2019-01-15,95.5999984741211,95.5999984741211,95.5999984741211,95.5999984741211,0.0,95.5999984741211
2019-01-16,96.63999938964844,96.63999938964844,96.63999938964844,96.63999938964844,0.0,96.63999938964844
2019-01-17,97.27999877929688,97.27999877929688,97.27999877929688,97.27999877929688,0.0,97.27999877929688
2019-01-18,96.2300033569336,96.2300033569336,96.2300033569336,96.2300033569336,0.0,96.2300033569336
2019-01-19,,,,,,
2019-01-20,,,,,,
2019-01-21,,,,,,
2019-01-22,95.26000213623047,95.26000213623047,95.26000213623047,95.26000213623047,0.0,95.26000213623047
2019-01-23,94.66999816894531,94.66999816894531,94.66999816894531,94.66999816894531,0.0,94.66999816894531
2019-01-24,95.02999877929688,95.02999877929688,95.02999877929688,95.02999877929688,0.0,95.02999877929688
2019-01-25,94.87000274658203,94.87000274658203,94.87000274658203,94.87000274658203,0.0,94.87000274658203
2019-01-26,,,,,,
2019-01-27,,,,,,
2019-01-28,89.56999969482422,89.56999969482422,89.56999969482422,89.56999969482422,0.0,89.56999969482422
2019-01-29,88.8499984741211,88.8499984741211,88.8499984741211,88.8499984741211,0.0,88.8499984741211
2019-01-30,91.11000061035156,91.11000061035156,91.11000061035156,91.11000061035156,0.0,91.11000061035156
2019-01-31,89.58999633789062,89.58999633789062,89.58999633789062,89.58999633789062,0.0,89.58999633789062
2019-02-01,90.30000305175781,90.30000305175781,90.30000305175781,90.30000305175781,0.0,90.30000305175781
2019-02-02,,,,,,
2019-02-03,,,,,,
2019-02-04,89.5999984741211,89.5999984741211,89.5999984741211,89.5999984741211,0.0,89.5999984741211
2019-02-05,89.54000091552734,89.54000091552734,89.54000091552734,89.54000091552734,0.0,89.54000091552734
2019-02-06,87.87999725341797,87.87999725341797,87.87999725341797,87.87999725341797,0.0,87.87999725341797
2019-02-07,87.7300033569336,87.7300033569336,87.7300033569336,87.7300033569336,0.0,87.7300033569336
2019-02-08,95.66000366210938,95.66000366210938,95.66000366210938,95.66000366210938,0.0,95.66000366210938
2019-02-09,,,,,,
2019-02-10,,,,,,
2019-02-11,95.12999725341797,95.12999725341797,95.12999725341797,95.12999725341797,0.0,95.12999725341797
2019-02-12,95.6500015258789,95.6500015258789,95.6500015258789,95.6500015258789,0.0,95.6500015258789
2019-02-13,95.02999877929688,95.02999877929688,95.02999877929688,95.02999877929688,0.0,95.02999877929688
2019-02-14,94.29000091552734,94.29000091552734,94.29000091552734,94.29000091552734,0.0,94.29000091552734
2019-02-15,94.69000244140625,94.69000244140625,94.69000244140625,94.69000244140625,0.0,94.69000244140625
2019-02-16,,,,,,
2019-02-17,,,,,,
2019-02-18,,,,,,
2019-02-19,104.69999694824219,104.69999694824219,104.69999694824219,104.69999694824219,0.0,104.69999694824219
2019-02-20,106.91999816894531,106.91999816894531,106.91999816894531,106.91999816894531,0.0,106.91999816894531
2019-02-21,104.80000305175781,104.80000305175781,104.80000305175781,104.80000305175781,0.0,104.80000305175781
2019-02-22,106.33000183105469,106.33000183105469,106.33000183105469,106.33000183105469,0.0,106.33000183105469
2019-02-23,,,,,,
2019-02-24,,,,,,
2019-02-25,103.05000305175781,103.05000305175781,103.05000305175781,103.05000305175781,0.0,103.05000305175781
2019-02-26,102.12000274658203,102.12000274658203,102.12000274658203,102.12000274658203,0.0,102.12000274658203
2019-02-27,101.5999984741211,101.5999984741211,101.5999984741211,101.5999984741211,0.0,101.5999984741211
2019-02-28,101.77999877929688,101.77999877929688,101.77999877929688,101.77999877929688,0.0,101.77999877929688
2019-03-01,102.16999816894531,102.16999816894531,102.16999816894531,102.16999816894531,0.0,102.16999816894531
2019-03-02,,,,,,
2019-03-03,,,,,,
2019-03-04,98.63999938964844,98.63999938964844,98.63999938964844,98.63999938964844,0.0,98.63999938964844
2019-03-05,103.55000305175781,103.55000305175781,103.55000305175781,103.55000305175781,0.0,103.55000305175781
2019-03-06,103.9000015258789,103.9000015258789,103.9000015258789,103.9000015258789,0.0,103.9000015258789
2019-03-07,104.19000244140625,104.19000244140625,104.19000244140625,104.19000244140625,0.0,104.19000244140625
2019-03-08,103.36000061035156,103.36000061035156,103.36000061035156,103.36000061035156,0.0,103.36000061035156
2019-03-09,,,,,,
2019-03-10,,,,,,
