Date,ETH_High,ETH_Low,ETH_Open,ETH_Close,ETH_Volume,ETH_AdjClose
2017-09-04,318.5719909667969,268.2850036621094,297.5669860839844,312.9880065917969,1551049984.0,312.9880065917969
2017-09-05,334.6579895019531,313.489990234375,313.802001953125,334.3380126953125,1058830016.0,334.3380126953125
2017-09-06,333.5190124511719,319.9389953613281,333.5190124511719,329.4280090332031,718624000.0,329.4280090332031
2017-09-07,329.635986328125,285.1570129394531,329.635986328125,296.49700927734375,1098780032.0,296.49700927734375
2017-09-08,299.8909912109375,287.2200012207031,296.16900634765625,294.4049987792969,528620992.0,294.4049987792969
2017-09-09,294.7640075683594,268.9729919433594,294.0639953613281,288.74700927734375,698326016.0,288.74700927734375
2017-09-10,300.68798828125,286.68499755859375,289.7449951171875,294.5320129394531,571307008.0,294.5320129394531
2017-09-11,311.19500732421875,287.2279968261719,294.6300048828125,291.4639892578125,753144000.0,291.4639892578125
2017-09-12,291.12200927734375,260.6099853515625,291.12200927734375,277.11199951171875,921692032.0,277.11199951171875
2017-09-13,280.8399963378906,213.9080047607422,276.5870056152344,213.9080047607422,1184589952.0,213.9080047607422
2017-09-14,258.6549987792969,195.03500366210938,215.2209930419922,250.46400451660156,1935699968.0,250.46400451660156
2017-09-15,262.5929870605469,238.22300720214844,250.86599731445312,246.52200317382812,711737024.0,246.52200317382812
2017-09-16,256.9960021972656,235.24000549316406,245.8489990234375,251.74899291992188,427452000.0,251.74899291992188
2017-09-17,293.49700927734375,252.2270050048828,252.2270050048828,293.49700927734375,1127750016.0,293.49700927734375
2017-09-18,295.76800537109375,274.4840087890625,293.656005859375,282.8039855957031,646908992.0,282.8039855957031
2017-09-19,290.885986328125,278.04901123046875,282.0150146484375,283.74200439453125,421404000.0,283.74200439453125
2017-09-20,286.6099853515625,255.01600646972656,283.26300048828125,258.5799865722656,601265984.0,258.5799865722656
2017-09-21,270.5400085449219,256.2179870605469,258.114013671875,264.30999755859375,430080992.0,264.30999755859375
2017-09-22,286.1679992675781,261.1199951171875,264.5989990234375,286.1679992675781,450934016.0,286.1679992675781
