,average_value_of_feature_importances
LTC_AdjClose_LogReturn,0.07119384441006821
02_market-cap_LogReturn,0.06288799780688803
btc_LogReturn,0.06191263950953549
BNB_AdjClose_LogReturn,0.060898059115945584
29_mvrv_LogReturn,0.04927650933315282
BCH_AdjClose_LogReturn_lag1,0.046743213341117064
ETH_AdjClose_LogReturn_lag1,0.03901389607146533
ETH_AdjClose_LogReturn,0.03770440656733565
BCH_AdjClose_LogReturn,0.03448671373442353
00_total-bitcoins_LogReturn,0.03444051392219598
ZEC_AdjClose_LogReturn_lag1,0.03379871899144804
LTC_AdjClose_LogReturn_lag1,0.033510189855127374
00_total-bitcoins_LogReturn_lag1,0.03349848474969264
XMR_AdjClose_LogReturn_lag1,0.030167632482778515
07_n-transactions-total_LogReturn_lag1,0.029803750784039247
IOTA_AdjClose_LogReturn_lag1,0.02949910010379586
XRP_AdjClose_LogReturn,0.02924006216818898
07_n-transactions-total_LogReturn,0.028724721686141905
BNB_AdjClose_LogReturn_lag1,0.02758806893325023
XRP_AdjClose_LogReturn_lag1,0.027578295686131297
ETC_AdjClose_LogReturn_lag1,0.02703213541319639
NEO_AdjClose_LogReturn_lag1,0.026493236153154152
ZEC_AdjClose_LogReturn,0.025727432556645963
NEO_AdjClose_LogReturn,0.025723902347649093
EOS_AdjClose_LogReturn,0.025709804871947853
ETC_AdjClose_LogReturn,0.02268753274564686
EOS_AdjClose_LogReturn_lag1,0.022670432946827482
XMR_AdjClose_LogReturn,0.021988703712210247
