,average_value_of_feature_importances
02_market-cap_LogReturn,0.13552006895310043
btc_LogReturn,0.09526233970001259
LTC_AdjClose_LogReturn,0.08130156016769526
ETH_AdjClose_LogReturn,0.08074442343734568
29_mvrv_LogReturn,0.07891131999045244
BNB_AdjClose_LogReturn,0.07202094804644926
NEO_AdjClose_LogReturn,0.06216070238123608
LTC_Volume_LogReturn,0.06143373492424078
USDT_Volume_LogReturn,0.061150800867269026
00_total-bitcoins_LogReturn,0.05815995170412628
07_n-transactions-total_LogReturn,0.05533729698572556
EOS_AdjClose_LogReturn,0.05297967503113003
XRP_Volume_LogReturn,0.052666768472314676
ZEC_AdjClose_LogReturn,0.05235040933890205
