,average_value_of_feature_importances
btc_LogReturn,0.08911471565370334
02_market-cap_LogReturn,0.07211256595661521
LTC_AdjClose_LogReturn,0.05569669728356459
00_total-bitcoins_LogReturn_lag1,0.04768418995505179
00_total-bitcoins_LogReturn,0.04455735782685167
29_mvrv_LogReturn,0.043971076802814146
ZEC_AdjClose_LogReturn,0.04084424467461403
BCH_AdjClose_LogReturn,0.04025796365057651
IOTA_AdjClose_LogReturn_lag1,0.036544850498338874
ETH_AdjClose_LogReturn_lag1,0.03595856947430135
BNB_AdjClose_LogReturn,0.03498143443423881
NEO_AdjClose_LogReturn,0.03322259136212625
ETH_AdjClose_LogReturn,0.03322259136212625
07_n-transactions-total_LogReturn_lag1,0.03244088333007621
XMR_AdjClose_LogReturn,0.03224545632206371
ETC_AdjClose_LogReturn,0.029704905217901114
XRP_AdjClose_LogReturn,0.029509478209888605
XMR_AdjClose_LogReturn_lag1,0.028727770177838577
07_n-transactions-total_LogReturn,0.02853234316982607
EOS_AdjClose_LogReturn,0.02696892710572601
LTC_AdjClose_LogReturn_lag1,0.02560093804963846
XRP_AdjClose_LogReturn_lag1,0.025014657025600937
ZEC_AdjClose_LogReturn_lag1,0.02423294899355091
BNB_AdjClose_LogReturn_lag1,0.02266953292945085
BCH_AdjClose_LogReturn_lag1,0.022474105921438343
ETC_AdjClose_LogReturn_lag1,0.022474105921438343
NEO_AdjClose_LogReturn_lag1,0.020715262849325778
EOS_AdjClose_LogReturn_lag1,0.02051983584131327
