,average_value_of_feature_importances
ETH_AdjClose_LogReturn,0.11082854530489977
LTC_AdjClose_LogReturn,0.07953468286554173
ZEC_AdjClose_LogReturn,0.05197609000098913
02_market-cap_LogReturn,0.04798835264851569
NEO_AdjClose_LogReturn,0.04699302855048089
07_n-transactions-total_LogReturn_lag3,0.04439843162361592
BNB_AdjClose_LogReturn_lag1,0.04307845722860904
BNB_AdjClose_LogReturn,0.04304009599980549
07_n-transactions-total_LogReturn,0.042821628208186836
BCH_AdjClose_LogReturn,0.03922932376581067
ETH_AdjClose_LogReturn_lag1,0.03680422131914797
IOTA_AdjClose_LogReturn,0.036481673087706064
LTC_Volume_LogReturn,0.035052222643840676
07_n-transactions-total_LogReturn_lag1,0.03342892587559171
ETC_AdjClose_LogReturn,0.03319453062232608
NEO_AdjClose_LogReturn_lag1,0.03176034700140746
LTC_AdjClose_LogReturn_lag1,0.030969666037487707
ETC_AdjClose_LogReturn_lag1,0.03008886882004244
XMR_AdjClose_LogReturn,0.02990360975918517
EOS_AdjClose_LogReturn,0.029388801911320452
BCH_AdjClose_LogReturn_lag1,0.025436307255862576
XRP_AdjClose_LogReturn,0.025227067227114375
08_median-confirmation-time_LogReturn,0.0229943151679831
WAVES_AdjClose_LogReturn,0.018526280753846856
XEM_AdjClose_LogReturn,0.01556825372875456
XLM_AdjClose_LogReturn,0.01528627259192744
