,average_value_of_feature_importances
02_market-cap_LogReturn,0.09766780698010408
LTC_AdjClose_LogReturn,0.09181779916200493
BNB_AdjClose_LogReturn,0.06976668802383568
ETH_AdjClose_LogReturn,0.057698633253316145
btc_LogReturn,0.05058048118632375
ETH_AdjClose_LogReturn_lag1,0.04721480310319131
XMR_AdjClose_LogReturn_lag1,0.046788206257164025
BCH_AdjClose_LogReturn_lag1,0.043348902558667246
29_mvrv_LogReturn,0.04013136507731295
BCH_AdjClose_LogReturn,0.03750483304756298
EOS_AdjClose_LogReturn,0.031908015569738025
ZEC_AdjClose_LogReturn_lag1,0.02999975887471196
NEO_AdjClose_LogReturn,0.02972384398340432
BNB_AdjClose_LogReturn_lag1,0.026761730644154186
00_total-bitcoins_LogReturn_lag1,0.02537922641747332
LTC_AdjClose_LogReturn_lag1,0.02508091775109126
XMR_AdjClose_LogReturn,0.023681625148559253
ETC_AdjClose_LogReturn,0.022660145652043523
IOTA_AdjClose_LogReturn_lag1,0.02191904444139342
ZEC_AdjClose_LogReturn,0.02061411937459847
NEO_AdjClose_LogReturn_lag1,0.020325859487986153
EOS_AdjClose_LogReturn_lag1,0.02027323592342112
LTC_Volume_LogReturn,0.019087245341705136
07_n-transactions-total_LogReturn_lag3,0.017676129004948804
XRP_AdjClose_LogReturn_lag1,0.016837248355849876
ZEC_AdjClose_LogReturn_lag2,0.016071537358833616
07_n-transactions-total_LogReturn,0.015414127853897192
ETC_AdjClose_LogReturn_lag1,0.01357388690343003
XRP_Volume_LogReturn,0.012679287966635387
XRP_AdjClose_LogReturn,0.00781349529664197
