,average_value_of_feature_importances
ETH_AdjClose_LogReturn,0.11608868679048817
LTC_AdjClose_LogReturn,0.09030801103731632
ZEC_AdjClose_LogReturn,0.07682958641994647
BNB_AdjClose_LogReturn,0.07352423264150947
02_market-cap_LogReturn,0.0733198451850852
07_n-transactions-total_LogReturn,0.06428970619433812
NEO_AdjClose_LogReturn,0.05492665551725183
BCH_AdjClose_LogReturn,0.04909388804360967
USDT_Volume_LogReturn,0.04837553820963692
25_utxo-count_LogReturn,0.04827543795894847
ETC_AdjClose_LogReturn,0.046511056911889045
LTC_Volume_LogReturn,0.04584603555641311
IOTA_AdjClose_LogReturn,0.044655410596738186
EOS_AdjClose_LogReturn,0.04195255329498932
08_median-confirmation-time_LogReturn,0.03704528356144867
EOS_Volume_LogReturn,0.03126071689940675
XMR_AdjClose_LogReturn,0.029250329402544618
XRP_AdjClose_LogReturn,0.028447025778439782
