,average_value_of_feature_importances
ETH_AdjClose_LogReturn,0.09449637858860288
LTC_AdjClose_LogReturn,0.06527827958353996
07_n-transactions-total_LogReturn,0.06191500067888228
02_market-cap_LogReturn,0.05923185535891571
NEO_AdjClose_LogReturn,0.05539936703617582
EOS_AdjClose_LogReturn,0.05453744797726163
ZEC_AdjClose_LogReturn,0.0516132696996891
BNB_AdjClose_LogReturn_lag1,0.05139545426914488
07_n-transactions-total_LogReturn_lag1,0.0499053965893911
IOTA_AdjClose_LogReturn,0.047098742104676745
ETC_AdjClose_LogReturn,0.045171888175849675
LTC_Volume_LogReturn,0.0430512553733622
LTC_AdjClose_LogReturn_lag1,0.0413712599296603
ETC_AdjClose_LogReturn_lag1,0.03971103406834343
NEO_AdjClose_LogReturn_lag1,0.03753717647038019
XLM_AdjClose_LogReturn,0.03595449383356039
XRP_AdjClose_LogReturn,0.034393292834264275
BCH_AdjClose_LogReturn,0.0342857760019855
XMR_AdjClose_LogReturn,0.034178396586273835
ETH_AdjClose_LogReturn_lag1,0.03313453850295852
BNB_AdjClose_LogReturn,0.030339696337081553
