,average_value_of_feature_importances
ETH_AdjClose_LogReturn,0.08723955044619887
LTC_AdjClose_LogReturn,0.062390680354743044
BNB_AdjClose_LogReturn,0.055740199496516235
07_n-transactions-total_LogReturn,0.05143778950735455
ZEC_AdjClose_LogReturn,0.050262440456706116
NEO_AdjClose_LogReturn,0.04851541688798137
02_market-cap_LogReturn,0.04654750039908725
07_n-transactions-total_LogReturn_lag1,0.046346095181215075
BNB_AdjClose_LogReturn_lag1,0.044770504315428256
ETH_AdjClose_LogReturn_lag1,0.043433402703992416
LTC_Volume_LogReturn,0.04266222688483335
IOTA_AdjClose_LogReturn,0.041526780253163184
NEO_AdjClose_LogReturn_lag1,0.04081320264060652
BCH_AdjClose_LogReturn,0.04078527745512034
ETC_AdjClose_LogReturn_lag1,0.03945683112735446
USDT_Volume_LogReturn,0.03803697262370042
LTC_AdjClose_LogReturn_lag1,0.037992347680275755
XRP_AdjClose_LogReturn,0.03765551162603973
ETC_AdjClose_LogReturn,0.037507620828590674
08_median-confirmation-time_LogReturn,0.037119891452815724
XMR_AdjClose_LogReturn,0.03566733943678889
EOS_AdjClose_LogReturn,0.03409241824148793
