,average_value_of_feature_importances
07_n-transactions-total_LogReturn,0.18935516888433981
BNB_AdjClose_LogReturn_lag1,0.11463664278403275
LTC_Volume_LogReturn,0.10133060388945753
ETH_AdjClose_LogReturn,0.10133060388945753
02_market-cap_LogReturn,0.0849539406345957
07_n-transactions-total_LogReturn_lag3,0.0849539406345957
07_n-transactions-total_LogReturn_lag1,0.07164790174002048
IOTA_AdjClose_LogReturn,0.05834186284544524
WAVES_AdjClose_LogReturn,0.057318321392016376
EOS_AdjClose_LogReturn,0.02968270214943705
LTC_AdjClose_LogReturn_lag1,0.02968270214943705
XMR_AdjClose_LogReturn,0.016376663254861822
08_median-confirmation-time_LogReturn,0.016376663254861822
BCH_AdjClose_LogReturn_lag1,0.016376663254861822
BCH_AdjClose_LogReturn,0.014329580348004094
ZEC_AdjClose_LogReturn,0.01330603889457523
XRP_AdjClose_LogReturn,0.0
LTC_AdjClose_LogReturn,0.0
ETC_AdjClose_LogReturn_lag1,0.0
BNB_AdjClose_LogReturn,0.0
XLM_AdjClose_LogReturn,0.0
NEO_AdjClose_LogReturn_lag1,0.0
NEO_AdjClose_LogReturn,0.0
ETC_AdjClose_LogReturn,0.0
ETH_AdjClose_LogReturn_lag1,0.0
XEM_AdjClose_LogReturn,0.0
