,average_value_of_feature_importances
LTC_Volume_LogReturn,0.11893988364576599
n-transactions-total_LogReturn,0.11506140917905623
ETH_AdjClose_LogReturn,0.09954751131221719
IOTA_AdjClose_LogReturn,0.08080155138978669
NEO_AdjClose_LogReturn,0.0691661279896574
market-cap_LogReturn,0.06528765352294764
n-transactions-total_LogReturn_lag1,0.06270200387847447
ETC_AdjClose_LogReturn,0.062055591467356175
LTC_AdjClose_LogReturn_lag1,0.06140917905623788
LTC_AdjClose_LogReturn,0.053652230122818355
XMR_AdjClose_LogReturn,0.053652230122818355
BNB_AdjClose_LogReturn_lag1,0.053652230122818355
EOS_AdjClose_LogReturn,0.03684550743374273
BNB_AdjClose_LogReturn,0.028442146089204912
XLM_AdjClose_LogReturn,0.02197802197802198
ZEC_AdjClose_LogReturn,0.01680672268907563
BCH_AdjClose_LogReturn,0.0
NEO_AdjClose_LogReturn_lag1,0.0
XRP_AdjClose_LogReturn,0.0
ETH_AdjClose_LogReturn_lag1,0.0
ETC_AdjClose_LogReturn_lag1,0.0
