,average_value_of_feature_importances
ETH_AdjClose_LogReturn,0.09342414697041894
LTC_AdjClose_LogReturn,0.06578342664650859
n-transactions-total_LogReturn,0.05412209262622134
market-cap_LogReturn,0.05097257179711865
ZEC_AdjClose_LogReturn,0.05047458785071819
NEO_AdjClose_LogReturn,0.04907860707049503
BCH_AdjClose_LogReturn,0.048313866044587095
BNB_AdjClose_LogReturn,0.04785698041096594
BNB_AdjClose_LogReturn_lag1,0.04747811604890475
n-transactions-total_LogReturn_lag1,0.04741572474248974
LTC_Volume_LogReturn,0.04665547973211387
ETH_AdjClose_LogReturn_lag1,0.04573790286426886
IOTA_AdjClose_LogReturn,0.04335778780979921
EOS_AdjClose_LogReturn,0.042818342021981246
ETC_AdjClose_LogReturn,0.04154310791252638
ETC_AdjClose_LogReturn_lag1,0.04025312597172215
LTC_AdjClose_LogReturn_lag1,0.03923271547948265
XRP_AdjClose_LogReturn,0.03816067223229333
NEO_AdjClose_LogReturn_lag1,0.03789052710013553
XMR_AdjClose_LogReturn,0.03677265615400217
XLM_AdjClose_LogReturn,0.032657562513246204
