,average_value_of_feature_importances
btc_LogReturn,0.08641370798524481
02_market-cap_LogReturn,0.06799492516686231
ETH_AdjClose_LogReturn,0.060755036443973426
29_mvrv_LogReturn,0.05784797352119229
XMR_AdjClose_LogReturn_lag1,0.053039797281406155
BCH_AdjClose_LogReturn_lag1,0.05176357834284862
ETH_AdjClose_LogReturn_lag1,0.04915594260432073
NEO_AdjClose_LogReturn,0.043700772614735685
BNB_AdjClose_LogReturn,0.04086298272918585
NEO_AdjClose_LogReturn_lag1,0.03522197401100889
LTC_AdjClose_LogReturn_lag1,0.03408509717700301
BNB_AdjClose_LogReturn_lag1,0.03387018513702125
EOS_AdjClose_LogReturn,0.03366429688628321
gold_AdjClose_LogReturn,0.0329416965608808
31_nvts_LogReturn,0.031002879062164306
00_total-bitcoins_LogReturn_lag1,0.030008281121998256
IOTA_AdjClose_LogReturn_lag1,0.02976467858757908
XRP_AdjClose_LogReturn_lag1,0.028373741501268947
LTC_AdjClose_LogReturn,0.028333919858699874
XMR_AdjClose_LogReturn,0.027789607700609398
XLM_AdjClose_LogReturn_lag1,0.02720450113003424
00_total-bitcoins_LogReturn,0.02664075579878406
ETC_AdjClose_LogReturn_lag1,0.024715492510117152
ZEC_AdjClose_LogReturn_lag1,0.02258649973828742
WAVES_AdjClose_LogReturn_lag1,0.02255874018871921
EOS_AdjClose_LogReturn_lag1,0.019702936339770882
