,average_value_of_feature_importances
ETH_AdjClose_LogReturn,0.12826285977861165
LTC_AdjClose_LogReturn,0.07407816500890799
NEO_AdjClose_LogReturn,0.05906570390487007
BCH_AdjClose_LogReturn,0.053273505677163525
BNB_AdjClose_LogReturn,0.047350900201692504
ETH_AdjClose_LogReturn_lag1,0.04514653693338366
ETC_AdjClose_LogReturn,0.04357097489709942
07_n-transactions-total_LogReturn,0.03983761853431696
BCH_AdjClose_LogReturn_lag1,0.03813539148819587
ZEC_AdjClose_LogReturn,0.037619957962392286
LTC_AdjClose_LogReturn_lag1,0.03633327724771065
29_mvrv_LogReturn,0.034504148388021384
NEO_AdjClose_LogReturn_lag1,0.033624382264593876
IOTA_AdjClose_LogReturn,0.03238632697941566
BNB_AdjClose_LogReturn_lag1,0.030036415110427428
EOS_AdjClose_LogReturn,0.02937403641271916
24_mempool-size_LogReturn,0.02722006267491647
XRP_AdjClose_LogReturn,0.02641307017603764
ETC_AdjClose_LogReturn_lag1,0.026077933725814625
XMR_AdjClose_LogReturn,0.025045125471308327
ZEC_AdjClose_LogReturn_lag1,0.02064856693687568
IOTA_AdjClose_LogReturn_lag1,0.019845502527359126
WAVES_AdjClose_LogReturn_lag1,0.01908843950757834
XMR_AdjClose_LogReturn_lag1,0.018991752165854664
XRP_AdjClose_LogReturn_lag1,0.018353293304884978
XLM_AdjClose_LogReturn_lag1,0.018114353177774434
XEM_AdjClose_LogReturn_lag1,0.017601699542073718
