,average_value_of_feature_importances
ETH_AdjClose_LogReturn,0.0974173666855363
LTC_AdjClose_LogReturn,0.07080562726638057
NEO_AdjClose_LogReturn,0.0556501097166836
BNB_AdjClose_LogReturn,0.049956215322011326
BCH_AdjClose_LogReturn,0.049703184770300154
ZEC_AdjClose_LogReturn,0.03896048885277498
ETH_AdjClose_LogReturn_lag1,0.03699258327020277
LTC_AdjClose_LogReturn_lag1,0.036912129599052185
ETC_AdjClose_LogReturn,0.03564000787071384
EOS_AdjClose_LogReturn,0.03548382872498773
07_n-transactions-total_LogReturn,0.03495446057110086
BNB_AdjClose_LogReturn_lag1,0.033947169496969055
IOTA_AdjClose_LogReturn,0.03173914593939112
NEO_AdjClose_LogReturn_lag1,0.02972560685531348
BCH_AdjClose_LogReturn_lag1,0.029189644485770206
29_mvrv_LogReturn,0.02835967973172164
24_mempool-size_LogReturn,0.027132190769796605
ETC_AdjClose_LogReturn_lag1,0.026612733806345996
XMR_AdjClose_LogReturn,0.025096374410270014
XRP_AdjClose_LogReturn,0.023817496879494703
02_market-cap_LogReturn,0.02362678497563585
EOS_AdjClose_LogReturn_lag1,0.023062887413394757
XMR_AdjClose_LogReturn_lag1,0.0221912667737461
ZEC_AdjClose_LogReturn_lag1,0.021399546316657178
XLM_AdjClose_LogReturn,0.021334096540181837
IOTA_AdjClose_LogReturn_lag1,0.020351311694405693
XEM_AdjClose_LogReturn_lag1,0.01996080726107868
WAVES_AdjClose_LogReturn_lag1,0.017212294204678496
XRP_AdjClose_LogReturn_lag1,0.016590616056845347
XLM_AdjClose_LogReturn_lag1,0.016174343738558822
