,average_value_of_feature_importances
btc_LogReturn,0.19882100750267953
02_market-cap_LogReturn,0.12218649517684887
00_total-bitcoins_LogReturn,0.11914969632011432
29_mvrv_LogReturn,0.09056806002143623
ETH_AdjClose_LogReturn_lag1,0.0782422293676313
00_total-bitcoins_LogReturn_lag1,0.050553769203286886
NEO_AdjClose_LogReturn_lag1,0.0459092533047517
XMR_AdjClose_LogReturn_lag1,0.03679885673454805
NEO_AdjClose_LogReturn,0.036084315827081104
LTC_AdjClose_LogReturn,0.03251161128974634
BNB_AdjClose_LogReturn,0.026973919256877456
EOS_AdjClose_LogReturn,0.022508038585209004
gold_AdjClose_LogReturn,0.022329403358342267
XMR_AdjClose_LogReturn,0.01714898177920686
EOS_AdjClose_LogReturn_lag1,0.016970346552340122
XLM_AdjClose_LogReturn_lag1,0.01625580564487317
WAVES_AdjClose_LogReturn_lag1,0.015719899964272956
XRP_AdjClose_LogReturn_lag1,0.013576277241872096
BCH_AdjClose_LogReturn_lag1,0.011789924973204717
ETH_AdjClose_LogReturn,0.010718113612004287
ZEC_AdjClose_LogReturn_lag1,0.006073597713469096
IOTA_AdjClose_LogReturn_lag1,0.0057163272597356195
LTC_AdjClose_LogReturn_lag1,0.003215434083601286
ETC_AdjClose_LogReturn_lag1,0.0001786352268667381
31_nvts_LogReturn,0.0
BNB_AdjClose_LogReturn_lag1,0.0
