,average_value_of_feature_importances
ETH_AdjClose_LogReturn,0.09806747267936575
NEO_AdjClose_LogReturn,0.05450350041737753
LTC_AdjClose_LogReturn,0.05254898483466144
BNB_AdjClose_LogReturn,0.048751437709083925
EOS_AdjClose_LogReturn,0.04536970255180346
BCH_AdjClose_LogReturn,0.04392857762631011
ETH_AdjClose_LogReturn_lag1,0.035047079834026655
BNB_AdjClose_LogReturn_lag1,0.032752069414349536
ETC_AdjClose_LogReturn,0.03274265316733718
07_n-transactions-total_LogReturn,0.03203616271384314
NEO_AdjClose_LogReturn_lag1,0.03180279973457196
LTC_AdjClose_LogReturn_lag1,0.030678070709959492
ZEC_AdjClose_LogReturn,0.029617943929943578
07_n-transactions-total_LogReturn_lag3,0.02940259524444926
IOTA_AdjClose_LogReturn_lag1,0.029360426753633703
24_mempool-size_LogReturn,0.027385544074673526
ETC_AdjClose_LogReturn_lag1,0.02713598860457089
XRP_AdjClose_LogReturn,0.027126596227277342
EOS_AdjClose_LogReturn_lag1,0.025633947417018656
29_mvrv_LogReturn,0.0248880083347622
WAVES_AdjClose_LogReturn,0.023210082503954996
XMR_AdjClose_LogReturn,0.02316838623192495
BCH_AdjClose_LogReturn_lag1,0.02246022834688682
02_market-cap_LogReturn,0.021772875056444506
IOTA_AdjClose_LogReturn,0.019129825980912264
XLM_AdjClose_LogReturn,0.018555753456474585
ETH_Volume_LogReturn,0.017839205594488892
XMR_AdjClose_LogReturn_lag1,0.0174636498206839
ZEC_AdjClose_LogReturn_lag1,0.01742048807257803
XLM_AdjClose_LogReturn_lag1,0.0174201519173484
XRP_AdjClose_LogReturn_lag1,0.016476378222025734
XEM_AdjClose_LogReturn,0.013198508704793381
XEM_AdjClose_LogReturn_lag1,0.013104904112464377
