,average_value_of_feature_importances
NEO_AdjClose_LogReturn,0.1356390491358441
ETH_AdjClose_LogReturn,0.11971851853455945
LTC_AdjClose_LogReturn,0.10641596120728712
XMR_AdjClose_LogReturn,0.0963651677828049
ETH_AdjClose_LogReturn_lag1,0.09278204859225371
XMR_AdjClose_LogReturn_lag1,0.0898214505656626
BNB_AdjClose_LogReturn,0.08463638063935397
BCH_AdjClose_LogReturn,0.07918797390376833
XEM_AdjClose_LogReturn,0.071918127192245
LTC_AdjClose_LogReturn_lag1,0.06742169989294648
XLM_AdjClose_LogReturn_lag1,0.056093622553274346
