,average_value_of_feature_importances
ETH_AdjClose_LogReturn_lag1,0.09593034714413812
btc_LogReturn,0.07752349631293545
BCH_AdjClose_LogReturn_lag1,0.06896424410370268
29_mvrv_LogReturn,0.0625379530026992
02_market-cap_LogReturn,0.058012187742871486
NEO_AdjClose_LogReturn,0.05368196481290062
BNB_AdjClose_LogReturn,0.05144733242812441
LTC_AdjClose_LogReturn,0.05134730915444834
LTC_AdjClose_LogReturn_lag1,0.047566926909067185
ZEC_AdjClose_LogReturn_lag1,0.046401734855143026
XMR_AdjClose_LogReturn_lag1,0.04145758797932353
XMR_AdjClose_LogReturn,0.03800651477878826
NEO_AdjClose_LogReturn_lag1,0.03732783427757407
00_total-bitcoins_LogReturn_lag1,0.03656436974389882
XRP_AdjClose_LogReturn_lag1,0.03553427488341564
00_total-bitcoins_LogReturn_lag2,0.03461522306603513
31_nvts_LogReturn,0.03100030907798107
WAVES_AdjClose_LogReturn_lag1,0.02728010757871429
00_total-bitcoins_LogReturn,0.025761498810662007
BNB_AdjClose_LogReturn_lag1,0.02497142085069171
XLM_AdjClose_LogReturn_lag1,0.0228428439718838
IOTA_AdjClose_LogReturn_lag1,0.018136225688678762
EOS_AdjClose_LogReturn_lag1,0.013088292826322546
