,average_value_of_feature_importances
NEO_AdjClose_LogReturn,0.12236724021465158
ETH_AdjClose_LogReturn,0.11600574544220371
LTC_AdjClose_LogReturn,0.10215181706085737
XMR_AdjClose_LogReturn,0.08092576974222397
BCH_AdjClose_LogReturn,0.07109620850237255
BNB_AdjClose_LogReturn,0.06557354028576313
ETH_AdjClose_LogReturn_lag1,0.064104200130895
BNB_AdjClose_LogReturn_lag1,0.06219762000526224
29_mvrv_LogReturn,0.05457554943392324
XMR_AdjClose_LogReturn_lag1,0.05326204043246363
LTC_AdjClose_LogReturn_lag1,0.041857028649801536
EOS_AdjClose_LogReturn,0.03807288052689147
ETC_AdjClose_LogReturn,0.037851703318206587
XLM_AdjClose_LogReturn_lag1,0.03210444621108759
ZEC_AdjClose_LogReturn,0.029216447364146466
XEM_AdjClose_LogReturn,0.02863776267924963
