,average_value_of_feature_importances
NEO_AdjClose_LogReturn,0.13141317792509494
LTC_AdjClose_LogReturn,0.10326876122527483
ETH_AdjClose_LogReturn,0.09621870638803601
XMR_AdjClose_LogReturn,0.0864573044328891
BNB_AdjClose_LogReturn,0.0749833165379497
BCH_AdjClose_LogReturn,0.07101594975040251
ETH_AdjClose_LogReturn_lag1,0.06815937003448327
XMR_AdjClose_LogReturn_lag1,0.06285932755854928
BNB_AdjClose_LogReturn_lag1,0.052127904801623305
ETC_AdjClose_LogReturn,0.04826641627684834
LTC_AdjClose_LogReturn_lag1,0.04807155341030642
XRP_AdjClose_LogReturn,0.045326460382774485
EOS_AdjClose_LogReturn,0.04251154155532445
XEM_AdjClose_LogReturn,0.03671610936049187
XLM_AdjClose_LogReturn_lag1,0.032604100359951475
