Timestamp,transaction-fees-usd
2018-01-17 00:00:00,7634951.75878622
2018-01-18 00:00:00,7636110.19048479
2018-01-19 00:00:00,5792083.75757471
2018-01-20 00:00:00,5403087.25045328
2018-01-21 00:00:00,4066809.78597951
2018-01-22 00:00:00,3517957.86539083
2018-01-23 00:00:00,3063102.60779686
2018-01-24 00:00:00,3107500.58856931
2018-01-25 00:00:00,2488929.52292101
2018-01-26 00:00:00,2304911.19049579
2018-01-27 00:00:00,1891789.4019741
2018-01-28 00:00:00,1852191.13189476
2018-01-29 00:00:00,1633654.09632724
2018-01-30 00:00:00,1723703.86380988
2018-01-31 00:00:00,1626015.23191709
2018-02-01 00:00:00,2061375.78705802
2018-02-02 00:00:00,2347594.242634
2018-02-03 00:00:00,1316506.72015388
2018-02-04 00:00:00,974897.36720038
2018-02-05 00:00:00,1314099.47186097
2018-02-06 00:00:00,1116858.0477034
2018-02-07 00:00:00,983807.150465148
2018-02-08 00:00:00,721166.982765556
2018-02-09 00:00:00,731673.05190602
2018-02-10 00:00:00,776390.203188731
2018-02-11 00:00:00,514636.550392491
2018-02-12 00:00:00,608894.014190361
2018-02-13 00:00:00,591710.612465598
2018-02-14 00:00:00,574753.705668146
2018-02-15 00:00:00,634974.513080313
2018-02-16 00:00:00,582971.814553841
2018-02-17 00:00:00,518618.330287271
2018-02-18 00:00:00,487058.572459239
2018-02-19 00:00:00,560303.42954282
2018-02-20 00:00:00,600792.581522344
2018-02-21 00:00:00,440373.143014955
2018-02-22 00:00:00,385009.987559137
2018-02-23 00:00:00,736940.178236701
2018-02-24 00:00:00,963926.256838823
2018-02-25 00:00:00,401597.040921979
2018-02-26 00:00:00,469262.203247795
2018-02-27 00:00:00,533925.286983465
2018-02-28 00:00:00,550051.771515995
2018-03-01 00:00:00,571658.030179525
2018-03-02 00:00:00,463417.415901214
2018-03-03 00:00:00,434170.509325304
2018-03-04 00:00:00,376575.397663029
2018-03-05 00:00:00,513277.821881213
2018-03-06 00:00:00,410975.364433379
2018-03-07 00:00:00,362763.413064963
2018-03-08 00:00:00,348946.870801581
2018-03-09 00:00:00,311626.562887563
2018-03-10 00:00:00,373957.849722365
2018-03-11 00:00:00,357879.669563471
2018-03-12 00:00:00,316996.401101394
2018-03-13 00:00:00,562265.201137159
2018-03-14 00:00:00,325713.865590286
2018-03-15 00:00:00,297619.91817914
2018-03-16 00:00:00,246331.386641185
2018-03-17 00:00:00,173710.886450546
2018-03-18 00:00:00,195469.781016705
2018-03-19 00:00:00,257964.538041811
2018-03-20 00:00:00,271549.849746511
2018-03-21 00:00:00,279023.931714987
2018-03-22 00:00:00,243433.397605638
2018-03-23 00:00:00,223574.135069727
2018-03-24 00:00:00,193868.513880537
2018-03-25 00:00:00,172790.98496436
2018-03-26 00:00:00,224263.128034661
2018-03-27 00:00:00,219491.595633637
2018-03-28 00:00:00,191960.62037316
2018-03-29 00:00:00,206334.254315446
2018-03-30 00:00:00,177562.645877025
2018-03-31 00:00:00,141903.567837474
2018-04-01 00:00:00,123603.961225588
2018-04-02 00:00:00,149694.627711169
2018-04-03 00:00:00,184306.183693692
2018-04-04 00:00:00,176547.936384232
2018-04-05 00:00:00,165113.304926636
2018-04-06 00:00:00,232442.647113699
2018-04-07 00:00:00,187903.97540654
2018-04-08 00:00:00,147840.128286383
2018-04-09 00:00:00,154038.389414718
2018-04-10 00:00:00,155806.93057078
2018-04-11 00:00:00,157784.567104789
2018-04-12 00:00:00,266496.022480929
2018-04-13 00:00:00,291705.827494888
2018-04-14 00:00:00,190064.499643426
2018-04-15 00:00:00,200151.720830125
2018-04-16 00:00:00,207744.923562785
2018-04-17 00:00:00,211565.624097147
2018-04-18 00:00:00,204008.0193652
2018-04-19 00:00:00,227189.514695335
2018-04-20 00:00:00,245248.2209767
2018-04-21 00:00:00,256724.378217089
2018-04-22 00:00:00,194722.228340286
2018-04-23 00:00:00,259411.219703122
2018-04-24 00:00:00,611131.000327029
2018-04-25 00:00:00,843086.825112277
2018-04-26 00:00:00,598851.897461186
2018-04-27 00:00:00,513813.606966268
2018-04-28 00:00:00,391014.93494543
2018-04-29 00:00:00,327891.732791383
2018-04-30 00:00:00,341436.854040725
2018-05-01 00:00:00,288833.77954851
2018-05-02 00:00:00,356386.540646268
2018-05-03 00:00:00,370633.57115484
2018-05-04 00:00:00,389636.542291556
2018-05-05 00:00:00,318625.409028612
2018-05-06 00:00:00,302058.507925822
2018-05-07 00:00:00,337085.845697492
2018-05-08 00:00:00,317340.88501723
2018-05-09 00:00:00,295323.127549282
2018-05-10 00:00:00,251880.12776094
2018-05-11 00:00:00,334592.443029314
2018-05-12 00:00:00,240517.78796073
2018-05-13 00:00:00,199732.661861075
2018-05-14 00:00:00,307860.381048598
2018-05-15 00:00:00,326596.529517555
2018-05-16 00:00:00,271759.28963365
2018-05-17 00:00:00,460375.249040895
2018-05-18 00:00:00,567346.296835895
2018-05-19 00:00:00,259719.592740856
2018-05-20 00:00:00,208829.332120575
2018-05-21 00:00:00,265937.08200591
2018-05-22 00:00:00,218410.225417231
2018-05-23 00:00:00,240499.627178108
2018-05-24 00:00:00,224856.200639036
2018-05-25 00:00:00,227233.563224089
2018-05-26 00:00:00,168775.232500645
2018-05-27 00:00:00,142632.374167849
2018-05-28 00:00:00,210965.079268113
2018-05-29 00:00:00,208500.629476556
2018-05-30 00:00:00,169206.671777695
2018-05-31 00:00:00,163059.025169801
2018-06-01 00:00:00,152192.214982363
2018-06-02 00:00:00,123728.535983432
2018-06-03 00:00:00,118893.415888165
2018-06-04 00:00:00,156812.954484511
2018-06-05 00:00:00,138693.08270385
2018-06-06 00:00:00,148442.55092027
2018-06-07 00:00:00,159150.65206016
2018-06-08 00:00:00,138039.547766099
2018-06-09 00:00:00,143056.57886512
2018-06-10 00:00:00,120291.621283215
2018-06-11 00:00:00,166594.389707846
2018-06-12 00:00:00,149936.554920795
2018-06-13 00:00:00,240059.382924568
2018-06-14 00:00:00,181353.587719954
2018-06-15 00:00:00,155557.440838437
2018-06-16 00:00:00,106135.98560995
2018-06-17 00:00:00,153476.98211175
2018-06-18 00:00:00,114096.148228802
2018-06-19 00:00:00,563164.114086415
2018-06-20 00:00:00,1375763.60886518
2018-06-21 00:00:00,495149.473954311
2018-06-22 00:00:00,437681.301883796
2018-06-23 00:00:00,201681.165588916
2018-06-24 00:00:00,171152.438234909
2018-06-25 00:00:00,216951.011725725
2018-06-26 00:00:00,200646.150853391
2018-06-27 00:00:00,195909.749147366
2018-06-28 00:00:00,167124.10822154
2018-06-29 00:00:00,161852.012566865
2018-06-30 00:00:00,150324.235207567
2018-07-01 00:00:00,107541.699282375
2018-07-02 00:00:00,152027.821771764
2018-07-03 00:00:00,185331.593830405
2018-07-04 00:00:00,142217.792635156
2018-07-05 00:00:00,130297.514746554
2018-07-06 00:00:00,143409.473361441
2018-07-07 00:00:00,111506.63424911
2018-07-08 00:00:00,106173.208280658
2018-07-09 00:00:00,133686.115459865
2018-07-10 00:00:00,149913.164426001
2018-07-11 00:00:00,131280.700647625
2018-07-12 00:00:00,118261.01727319
2018-07-13 00:00:00,124542.52453998
2018-07-14 00:00:00,93542.57929175
2018-07-15 00:00:00,97524.04489524
2018-07-16 00:00:00,154561.981414834
2018-07-17 00:00:00,176467.306839205
2018-07-18 00:00:00,239218.618530275
2018-07-19 00:00:00,213038.10533793
2018-07-20 00:00:00,171414.148696295
2018-07-21 00:00:00,128603.753729795
2018-07-22 00:00:00,111728.274792465
2018-07-23 00:00:00,201960.095250576
2018-07-24 00:00:00,239989.80458152
2018-07-25 00:00:00,221472.396324243
2018-07-26 00:00:00,196939.64725169
2018-07-27 00:00:00,166595.212624235
2018-07-28 00:00:00,139843.480810519
2018-07-29 00:00:00,128632.064382893
