Timestamp,cost-per-transaction
2017-09-05 00:00:00,43.1031409175679
2017-09-06 00:00:00,37.806397553988
2017-09-07 00:00:00,44.1792834362869
2017-09-08 00:00:00,39.2832439090191
2017-09-09 00:00:00,44.5983490754711
2017-09-10 00:00:00,40.8263513684359
2017-09-11 00:00:00,38.8826199187666
2017-09-12 00:00:00,41.4292284419852
2017-09-13 00:00:00,37.9318586166607
2017-09-14 00:00:00,31.7656185499971
2017-09-15 00:00:00,28.0037740289374
2017-09-16 00:00:00,36.2720580052517
2017-09-17 00:00:00,42.5946918059666
2017-09-18 00:00:00,31.6946411201146
2017-09-19 00:00:00,30.0895449800118
2017-09-20 00:00:00,26.9673785470232
2017-09-21 00:00:00,34.6789542643919
2017-09-22 00:00:00,29.5484058923417
2017-09-23 00:00:00,39.5863288615073
2017-09-24 00:00:00,37.7744899292997
2017-09-25 00:00:00,28.9235710459966
2017-09-26 00:00:00,27.9347470724604
2017-09-27 00:00:00,30.9227105278174
2017-09-28 00:00:00,35.8369690493698
2017-09-29 00:00:00,36.3279700896266
2017-09-30 00:00:00,36.5998734158416
2017-10-01 00:00:00,36.8703697335118
2017-10-02 00:00:00,30.6507508151719
2017-10-03 00:00:00,37.5830483055086
2017-10-04 00:00:00,33.3593404391801
2017-10-05 00:00:00,26.836440745147
2017-10-06 00:00:00,32.7690809965109
2017-10-07 00:00:00,39.2881813443859
2017-10-08 00:00:00,44.6841628296231
2017-10-09 00:00:00,33.7110165107765
2017-10-10 00:00:00,34.9047971806888
2017-10-11 00:00:00,30.9231345804841
2017-10-12 00:00:00,36.3031395183971
2017-10-13 00:00:00,36.1684265658978
2017-10-14 00:00:00,38.6233436868455
2017-10-15 00:00:00,52.1700404656022
2017-10-16 00:00:00,42.7725860008723
2017-10-17 00:00:00,37.8303579585904
2017-10-18 00:00:00,34.1211705005766
2017-10-19 00:00:00,38.4980033057304
2017-10-20 00:00:00,44.4521780604042
2017-10-21 00:00:00,40.4816653407709
2017-10-22 00:00:00,49.7565390753621
