Timestamp,miners-revenue
2017-09-05 00:00:00,12122198.042234
2017-09-06 00:00:00,10596679.5576122
2017-09-07 00:00:00,11388138.0706551
2017-09-08 00:00:00,11151766.5641362
2017-09-09 00:00:00,9960595.28251571
2017-09-10 00:00:00,7986083.41753111
2017-09-11 00:00:00,9856433.08844799
2017-09-12 00:00:00,10615411.2036899
2017-09-13 00:00:00,10157696.5552383
2017-09-14 00:00:00,8831890.22231134
2017-09-15 00:00:00,8179314.31459802
2017-09-16 00:00:00,8409604.1044016
2017-09-17 00:00:00,8420246.46027889
2017-09-18 00:00:00,6915897.47097349
2017-09-19 00:00:00,8616020.84684647
2017-09-20 00:00:00,6356831.37323994
2017-09-21 00:00:00,8852045.82866589
2017-09-22 00:00:00,6725660.40718536
2017-09-23 00:00:00,8189263.43790887
2017-09-24 00:00:00,6998744.17063086
2017-09-25 00:00:00,6662197.50759276
2017-09-26 00:00:00,7447375.63477086
2017-09-27 00:00:00,7976853.33046631
2017-09-28 00:00:00,9951711.28319571
2017-09-29 00:00:00,9243216.05366442
2017-09-30 00:00:00,7783987.87833436
2017-10-01 00:00:00,7508761.40733887
2017-10-02 00:00:00,9042032.79197735
2017-10-03 00:00:00,10862816.3669827
2017-10-04 00:00:00,7937087.7926728
2017-10-05 00:00:00,7562750.52994914
2017-10-06 00:00:00,9444311.29584243
2017-10-07 00:00:00,9178387.06113139
2017-10-08 00:00:00,10982026.6986365
2017-10-09 00:00:00,10167276.2906667
2017-10-10 00:00:00,10589103.2255027
2017-10-11 00:00:00,9171956.33224448
2017-10-12 00:00:00,10642773.5937714
2017-10-13 00:00:00,11205665.7502199
2017-10-14 00:00:00,11510644.7555848
2017-10-15 00:00:00,14834968.3667177
2017-10-16 00:00:00,13619475.7440538
2017-10-17 00:00:00,13032444.8256605
2017-10-18 00:00:00,11245621.2524095
2017-10-19 00:00:00,13803228.0972498
2017-10-20 00:00:00,13887260.4956728
2017-10-21 00:00:00,12830906.7197494
2017-10-22 00:00:00,14386157.8993985
2017-10-23 00:00:00,13668326.7206145
2017-10-24 00:00:00,13135948.051234
2017-10-25 00:00:00,13615215.0956177
2017-10-26 00:00:00,14196709.0848065
2017-10-27 00:00:00,8529517.93616475
2017-10-28 00:00:00,7127115.61427759
2017-10-29 00:00:00,13129615.2522256
2017-10-30 00:00:00,12873410.4360565
2017-10-31 00:00:00,12195846.9847584
2017-11-01 00:00:00,14990408.2326317
2017-11-02 00:00:00,15012708.8262624
2017-11-03 00:00:00,12745769.1613126
2017-11-04 00:00:00,14231239.1618025
2017-11-05 00:00:00,15064674.2892577
2017-11-06 00:00:00,13802573.4124617
2017-11-07 00:00:00,15916555.6435329
2017-11-08 00:00:00,15423711.1757483
2017-11-09 00:00:00,16678466.0012752
2017-11-10 00:00:00,12713071.4989362
2017-11-11 00:00:00,8785091.45149512
2017-11-12 00:00:00,9479344.92774956
2017-11-13 00:00:00,16209519.4612957
2017-11-14 00:00:00,14792712.3267353
2017-11-15 00:00:00,17885007.8421946
2017-11-16 00:00:00,17978355.3482826
2017-11-17 00:00:00,19741865.1639389
2017-11-18 00:00:00,15573684.4202293
2017-11-19 00:00:00,17836891.9126454
2017-11-20 00:00:00,20867770.6104635
2017-11-21 00:00:00,20674487.3514705
2017-11-22 00:00:00,17481272.6055298
2017-11-23 00:00:00,18447902.2439344
2017-11-24 00:00:00,17352431.9783599
2017-11-25 00:00:00,18139440.136098
2017-11-26 00:00:00,19771137.9101486
2017-11-27 00:00:00,22731345.2947229
2017-11-28 00:00:00,21683705.0389404
2017-11-29 00:00:00,26294380.2040648
2017-11-30 00:00:00,23742417.1937056
2017-12-01 00:00:00,25856448.1705625
2017-12-02 00:00:00,24108052.6110006
2017-12-03 00:00:00,27678238.9264086
2017-12-04 00:00:00,28891001.9578248
2017-12-05 00:00:00,29210388.2872577
2017-12-06 00:00:00,33116592.8460115
2017-12-07 00:00:00,34256501.8456203
2017-12-08 00:00:00,41311081.4101853
2017-12-09 00:00:00,42165253.3814881
2017-12-10 00:00:00,38120250.2377464
2017-12-11 00:00:00,44253709.9617747
2017-12-12 00:00:00,42937956.7643401
2017-12-13 00:00:00,50475052.9011524
2017-12-14 00:00:00,49974171.3334026
2017-12-15 00:00:00,48342967.7609509
2017-12-16 00:00:00,49815223.7422835
2017-12-17 00:00:00,55498368.9347384
2017-12-18 00:00:00,54532107.9700656
2017-12-19 00:00:00,44228748.1746236
2017-12-20 00:00:00,44203326.9660163
2017-12-21 00:00:00,46165232.3021406
2017-12-22 00:00:00,48973790.4176209
2017-12-23 00:00:00,41645027.4925059
2017-12-24 00:00:00,38398460.7292659
2017-12-25 00:00:00,33837650.8285438
2017-12-26 00:00:00,38650262.934002
2017-12-27 00:00:00,43901419.4766467
2017-12-28 00:00:00,37806663.7832782
2017-12-29 00:00:00,41872625.551997
2017-12-30 00:00:00,34517255.3487837
2017-12-31 00:00:00,34803527.1470655
2018-01-01 00:00:00,32858099.4405417
2018-01-02 00:00:00,39946758.985841
2018-01-03 00:00:00,41037010.8705439
2018-01-04 00:00:00,42724771.8663199
2018-01-05 00:00:00,39205380.0155258
2018-01-06 00:00:00,46563789.9760972
2018-01-07 00:00:00,44912742.3337695
2018-01-08 00:00:00,42902516.8338494
2018-01-09 00:00:00,43234479.1223377
2018-01-10 00:00:00,39636974.2597653
2018-01-11 00:00:00,43029257.7252294
2018-01-12 00:00:00,38771602.2774424
2018-01-13 00:00:00,34057401.8694134
2018-01-14 00:00:00,33285730.8286788
2018-01-15 00:00:00,33038806.9201573
2018-01-16 00:00:00,31344417.4170149
2018-01-17 00:00:00,31114647.1407057
2018-01-18 00:00:00,32739932.5047795
2018-01-19 00:00:00,30328455.6576096
2018-01-20 00:00:00,33422916.9660763
2018-01-21 00:00:00,31881234.2280697
2018-01-22 00:00:00,27049040.6377818
2018-01-23 00:00:00,26654950.1831213
2018-01-24 00:00:00,27243321.4419195
2018-01-25 00:00:00,24802466.4469755
2018-01-26 00:00:00,23885798.1844209
2018-01-27 00:00:00,23938854.8917502
2018-01-28 00:00:00,25365404.7629694
2018-01-29 00:00:00,22393670.4573925
2018-01-30 00:00:00,24473743.4213841
2018-01-31 00:00:00,16505765.2319171
2018-02-01 00:00:00,21564268.9326553
2018-02-02 00:00:00,20349765.9537948
2018-02-03 00:00:00,19143008.6973898
2018-02-04 00:00:00,20590452.2721636
2018-02-05 00:00:00,19165215.2614707
2018-02-06 00:00:00,15587109.3084814
2018-02-07 00:00:00,15016975.9975587
2018-02-08 00:00:00,14093910.2289136
2018-02-09 00:00:00,14654771.0556346
2018-02-10 00:00:00,17003760.4952525
2018-02-11 00:00:00,16243960.9275333
2018-02-12 00:00:00,18718332.5740756
2018-02-13 00:00:00,18275325.065837
2018-02-14 00:00:00,20752674.9936762
2018-02-15 00:00:00,16956455.4438234
2018-02-16 00:00:00,20250868.4877061
2018-02-17 00:00:00,20350444.8424035
2018-02-18 00:00:00,23072914.4326253
2018-02-19 00:00:00,23360784.6795428
2018-02-20 00:00:00,20908106.0649931
2018-02-21 00:00:00,23304639.0999643
2018-02-22 00:00:00,19598925.7553184
2018-02-23 00:00:00,19432244.5627423
2018-02-24 00:00:00,18950033.89873
2018-02-25 00:00:00,21134989.7819502
2018-02-26 00:00:00,18189790.7038972
2018-02-27 00:00:00,21628887.7869834
2018-02-28 00:00:00,21634661.2243493
2018-03-01 00:00:00,23098876.8038155
2018-03-02 00:00:00,22178930.8207862
2018-03-03 00:00:00,26214536.4268542
2018-03-04 00:00:00,21193664.6514841
2018-03-05 00:00:00,21974887.3290891
2018-03-06 00:00:00,21958387.1614346
2018-03-07 00:00:00,21157511.2468039
2018-03-08 00:00:00,20427544.5522535
2018-03-09 00:00:00,16855150.3795833
2018-03-10 00:00:00,16539689.0997224
2018-03-11 00:00:00,18210037.1103318
2018-03-12 00:00:00,19331971.3140078
2018-03-13 00:00:00,18857575.5936039
2018-03-14 00:00:00,16628207.7251464
2018-03-15 00:00:00,14891789.5575998
2018-03-16 00:00:00,16433524.3290414
2018-03-17 00:00:00,15253956.5768365
2018-03-18 00:00:00,14858429.9832526
2018-03-19 00:00:00,16605902.4023534
2018-03-20 00:00:00,14186967.874644
2018-03-21 00:00:00,17547837.7941897
2018-03-22 00:00:00,15970290.9102052
2018-03-23 00:00:00,14416156.914284
2018-03-24 00:00:00,17932503.4804805
2018-03-25 00:00:00,14782031.2754538
2018-03-26 00:00:00,15836955.2390767
