Timestamp,estimated-transaction-volume
2018-01-22 00:00:00,201527.199663
2018-01-23 00:00:00,178482.55919668
2018-01-24 00:00:00,186181.46222014
2018-01-25 00:00:00,189321.54466837
2018-01-26 00:00:00,257378.94103491
2018-01-27 00:00:00,119799.46114961
2018-01-28 00:00:00,167401.01736077
2018-01-29 00:00:00,160557.7064546
2018-01-30 00:00:00,174827.83826432
2018-01-31 00:00:00,160787.64701898
2018-02-01 00:00:00,279146.56376038
2018-02-02 00:00:00,330740.21918547
2018-02-03 00:00:00,165203.67165191
2018-02-04 00:00:00,195566.97018116
2018-02-05 00:00:00,257877.68071212
2018-02-06 00:00:00,286153.34031496
2018-02-07 00:00:00,208207.33171103
2018-02-08 00:00:00,214089.82691395
2018-02-09 00:00:00,199472.83091889
2018-02-10 00:00:00,117500.148897
2018-02-11 00:00:00,88533.37503735
2018-02-12 00:00:00,181999.25517977
2018-02-13 00:00:00,146929.34577495
2018-02-14 00:00:00,148097.50308228
2018-02-15 00:00:00,130151.06430121
2018-02-16 00:00:00,106729.74900057
2018-02-17 00:00:00,80893.89617716
2018-02-18 00:00:00,82943.41667937
2018-02-19 00:00:00,114330.2486842
2018-02-20 00:00:00,130404.45595898
2018-02-21 00:00:00,145459.85457672
2018-02-22 00:00:00,252887.92526631
2018-02-23 00:00:00,176293.62339995
2018-02-24 00:00:00,167742.75814358
2018-02-25 00:00:00,76897.66460255
2018-02-26 00:00:00,109418.40066947
2018-02-27 00:00:00,139296.16827184
2018-02-28 00:00:00,202928.40020459
2018-03-01 00:00:00,190547.6522974
2018-03-02 00:00:00,119411.41408502
2018-03-03 00:00:00,92233.68977254
2018-03-04 00:00:00,92256.7308983401
2018-03-05 00:00:00,136451.97474105
2018-03-06 00:00:00,118687.70420192
2018-03-07 00:00:00,156219.65883794
2018-03-08 00:00:00,144694.06871065
2018-03-09 00:00:00,209952.82852803
2018-03-10 00:00:00,108717.98334596
2018-03-11 00:00:00,108693.48297902
2018-03-12 00:00:00,118997.93037607
2018-03-13 00:00:00,155930.19963723
2018-03-14 00:00:00,150082.3606247
2018-03-15 00:00:00,148147.95039108
2018-03-16 00:00:00,114974.96978622
2018-03-17 00:00:00,87993.26009963
2018-03-18 00:00:00,106466.47999797
2018-03-19 00:00:00,134630.81618522
2018-03-20 00:00:00,115827.41989221
