Timestamp,trade-volume
2018-01-21 00:00:00,1225700423.065
2018-01-22 00:00:00,1175503832.9436
2018-01-23 00:00:00,1465499538.7331
2018-01-24 00:00:00,1423493479.2224
2018-01-25 00:00:00,1076890874.306
2018-01-26 00:00:00,903886494.1449
2018-01-27 00:00:00,1330161211.8144
2018-01-28 00:00:00,873498645.6154
2018-01-29 00:00:00,849439447.6602
2018-01-30 00:00:00,747230355.0536
2018-01-31 00:00:00,1445440048.8948
2018-02-01 00:00:00,1071289592.88
2018-02-02 00:00:00,1734879504.5345
2018-02-03 00:00:00,2491149103.6881
2018-02-04 00:00:00,1089038712.0208
2018-02-05 00:00:00,1199569483.5732
2018-02-06 00:00:00,2089572991.491
2018-02-07 00:00:00,3408073088.7663
2018-02-08 00:00:00,1814762086.6278
2018-02-09 00:00:00,1400664131.4024
2018-02-10 00:00:00,1249304448.9552
2018-02-11 00:00:00,1178588589.5
2018-02-12 00:00:00,858240548.9922
2018-02-13 00:00:00,987896393.16
2018-02-14 00:00:00,732425325.0496
2018-02-15 00:00:00,1138250927.2096
2018-02-16 00:00:00,1520173447.8267
2018-02-17 00:00:00,972263786.9056
2018-02-18 00:00:00,1215318036.3898
2018-02-19 00:00:00,1446183867.9938
2018-02-20 00:00:00,1088412789.1382
2018-02-21 00:00:00,1482868607.2068
2018-02-22 00:00:00,1751252242.7958
2018-02-23 00:00:00,1552533068.4702
2018-02-24 00:00:00,1286052865.794
2018-02-25 00:00:00,1111682121.7824
2018-02-26 00:00:00,702156577.3621
2018-02-27 00:00:00,1102352166.9636
2018-02-28 00:00:00,947534416.9062
2018-03-01 00:00:00,1008948245.9602
2018-03-02 00:00:00,877677223.9032
2018-03-03 00:00:00,759894065.8704
2018-03-04 00:00:00,745890864.6954
2018-03-05 00:00:00,642906304.456
2018-03-06 00:00:00,714536991.6552
2018-03-07 00:00:00,1109670859.0003
2018-03-08 00:00:00,1677040469.5836
2018-03-09 00:00:00,1333961757.815
2018-03-10 00:00:00,1994073353.28
