Timestamp,n-transactions-per-block
2018-01-16 00:00:00,1910.22012578616
2018-01-17 00:00:00,1890.84431137725
2018-01-18 00:00:00,1788.98843930636
2018-01-19 00:00:00,1476.47878787879
2018-01-20 00:00:00,1351.74719101124
2018-01-21 00:00:00,1153.05882352941
2018-01-22 00:00:00,1470.43113772455
2018-01-23 00:00:00,1536.3615819209
2018-01-24 00:00:00,1422.85795454545
2018-01-25 00:00:00,1497.3417721519
2018-01-26 00:00:00,1422.31612903226
2018-01-27 00:00:00,1232.98089171975
2018-01-28 00:00:00,1350.92405063291
2018-01-29 00:00:00,1568.75675675676
2018-01-30 00:00:00,1416.82035928144
2018-01-31 00:00:00,1745.94871794872
2018-02-01 00:00:00,1610.4
2018-02-02 00:00:00,1404.27380952381
2018-02-03 00:00:00,1233.48734177215
2018-02-04 00:00:00,975.769662921348
2018-02-05 00:00:00,1169.52972972973
2018-02-06 00:00:00,1436
2018-02-07 00:00:00,1515.73758865248
2018-02-08 00:00:00,1322.81679389313
2018-02-09 00:00:00,1317.48148148148
2018-02-10 00:00:00,1271.20979020979
2018-02-11 00:00:00,974.887417218543
2018-02-12 00:00:00,1126.01204819277
2018-02-13 00:00:00,1115.75609756098
2018-02-14 00:00:00,1097.30167597765
2018-02-15 00:00:00,1512.84732824427
2018-02-16 00:00:00,1195.78343949045
2018-02-17 00:00:00,1166.36912751678
2018-02-18 00:00:00,984.537037037037
2018-02-19 00:00:00,1156.58641975309
2018-02-20 00:00:00,1407.48226950355
2018-02-21 00:00:00,1214.20710059172
2018-02-22 00:00:00,1229.76510067114
2018-02-23 00:00:00,1251.30405405405
2018-02-24 00:00:00,1065.75172413793
2018-02-25 00:00:00,847.187134502924
2018-02-26 00:00:00,1322.51063829787
2018-02-27 00:00:00,1372.65
2018-02-28 00:00:00,1220.7935483871
2018-03-01 00:00:00,1416.6303030303
2018-03-02 00:00:00,1250.46794871795
2018-03-03 00:00:00,983.466666666667
2018-03-04 00:00:00,1082.64189189189
2018-03-05 00:00:00,1351.93288590604
2018-03-06 00:00:00,1320.61538461538
2018-03-07 00:00:00,1362.91719745223
2018-03-08 00:00:00,1212.48148148148
2018-03-09 00:00:00,1357.39726027397
2018-03-10 00:00:00,1115.91428571429
2018-03-11 00:00:00,986.169934640523
2018-03-12 00:00:00,1170.14906832298
2018-03-13 00:00:00,1241.39240506329
2018-03-14 00:00:00,1326.68055555556
2018-03-15 00:00:00,1431.84722222222
2018-03-16 00:00:00,1198.58333333333
2018-03-17 00:00:00,1036.88590604027
2018-03-18 00:00:00,1088.74834437086
2018-03-19 00:00:00,1235.66451612903
2018-03-20 00:00:00,1536.75590551181
2018-03-21 00:00:00,1281.88157894737
2018-03-22 00:00:00,1295.01398601399
2018-03-23 00:00:00,1352.01503759398
2018-03-24 00:00:00,1006.96794871795
2018-03-25 00:00:00,1002.02962962963
2018-03-26 00:00:00,1252.33333333333
2018-03-27 00:00:00,1230.69078947368
2018-03-28 00:00:00,1314.97037037037
2018-03-29 00:00:00,1265.86184210526
2018-03-30 00:00:00,1147.77777777778
2018-03-31 00:00:00,1161.0703125
2018-04-01 00:00:00,834.12962962963
2018-04-02 00:00:00,1078.0641025641
2018-04-03 00:00:00,1220.36196319018
2018-04-04 00:00:00,1263.33333333333
2018-04-05 00:00:00,1165.58974358974
2018-04-06 00:00:00,1252.81884057971
2018-04-07 00:00:00,859.105555555556
2018-04-08 00:00:00,860.465838509317
2018-04-09 00:00:00,1201.10884353741
2018-04-10 00:00:00,1136.67682926829
2018-04-11 00:00:00,1138.18633540373
2018-04-12 00:00:00,1369.34415584416
2018-04-13 00:00:00,1316.86060606061
2018-04-14 00:00:00,1181.33576642336
2018-04-15 00:00:00,1067.67484662577
2018-04-16 00:00:00,1390.82269503546
2018-04-17 00:00:00,1245.8024691358
2018-04-18 00:00:00,1254.625
2018-04-19 00:00:00,1199.56741573034
2018-04-20 00:00:00,1516.6204379562
2018-04-21 00:00:00,1219.96855345912
2018-04-22 00:00:00,1074.1875
2018-04-23 00:00:00,1479.43137254902
2018-04-24 00:00:00,1600.58490566038
2018-04-25 00:00:00,1732.9674796748
2018-04-26 00:00:00,1537.10638297872
2018-04-27 00:00:00,1486.75352112676
2018-04-28 00:00:00,1591.2578125
2018-04-29 00:00:00,1144.29113924051
2018-04-30 00:00:00,1387.78709677419
2018-05-01 00:00:00,1265.56329113924
2018-05-02 00:00:00,1516.4
2018-05-03 00:00:00,1513.38410596026
2018-05-04 00:00:00,1587.45652173913
2018-05-05 00:00:00,1259.0248447205
2018-05-06 00:00:00,1253.7299270073
2018-05-07 00:00:00,1367.08666666667
2018-05-08 00:00:00,1566.97841726619
2018-05-09 00:00:00,1291.11875
2018-05-10 00:00:00,1356.88961038961
2018-05-11 00:00:00,1682.07874015748
2018-05-12 00:00:00,1103.35757575758
2018-05-13 00:00:00,1072.93243243243
2018-05-14 00:00:00,1588.61363636364
2018-05-15 00:00:00,1471.08904109589
2018-05-16 00:00:00,1164.59776536313
2018-05-17 00:00:00,1459.7196969697
2018-05-18 00:00:00,1429.02702702703
2018-05-19 00:00:00,1125.15584415584
2018-05-20 00:00:00,1101.82638888889
2018-05-21 00:00:00,1290.74522292994
2018-05-22 00:00:00,1346.60264900662
2018-05-23 00:00:00,1377.75308641975
2018-05-24 00:00:00,1446.32867132867
2018-05-25 00:00:00,1114.66477272727
2018-05-26 00:00:00,980.141975308642
2018-05-27 00:00:00,879.90243902439
2018-05-28 00:00:00,1211.94230769231
2018-05-29 00:00:00,1473.15827338129
2018-05-30 00:00:00,1172.85632183908
2018-05-31 00:00:00,1232.50588235294
2018-06-01 00:00:00,1237.83734939759
2018-06-02 00:00:00,1148.00657894737
2018-06-03 00:00:00,1002.71779141104
2018-06-04 00:00:00,1147.08196721311
2018-06-05 00:00:00,1216.57714285714
2018-06-06 00:00:00,1404.19727891156
2018-06-07 00:00:00,1451.93706293706
2018-06-08 00:00:00,1381.92413793103
2018-06-09 00:00:00,1197.94405594406
2018-06-10 00:00:00,1415.8188976378
2018-06-11 00:00:00,1522.82857142857
2018-06-12 00:00:00,1479.96551724138
2018-06-13 00:00:00,1481.32167832168
2018-06-14 00:00:00,1372.7385620915
2018-06-15 00:00:00,1345.49673202614
2018-06-16 00:00:00,958.373493975904
2018-06-17 00:00:00,922.980891719745
2018-06-18 00:00:00,1196.98170731707
2018-06-19 00:00:00,1237.45161290323
2018-06-20 00:00:00,1283.15483870968
2018-06-21 00:00:00,1165.37058823529
2018-06-22 00:00:00,1351.94701986755
2018-06-23 00:00:00,1020.59375
2018-06-24 00:00:00,924.105263157895
2018-06-25 00:00:00,1274.9872611465
2018-06-26 00:00:00,1338.38356164384
2018-06-27 00:00:00,1557.93388429752
2018-06-28 00:00:00,1195.05732484076
2018-06-29 00:00:00,1310.4701986755
2018-06-30 00:00:00,1284.14893617021
2018-07-01 00:00:00,1062.90476190476
2018-07-02 00:00:00,1413.43262411348
2018-07-03 00:00:00,1868.50862068966
2018-07-04 00:00:00,1543.19402985075
2018-07-05 00:00:00,1456.93430656934
2018-07-06 00:00:00,1256.20625
2018-07-07 00:00:00,1090.76923076923
2018-07-08 00:00:00,985.348101265823
2018-07-09 00:00:00,1518.72058823529
2018-07-10 00:00:00,1450.08724832215
2018-07-11 00:00:00,1500.76296296296
2018-07-12 00:00:00,1443.51063829787
2018-07-13 00:00:00,1453.87412587413
2018-07-14 00:00:00,1326.87969924812
2018-07-15 00:00:00,1211.66165413534
2018-07-16 00:00:00,1732.01666666667
2018-07-17 00:00:00,1471.48427672956
2018-07-18 00:00:00,1372.23563218391
2018-07-19 00:00:00,1316.01754385965
2018-07-20 00:00:00,1464.47402597403
2018-07-21 00:00:00,1348.92700729927
2018-07-22 00:00:00,918.291208791209
2018-07-23 00:00:00,1382.40963855422
