,average_value_of_feature_importances
BTC_Price_LogReturn,0.27936649315365897
market-cap_LogReturn,0.2587335162285844
mvrv_LogReturn,0.18344524031719667
nvts_LogReturn,0.1567698357524775
gold_Price_LogReturn,0.12168491454808245
