,average_value_of_feature_importances
BNB_Price_LogReturn_lag1,0.14419225634178906
ETC_Price_LogReturn,0.12216288384512683
market-cap_LogReturn,0.10881174899866489
XMR_Price_LogReturn,0.10080106809078772
LTC_Price_LogReturn_lag1,0.09012016021361816
USDT_Volume_LogReturn,0.06542056074766354
LTC_Volume_LogReturn,0.06542056074766354
LTC_Price_LogReturn,0.05540720961281709
ETH_Price_LogReturn,0.05540720961281709
BCH_Price_LogReturn,0.030707610146862484
EOS_Price_LogReturn,0.030707610146862484
ETC_Price_LogReturn_lag1,0.030707610146862484
XRP_Price_LogReturn,0.029372496662216287
IOTA_Price_LogReturn,0.0260347129506008
BNB_Price_LogReturn,0.012683578104138851
NEO_Price_LogReturn,0.010013351134846462
ZEC_Price_LogReturn,0.010013351134846462
NEO_Price_LogReturn_lag1,0.010013351134846462
ETH_Price_LogReturn_lag1,0.0020026702269692926
