,average_value_of_feature_importances
ETH_Price_LogReturn,0.11751557207476365
LTC_Price_LogReturn,0.06981907317866856
ZEC_Price_LogReturn,0.06159722142175908
market-cap_LogReturn,0.058149167070710835
IOTA_Price_LogReturn,0.054068488127074724
ETH_Price_LogReturn_lag1,0.05401623895282794
EOS_Price_LogReturn,0.05256468440618663
LTC_Price_LogReturn_lag1,0.051018117165260786
BCH_Price_LogReturn,0.049519626941050984
BNB_Price_LogReturn_lag1,0.049299453526980154
LTC_Volume_LogReturn,0.047788664984151845
NEO_Price_LogReturn,0.045211725035721476
USDT_Volume_LogReturn,0.04455355682775278
XRP_Price_LogReturn,0.043781100076789294
ETC_Price_LogReturn_lag1,0.0435253753885133
NEO_Price_LogReturn_lag1,0.04271144296008959
BNB_Price_LogReturn,0.04006067138468448
XMR_Price_LogReturn,0.039022636022836774
ETC_Price_LogReturn,0.035777184454177144
