Timestamp,n-transactions-total
2010-08-28 00:00:00,108525
2010-08-31 00:00:00,109452
2010-09-03 00:00:00,110594
2010-09-06 00:00:00,111497
2010-09-09 00:00:00,112396
2010-09-12 00:00:00,113387
2010-09-15 00:00:00,114625
2010-09-18 00:00:00,115854
2010-09-21 00:00:00,117081
2010-09-24 00:00:00,119213
2010-09-27 00:00:00,120652
2010-09-30 00:00:00,122715
2010-10-03 00:00:00,124173
2010-10-06 00:00:00,125319
2010-10-09 00:00:00,126429
2010-10-12 00:00:00,127537
2010-10-15 00:00:00,128616
2010-10-18 00:00:00,129843
2010-10-21 00:00:00,132072
2010-10-24 00:00:00,133731
2010-10-27 00:00:00,135210
2010-10-30 00:00:00,136731
2010-11-02 00:00:00,137818
2010-11-05 00:00:00,138791
2010-11-08 00:00:00,140078
2010-11-11 00:00:00,141400
2010-11-14 00:00:00,142421
2010-11-17 00:00:00,156814
2010-11-20 00:00:00,168379
2010-11-23 00:00:00,188510
2010-11-26 00:00:00,197760
2010-11-29 00:00:00,199970
2010-12-02 00:00:00,201391
2010-12-05 00:00:00,202649
2010-12-08 00:00:00,204122
2010-12-11 00:00:00,205503
2010-12-14 00:00:00,207340
2010-12-17 00:00:00,209166
2010-12-20 00:00:00,210682
2010-12-23 00:00:00,212907
2010-12-26 00:00:00,214588
2010-12-29 00:00:00,216356
2011-01-01 00:00:00,218015
2011-01-04 00:00:00,220378
2011-01-07 00:00:00,223358
2011-01-10 00:00:00,227034
2011-01-13 00:00:00,230875
2011-01-16 00:00:00,234368
2011-01-19 00:00:00,236965
2011-01-22 00:00:00,239950
2011-01-25 00:00:00,243796
2011-01-28 00:00:00,246525
2011-01-31 00:00:00,251703
2011-02-03 00:00:00,254850
2011-02-06 00:00:00,257425
2011-02-09 00:00:00,260077
2011-02-12 00:00:00,265682
2011-02-15 00:00:00,271433
2011-02-18 00:00:00,277969
2011-02-21 00:00:00,283566
2011-02-24 00:00:00,289987
2011-02-27 00:00:00,296097
2011-03-02 00:00:00,302826
2011-03-05 00:00:00,310025
2011-03-08 00:00:00,316020
2011-03-11 00:00:00,321981
2011-03-14 00:00:00,329506
2011-03-17 00:00:00,338196
2011-03-20 00:00:00,347226
2011-03-23 00:00:00,359373
2011-03-26 00:00:00,368019
2011-03-29 00:00:00,376983
2011-04-01 00:00:00,383322
2011-04-04 00:00:00,388481
2011-04-07 00:00:00,394764
2011-04-10 00:00:00,399943
2011-04-13 00:00:00,405697
2011-04-16 00:00:00,412973
2011-04-19 00:00:00,420460
2011-04-22 00:00:00,428916
2011-04-25 00:00:00,435594
2011-04-28 00:00:00,446280
2011-05-01 00:00:00,457261
2011-05-04 00:00:00,467263
2011-05-07 00:00:00,476816
2011-05-10 00:00:00,487088
2011-05-13 00:00:00,496685
2011-05-16 00:00:00,508950
2011-05-19 00:00:00,523374
2011-05-22 00:00:00,537766
2011-05-25 00:00:00,554640
2011-05-28 00:00:00,572726
2011-05-31 00:00:00,587870
