Timestamp,output-volume
2018-06-26 00:00:00,879369.847397718
2018-06-27 00:00:00,991757.035454353
2018-06-28 00:00:00,912811.975668087
2018-06-29 00:00:00,1080974.50222335
2018-06-30 00:00:00,738220.872890951
2018-07-01 00:00:00,858834.303819219
2018-07-02 00:00:00,997966.548973642
2018-07-03 00:00:00,1062622.82959388
2018-07-04 00:00:00,889925.000582428
2018-07-05 00:00:00,1032507.61773956
2018-07-06 00:00:00,968279.449515897
2018-07-07 00:00:00,610695.274073943
2018-07-08 00:00:00,751033.913681297
2018-07-09 00:00:00,1048702.07775385
2018-07-10 00:00:00,1174009.98827291
2018-07-11 00:00:00,844523.664766876
2018-07-12 00:00:00,821091.024838082
2018-07-13 00:00:00,886209.138239419
2018-07-14 00:00:00,740316.114663813
2018-07-15 00:00:00,747510.628638848
2018-07-16 00:00:00,1215433.67670925
2018-07-17 00:00:00,1062550.40968472
2018-07-18 00:00:00,1137516.75989191
2018-07-19 00:00:00,965781.997600853
2018-07-20 00:00:00,914113.88457848
2018-07-21 00:00:00,642013.565772866
2018-07-22 00:00:00,583088.168756226
2018-07-23 00:00:00,971437.906534228
2018-07-24 00:00:00,1184540.43458122
2018-07-25 00:00:00,996984.017070411
2018-07-26 00:00:00,880778.203551938
2018-07-27 00:00:00,975850.530455948
2018-07-28 00:00:00,658610.474384135
2018-07-29 00:00:00,661003.324248228
2018-07-30 00:00:00,874826.162318069
2018-07-31 00:00:00,871944.343415105
2018-08-01 00:00:00,905661.754915516
2018-08-02 00:00:00,920947.221494545
2018-08-03 00:00:00,982848.127571651
2018-08-04 00:00:00,966188.419272149
2018-08-05 00:00:00,1022297.11046653
2018-08-06 00:00:00,1259506.27964545
2018-08-07 00:00:00,1138346.25302999
2018-08-08 00:00:00,1327631.36933921
2018-08-09 00:00:00,1117999.48784316
2018-08-10 00:00:00,973946.039828741
2018-08-11 00:00:00,800612.262203394
2018-08-12 00:00:00,606237.611225857
2018-08-13 00:00:00,920752.354323566
2018-08-14 00:00:00,1171296.37463736
2018-08-15 00:00:00,1053753.71620039
2018-08-16 00:00:00,911178.793598854
2018-08-17 00:00:00,861833.507632315
2018-08-18 00:00:00,666835.493103721
2018-08-19 00:00:00,599012.122149015
2018-08-20 00:00:00,859771.470318516
2018-08-21 00:00:00,1041449.93186305
2018-08-22 00:00:00,906348.774246956
2018-08-23 00:00:00,876297.028194091
2018-08-24 00:00:00,757997.673153633
