Timestamp,mempool-count
2018-06-12 19:45:00,7818
2018-06-13 13:15:00,6481
2018-06-14 06:45:00,794
2018-06-15 00:15:00,6321.5
2018-06-15 17:45:00,2819.5
2018-06-16 11:15:00,533.5
2018-06-17 04:45:00,264
2018-06-17 22:15:00,810.5
2018-06-18 15:45:00,5297.5
2018-06-19 09:15:00,936
2018-06-20 02:45:00,10652.5
2018-06-20 20:15:00,8986.5
2018-06-21 13:45:00,711.5
2018-06-22 07:15:00,708
2018-06-23 00:45:00,1485.5
2018-06-23 18:15:00,1239.5
2018-06-24 11:45:00,654.5
2018-06-25 05:15:00,416
2018-06-25 22:45:00,909.5
2018-06-26 16:15:00,2083.5
2018-06-27 09:45:00,4154.5
2018-06-28 03:15:00,326
2018-06-28 20:45:00,5275.5
2018-06-29 14:15:00,1163
2018-06-30 07:45:00,1001
2018-07-01 01:15:00,463.5
2018-07-01 18:45:00,620
2018-07-02 12:15:00,1801.5
2018-07-03 05:45:00,6844
2018-07-03 23:15:00,5312
2018-07-04 16:45:00,1351.5
2018-07-05 10:15:00,3804.5
2018-07-06 03:45:00,344
2018-07-06 21:15:00,408
2018-07-07 14:45:00,1204.5
2018-07-08 08:15:00,488.5
2018-07-09 01:45:00,1953
2018-07-09 19:15:00,2302
2018-07-10 12:45:00,4260.5
2018-07-11 06:15:00,612
2018-07-11 23:45:00,2550
2018-07-12 17:15:00,3783.5
2018-07-13 10:45:00,4017
2018-07-14 04:15:00,3847.5
2018-07-14 21:45:00,2526
2018-07-15 15:15:00,13132.5
2018-07-16 08:45:00,707
2018-07-17 02:15:00,3655.5
2018-07-17 19:45:00,1899.5
2018-07-18 13:15:00,7467
2018-07-19 06:45:00,812
2018-07-20 00:15:00,524
2018-07-20 17:45:00,8546
2018-07-21 11:15:00,1378
2018-07-22 04:45:00,1701.5
2018-07-22 22:15:00,388
2018-07-23 15:45:00,1559
2018-07-24 09:15:00,2788
2018-07-25 02:45:00,949
2018-07-25 20:15:00,1570
2018-07-26 13:45:00,6132
2018-07-27 07:15:00,3151
2018-07-28 00:45:00,3426.5
2018-07-28 18:15:00,603.5
2018-07-29 11:45:00,953.5
2018-07-30 05:15:00,1993
2018-07-30 22:45:00,551.5
2018-07-31 16:15:00,7824.5
2018-08-01 09:45:00,995.5
2018-08-02 03:15:00,750
2018-08-02 20:45:00,2908.5
2018-08-03 14:15:00,3911.5
2018-08-04 07:45:00,1313.5
2018-08-05 01:15:00,405.5
2018-08-05 18:45:00,828
2018-08-06 12:15:00,3637.5
2018-08-07 05:45:00,1803
2018-08-07 23:15:00,1057
2018-08-08 16:45:00,4100.5
2018-08-09 10:15:00,627.5
2018-08-10 03:45:00,997.5
2018-08-10 21:15:00,1306
2018-08-11 14:45:00,6063.5
2018-08-12 08:15:00,1949.5
2018-08-13 01:45:00,569
2018-08-13 19:15:00,2268.5
2018-08-14 12:45:00,12528.5
2018-08-15 06:15:00,1223.5
2018-08-15 23:45:00,3025.5
2018-08-16 17:15:00,6193.5
2018-08-17 10:45:00,4226.5
2018-08-18 04:15:00,788.5
2018-08-18 21:45:00,1920.5
2018-08-19 15:15:00,2791.5
2018-08-20 08:45:00,1357.5
2018-08-21 02:15:00,779.5
2018-08-21 19:45:00,1202.5
2018-08-22 13:15:00,6015
2018-08-23 06:45:00,4762.5
2018-08-24 00:15:00,642.5
2018-08-24 17:45:00,2473
2018-08-25 11:15:00,1637
2018-08-26 04:45:00,651
2018-08-26 22:15:00,3658.5
2018-08-27 15:45:00,5330
2018-08-28 09:15:00,14277.5
2018-08-29 02:45:00,305.5
2018-08-29 20:15:00,2154
2018-08-30 13:45:00,8428
2018-08-31 07:15:00,1900
2018-09-01 00:45:00,1321.5
2018-09-01 18:15:00,1603.5
2018-09-02 11:45:00,1293
2018-09-03 05:15:00,2426.5
2018-09-03 22:45:00,2081.5
2018-09-04 16:15:00,9625
2018-09-05 09:45:00,2519
2018-09-06 03:15:00,1687
2018-09-06 20:45:00,5303.5
2018-09-07 14:15:00,17326.5
2018-09-08 07:45:00,1243.5
2018-09-09 01:15:00,1354.5
2018-09-09 18:45:00,764
2018-09-10 12:15:00,3691
2018-09-11 05:45:00,624.5
2018-09-11 23:15:00,8124.5
2018-09-12 16:45:00,1917
2018-09-13 10:15:00,2385
2018-09-14 03:45:00,1279.5
2018-09-14 21:15:00,11039.5
