CV,test_start,test_end,model,best_params,feature_selection,dependent_variable,independent_variables,DV_shifts,IV_lags,n_train_days,n_valid_days,n_test_days,train_valid_model_f1,test_model_f1,train_valid_random_f1,test_random_f1,train_valid_naive_f1,test_naive_f1,train_valid_model_accuracy,test_model_accuracy,train_valid_random_accuracy,test_random_accuracy,train_valid_naive_accuracy,test_naive_accuracy,train_valid_AlgoReturns,test_AlgoReturns,train_valid_RandomReturns,test_RandomReturns,train_valid_NaiveReturns,test_NaiveReturns,train_valid_BuyAndHolds,test_BuyAndHolds,execution_time,finished_time
1,2019-03-09,2019-05-07,LGBMC,"{'max_depth': 4, 'n_estimators': 253, 'learning_rate': 0.054077892447926386}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', 'BNB_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,1,480,60,60,1.0,0.7297297297297297,0.5176908752327747,0.6753246753246752,0.5018181818181818,0.75,1.0,0.6666666666666666,0.5167910447761194,0.5833333333333334,0.48880597014925375,0.6333333333333333,15.711414867132401,1.0999554356852919,0.47364297069772476,0.8167167094324466,0.26534744322859183,0.890343168770471,0.05053166478180238,1.091236501192327,67.51849855799992,2021_03_11_23_54
2,2019-05-08,2019-07-06,LGBMC,"{'max_depth': 3, 'n_estimators': 75, 'learning_rate': 0.002268842662937314}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7896341463414633,0.7727272727272727,0.5118829981718465,0.6000000000000001,0.5321428571428571,0.6829268292682927,0.7425373134328358,0.6666666666666666,0.5018656716417911,0.5333333333333333,0.5111940298507462,0.5666666666666667,7.682425825162344,2.2914817365460873,-1.0130685234070302,0.9382372252673221,0.316150767054971,1.4993503238937294,-0.4008220695606415,2.0221645590091075,65.67180221999934,2021_03_11_23_54
3,2019-07-07,2019-09-04,LGBMC,"{'max_depth': 6, 'n_estimators': 170, 'learning_rate': 0.00016240543633750553}",True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'WAVES_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.6894865525672372,0.6363636363636364,0.5238095238095238,0.4838709677419355,0.5266903914590747,0.4642857142857143,0.5261194029850746,0.4666666666666667,0.5149253731343284,0.4666666666666667,0.503731343283582,0.5,-0.5821879383564124,-0.3071220103822565,-0.09274636622125065,-0.1937681053772291,0.08459310985625201,-0.0050596218463017095,-0.7981977948255192,-0.34163160280751903,63.25066269099989,2021_03_11_23_54
4,2019-09-05,2019-11-03,LGBMC,"{'max_depth': 6, 'n_estimators': 26, 'learning_rate': 0.035134795959967866}",True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.8791593695271455,0.6470588235294118,0.5,0.4666666666666667,0.5278276481149013,0.34615384615384615,0.871268656716418,0.6,0.48880597014925375,0.4666666666666667,0.5093283582089553,0.43333333333333335,11.016890382789123,0.5258564576449256,-0.44602571388249856,-0.19854705314407006,1.1914506251177936,-0.18253344560869067,0.08989144536937665,-0.09013692345399882,62.27960631499991,2021_03_11_23_54
5,2019-11-04,2020-01-02,LGBMC,"{'max_depth': 5, 'n_estimators': 232, 'learning_rate': 0.008232051834420597}",True,btc_LogReturn_binary,"['ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'XRP_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'XEM_AdjClose_LogReturn_lag1', 'NEO_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1', 'ETC_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.8776223776223775,0.5423728813559322,0.5239852398523985,0.3636363636363637,0.517304189435337,0.2790697674418604,0.8694029850746269,0.55,0.5186567164179104,0.4166666666666667,0.5055970149253731,0.48333333333333334,10.285515601274719,-0.2593192921239744,0.7689671580790254,-0.6332809967214956,1.0423225720631564,-0.42738259012058855,0.2182107932759525,-0.713070978957365,63.71438338900043,2021_03_11_23_54
6,2020-01-03,2020-03-02,LGBMC,"{'max_depth': 4, 'n_estimators': 510, 'learning_rate': 0.0009919062935047213}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ZEC_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'EOS_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1', 'IOTA_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7732864674868188,0.7123287671232875,0.49906191369606,0.45161290322580644,0.5074074074074074,0.5757575757575758,0.7593283582089553,0.65,0.5018656716417911,0.43333333333333335,0.503731343283582,0.5333333333333333,8.175506631676734,1.0343102656408956,-0.4933953176996404,0.039951172286874836,1.3512816804573369,0.2603043669801064,0.36613231408544067,0.6116306024659952,59.9242384399995,2021_03_11_23_54
7,2020-03-03,2020-05-01,LGBMC,"{'max_depth': 3, 'n_estimators': 597, 'learning_rate': 0.0013980539734770824}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '04_blocks-size_LogReturn', '07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'EOS_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', '07_n-transactions-total_LogReturn_lag1', 'ETH_AdjClose_LogReturn_lag1', 'BCH_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.7770034843205574,0.732394366197183,0.49624060150375937,0.6285714285714286,0.4981549815498155,0.6027397260273972,0.7611940298507462,0.6833333333333333,0.5,0.5666666666666667,0.4925373134328358,0.5166666666666667,8.266088656676356,1.5616769693171708,1.053795911356481,-0.06921249981856725,1.3560888141096648,0.2827392427437818,1.069860501586378,-0.4637996829294089,58.75248085600015,2021_03_11_23_54
8,2020-05-02,2020-06-30,LGBMC,"{'max_depth': 3, 'n_estimators': 5, 'learning_rate': 0.0009721478205875444}",True,btc_LogReturn_binary,"['02_market-cap_LogReturn', '04_blocks-size_LogReturn', '07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'ETH_AdjClose_LogReturn', 'XRP_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'XEM_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'IOTA_AdjClose_LogReturn', '07_n-transactions-total_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.6846625766871166,0.6956521739130436,0.51520572450805,0.6376811594202898,0.5225225225225225,0.5454545454545455,0.5205223880597015,0.5333333333333333,0.4944029850746269,0.5833333333333334,0.5055970149253731,0.5,0.8119829505798055,0.2495863715858615,0.759928220927339,0.29843107374871636,1.871064550204828,-0.08865001851382459,0.5063238416768296,0.5497663902451588,54.866044679999504,2021_03_11_23_54
9,2020-07-01,2020-08-29,LGBMC,"{'max_depth': 7, 'n_estimators': 933, 'learning_rate': 0.08914902404349767}",True,btc_LogReturn_binary,"['29_mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,1,480,60,60,1.0,0.6470588235294118,0.5238938053097346,0.42622950819672134,0.5363321799307958,0.4857142857142857,1.0,0.6,0.498134328358209,0.4166666666666667,0.5,0.4,13.704816607048642,0.6773103394135731,2.45149038166492,0.07938744912006968,2.0039548314738553,0.4139441967295774,2.5231641564339125,0.6832773026714971,52.93189908600016,2021_03_11_23_54
10,2020-08-30,2020-10-28,LGBMC,"{'max_depth': 3, 'n_estimators': 666, 'learning_rate': 0.0007686833867315099}",True,btc_LogReturn_binary,"['07_n-transactions-total_LogReturn', '29_mvrv_LogReturn', 'USDT_Volume_LogReturn', 'ETH_AdjClose_LogReturn', 'LTC_AdjClose_LogReturn', 'BCH_AdjClose_LogReturn', 'BNB_AdjClose_LogReturn', 'XLM_AdjClose_LogReturn', 'XMR_AdjClose_LogReturn', 'NEO_AdjClose_LogReturn', 'ETH_AdjClose_LogReturn_lag1', 'LTC_AdjClose_LogReturn_lag1', 'XLM_AdjClose_LogReturn_lag1', 'XMR_AdjClose_LogReturn_lag1']",3,1,480,60,60,0.8011695906432749,0.7906976744186047,0.48451730418943534,0.5074626865671643,0.5476190476190474,0.6052631578947368,0.746268656716418,0.7,0.47201492537313433,0.45,0.503731343283582,0.5,10.13797181961134,0.8377399379160355,0.9785370138167178,0.09038395182864178,2.611366722787057,0.23269532278685467,3.2807886450985944,0.35091494449700633,57.77481116299987,2021_03_11_23_54
