Timestamp,n-transactions
2018-02-26 00:00:00,186474
2018-02-27 00:00:00,219624
2018-02-28 00:00:00,189223
2018-03-01 00:00:00,233744
2018-03-02 00:00:00,195073
2018-03-03 00:00:00,177024
2018-03-04 00:00:00,160231
2018-03-05 00:00:00,201438
2018-03-06 00:00:00,206016
2018-03-07 00:00:00,213978
2018-03-08 00:00:00,196422
2018-03-09 00:00:00,198180
2018-03-10 00:00:00,156228
2018-03-11 00:00:00,150884
2018-03-12 00:00:00,188394
2018-03-13 00:00:00,196140
2018-03-14 00:00:00,191042
2018-03-15 00:00:00,206186
2018-03-16 00:00:00,186979
2018-03-17 00:00:00,154496
2018-03-18 00:00:00,164401
2018-03-19 00:00:00,191528
2018-03-20 00:00:00,195168
2018-03-21 00:00:00,194846
2018-03-22 00:00:00,185187
2018-03-23 00:00:00,179818
2018-03-24 00:00:00,157087
2018-03-25 00:00:00,135274
2018-03-26 00:00:00,187850
2018-03-27 00:00:00,187065
2018-03-28 00:00:00,177521
2018-03-29 00:00:00,192411
2018-03-30 00:00:00,185940
2018-03-31 00:00:00,148617
2018-04-01 00:00:00,135129
2018-04-02 00:00:00,168178
2018-04-03 00:00:00,198919
2018-04-04 00:00:00,185710
2018-04-05 00:00:00,181832
2018-04-06 00:00:00,172889
2018-04-07 00:00:00,154639
2018-04-08 00:00:00,138535
2018-04-09 00:00:00,176563
2018-04-10 00:00:00,186415
2018-04-11 00:00:00,183248
2018-04-12 00:00:00,210879
2018-04-13 00:00:00,217282
2018-04-14 00:00:00,161843
2018-04-15 00:00:00,174031
2018-04-16 00:00:00,196106
2018-04-17 00:00:00,201820
2018-04-18 00:00:00,200740
2018-04-19 00:00:00,213523
2018-04-20 00:00:00,207777
2018-04-21 00:00:00,193975
2018-04-22 00:00:00,171870
2018-04-23 00:00:00,226353
2018-04-24 00:00:00,254493
2018-04-25 00:00:00,213155
2018-04-26 00:00:00,216732
2018-04-27 00:00:00,211119
2018-04-28 00:00:00,203681
2018-04-29 00:00:00,180798
2018-04-30 00:00:00,215107
2018-05-01 00:00:00,199959
2018-05-02 00:00:00,212296
2018-05-03 00:00:00,228521
2018-05-04 00:00:00,219069
2018-05-05 00:00:00,202703
2018-05-06 00:00:00,171761
2018-05-07 00:00:00,205063
2018-05-08 00:00:00,217810
2018-05-09 00:00:00,206579
2018-05-10 00:00:00,208961
2018-05-11 00:00:00,213624
2018-05-12 00:00:00,182054
2018-05-13 00:00:00,158794
2018-05-14 00:00:00,209697
2018-05-15 00:00:00,214779
2018-05-16 00:00:00,208463
2018-05-17 00:00:00,192683
2018-05-18 00:00:00,211496
2018-05-19 00:00:00,173274
2018-05-20 00:00:00,158663
2018-05-21 00:00:00,202647
2018-05-22 00:00:00,203337
2018-05-23 00:00:00,223196
2018-05-24 00:00:00,206825
2018-05-25 00:00:00,196181
2018-05-26 00:00:00,158783
2018-05-27 00:00:00,144304
2018-05-28 00:00:00,189063
2018-05-29 00:00:00,204769
2018-05-30 00:00:00,204077
2018-05-31 00:00:00,209526
2018-06-01 00:00:00,205481
2018-06-02 00:00:00,174497
2018-06-03 00:00:00,163443
2018-06-04 00:00:00,209916
2018-06-05 00:00:00,212901
2018-06-06 00:00:00,206417
2018-06-07 00:00:00,207627
2018-06-08 00:00:00,200379
