Timestamp,blocks-size
2018-01-29 00:00:00,155004.152868
2018-01-30 00:00:00,155153.771754
2018-01-31 00:00:00,155319.061414
2018-02-01 00:00:00,155441.764189
2018-02-02 00:00:00,155610.347284
2018-02-03 00:00:00,155782.138369
2018-02-04 00:00:00,155939.609068
2018-02-05 00:00:00,156115.914121
2018-02-06 00:00:00,156319.922493
2018-02-07 00:00:00,156501.425303
2018-02-08 00:00:00,156652.542616
2018-02-09 00:00:00,156789.904613
2018-02-10 00:00:00,156935.095099
2018-02-11 00:00:00,157083.07799
2018-02-12 00:00:00,157235.205926
2018-02-13 00:00:00,157407.334135
2018-02-14 00:00:00,157577.403619
2018-02-15 00:00:00,157759.251357
2018-02-16 00:00:00,157898.647988
2018-02-17 00:00:00,158053.999484
2018-02-18 00:00:00,158198.564077
2018-02-19 00:00:00,158356.571351
2018-02-20 00:00:00,158519.660286
2018-02-21 00:00:00,158662.18411
2018-02-22 00:00:00,158828.660437
2018-02-23 00:00:00,158965.610932
2018-02-24 00:00:00,159114.568128
2018-02-25 00:00:00,159263.561866
2018-02-26 00:00:00,159384.300932
2018-02-27 00:00:00,159523.483153
2018-02-28 00:00:00,159686.10381
2018-03-01 00:00:00,159849.508816
2018-03-02 00:00:00,160025.839098
2018-03-03 00:00:00,160160.107771
2018-03-04 00:00:00,160335.950536
2018-03-05 00:00:00,160484.364404
2018-03-06 00:00:00,160635.720884
2018-03-07 00:00:00,160795.198856
2018-03-08 00:00:00,160955.714145
2018-03-09 00:00:00,161120.884997
2018-03-10 00:00:00,161271.46641
2018-03-11 00:00:00,161413.174859
2018-03-12 00:00:00,161568.264588
2018-03-13 00:00:00,161720.183306
2018-03-14 00:00:00,161861.837391
2018-03-15 00:00:00,161969.01389
2018-03-16 00:00:00,162079.109866
2018-03-17 00:00:00,162186.651854
2018-03-18 00:00:00,162262.475796
2018-03-19 00:00:00,162367.894486
2018-03-20 00:00:00,162473.204814
2018-03-21 00:00:00,162573.806211
2018-03-22 00:00:00,162676.150801
2018-03-23 00:00:00,162789.392409
2018-03-24 00:00:00,162900.148233
2018-03-25 00:00:00,162993.323652
2018-03-26 00:00:00,163070.650784
2018-03-27 00:00:00,163176.843076
2018-03-28 00:00:00,163293.062293
2018-03-29 00:00:00,163391.315075
2018-03-30 00:00:00,163494.417659
2018-03-31 00:00:00,163595.811314
2018-04-01 00:00:00,163682.332635
2018-04-02 00:00:00,163755.572307
2018-04-03 00:00:00,163843.946204
2018-04-04 00:00:00,163953.611398
2018-04-05 00:00:00,164060.058869
2018-04-06 00:00:00,164160.846209
2018-04-07 00:00:00,164275.335946
2018-04-08 00:00:00,164372.084512
2018-04-09 00:00:00,164441.587369
2018-04-10 00:00:00,164550.35131
2018-04-11 00:00:00,164662.270224
2018-04-12 00:00:00,164764.541883
2018-04-13 00:00:00,164892.480186
2018-04-14 00:00:00,165011.141441
2018-04-15 00:00:00,165121.182964
2018-04-16 00:00:00,165259.265051
2018-04-17 00:00:00,165395.385598
2018-04-18 00:00:00,165513.633207
