Date,nasdaq_High,nasdaq_Low,nasdaq_Open,nasdaq_Close,nasdaq_Volume,nasdaq_AdjClose
2017-09-05,6426.509765625,6334.58984375,6414.81982421875,6375.56982421875,1886950000.0,6375.56982421875
2017-09-06,6407.39990234375,6356.2001953125,6394.35009765625,6393.31005859375,1906030000.0,6393.31005859375
2017-09-07,6413.06982421875,6379.81005859375,6402.93994140625,6397.8701171875,1998380000.0,6397.8701171875
2017-09-08,6391.41015625,6354.9599609375,6389.64990234375,6360.18994140625,1785560000.0,6360.18994140625
2017-09-09,,,,,,
2017-09-10,,,,,,
2017-09-11,6439.10986328125,6410.7099609375,6411.18017578125,6432.259765625,1819300000.0,6432.259765625
2017-09-12,6455.02978515625,6429.5400390625,6448.81005859375,6454.27978515625,1745090000.0,6454.27978515625
2017-09-13,6460.419921875,6433.2001953125,6440.72021484375,6460.18994140625,1942090000.0,6460.18994140625
2017-09-14,6455.31982421875,6424.0400390625,6439.4599609375,6429.080078125,1809170000.0,6429.080078125
2017-09-15,6464.27001953125,6419.64990234375,6426.16015625,6448.47021484375,2821110000.0,6448.47021484375
2017-09-16,,,,,,
2017-09-17,,,,,,
2017-09-18,6477.77001953125,6438.41015625,6460.10009765625,6454.64013671875,1874440000.0,6454.64013671875
2017-09-19,6467.7900390625,6446.75,6465.56982421875,6461.31982421875,1809710000.0,6461.31982421875
2017-09-20,6466.0498046875,6414.22998046875,6459.740234375,6456.0400390625,2052520000.0,6456.0400390625
2017-09-21,6448.56982421875,6405.2998046875,6448.56982421875,6422.68994140625,1772790000.0,6422.68994140625
2017-09-22,6429.5400390625,6400.81005859375,6401.43994140625,6426.919921875,1639100000.0,6426.919921875
2017-09-23,,,,,,
2017-09-24,,,,,,
2017-09-25,6408.0498046875,6343.9599609375,6403.10986328125,6370.58984375,2050410000.0,6370.58984375
2017-09-26,6405.0,6364.56982421875,6391.85009765625,6380.16015625,1926420000.0,6380.16015625
2017-09-27,6472.64990234375,6405.35986328125,6414.3701171875,6453.259765625,2053720000.0,6453.259765625
2017-09-28,6456.22998046875,6427.66015625,6437.9599609375,6453.4501953125,1828570000.0,6453.4501953125
2017-09-29,6497.97998046875,6454.85986328125,6461.27978515625,6495.9599609375,1967720000.0,6495.9599609375
2017-09-30,,,,,,
2017-10-01,,,,,,
2017-10-02,6527.22021484375,6484.14013671875,6506.080078125,6516.72021484375,1977030000.0,6516.72021484375
2017-10-03,6532.18017578125,6509.7099609375,6523.740234375,6531.7099609375,1969320000.0,6531.7099609375
2017-10-04,6546.4599609375,6513.1201171875,6521.9599609375,6534.6298828125,1938440000.0,6534.6298828125
