Date,eur_usd_High,eur_usd_Low,eur_usd_Open,eur_usd_Close,eur_usd_Volume,eur_usd_AdjClose
2017-09-04,1.193816065788269,1.187042236328125,1.18944251537323,1.1893434524536133,0.0,1.1893434524536133
2017-09-05,1.1949286460876465,1.1903769969940186,1.1923640966415405,1.1924067735671997,0.0,1.1924067735671997
2017-09-06,1.205690860748291,1.1915684938430786,1.1927480697631836,1.1927765607833862,0.0,1.1927765607833862
2017-09-07,1.2093360424041748,1.2018941640853882,1.2028627395629883,1.2029062509536743,0.0,1.2029062509536743
2017-09-08,,,,,,
2017-09-09,,,,,,
2017-09-10,1.2029350996017456,1.1962437629699707,1.2015330791473389,1.2017642259597778,0.0,1.2017642259597778
2017-09-11,1.1977481842041016,1.1927480697631836,1.1958575248718262,1.1959433555603027,0.0,1.1959433555603027
2017-09-12,1.1996002197265625,1.188565969467163,1.1971603631973267,1.1974613666534424,0.0,1.1974613666534424
2017-09-13,1.1910008192062378,1.1845674514770508,1.1890465021133423,1.1890605688095093,0.0,1.1890605688095093
2017-09-14,1.198552131652832,1.1902352571487427,1.1922788619995117,1.1921650171279907,0.0,1.1921650171279907
2017-09-15,,,,,,
2017-09-16,,,,,,
2017-09-17,1.1968880891799927,1.1916821002960205,1.1937447786331177,1.193716287612915,0.0,1.193716287612915
2017-09-18,1.2005378007888794,1.196000576019287,1.1961722373962402,1.1959290504455566,0.0,1.1959290504455566
2017-09-19,1.2019230127334595,1.198667049407959,1.1992852687835693,1.199256420135498,0.0,1.199256420135498
2017-09-20,1.1953572034835815,1.1866196393966675,1.187295913696289,1.1872113943099976,0.0,1.1872113943099976
2017-09-21,1.2002496719360352,1.1940582990646362,1.1944862604141235,1.194557547569275,0.0,1.194557547569275
2017-09-22,,,,,,
2017-09-23,,,,,,
2017-09-24,1.1938873529434204,1.185185194015503,1.1926769018173218,1.1927196979522705,0.0,1.1927196979522705
2017-09-25,1.186380386352539,1.1765259504318237,1.185564637184143,1.185564637184143,0.0,1.185564637184143
2017-09-26,1.1795234680175781,1.1719207763671875,1.1781338453292847,1.1786059141159058,0.0,1.1786059141159058
2017-09-27,1.1802752017974854,1.172195553779602,1.175046682357788,1.1749638319015503,0.0,1.1749638319015503
2017-09-28,1.1831939220428467,1.1773293018341064,1.1780644655227661,1.178175449371338,0.0,1.178175449371338
2017-09-29,,,,,,
2017-09-30,,,,,,
2017-10-01,1.1807630062103271,1.17311692237854,1.1807630062103271,1.1807351112365723,0.0,1.1807351112365723
2017-10-02,1.177163004875183,1.169741153717041,1.1733232736587524,1.173378348350525,0.0,1.173378348350525
2017-10-03,1.1786754131317139,1.1747430562973022,1.1747844219207764,1.1747568845748901,0.0,1.1747568845748901
2017-10-04,1.177994966506958,1.1703845262527466,1.1756960153579712,1.175723671913147,0.0,1.175723671913147
2017-10-05,1.1738742589950562,1.1671334505081177,1.1713991165161133,1.1712344884872437,0.0,1.1712344884872437
2017-10-06,,,,,,
2017-10-07,,,,,,
2017-10-08,1.1750881671905518,1.1720993518829346,1.1742877960205078,1.1742464303970337,0.0,1.1742464303970337
2017-10-09,1.1817677021026611,1.1741912364959717,1.1741912364959717,1.1741636991500854,0.0,1.1741636991500854
2017-10-10,1.1858035326004028,1.179634690284729,1.181404709815979,1.1814883947372437,0.0,1.1814883947372437
2017-10-11,1.1880717277526855,1.1831799745559692,1.1865352392196655,1.1865493059158325,0.0,1.1865493059158325
2017-10-12,1.1874369382858276,1.1806235313415527,1.1831378936767578,1.1831799745559692,0.0,1.1831799745559692
2017-10-13,,,,,,
2017-10-14,,,,,,
2017-10-15,1.182102918624878,1.1781060695648193,1.1815024614334106,1.181404709815979,0.0,1.181404709815979
2017-10-16,1.1795096397399902,1.1738604307174683,1.1795096397399902,1.1794538497924805,0.0,1.1794538497924805
2017-10-17,1.1779812574386597,1.1732269525527954,1.1772878170013428,1.1771907806396484,0.0,1.1771907806396484
2017-10-18,1.1857191324234009,1.1769968271255493,1.179356575012207,1.1795234680175781,0.0,1.1795234680175781
2017-10-19,1.1858035326004028,1.1764997243881226,1.18519926071167,1.184805989265442,0.0,1.184805989265442
2017-10-20,,,,,,
2017-10-21,,,,,,
