Date,eurostoxx_High,eurostoxx_Low,eurostoxx_Open,eurostoxx_Close,eurostoxx_Volume,eurostoxx_AdjClose
2017-09-05,3448.929931640625,3415.97998046875,3432.550048828125,3420.860107421875,27881800.0,3420.860107421875
2017-09-06,3444.47998046875,3396.68994140625,3407.93994140625,3433.800048828125,40628800.0,3433.800048828125
2017-09-07,3467.93994140625,3437.610107421875,3437.610107421875,3447.659912109375,36453300.0,3447.659912109375
2017-09-08,3453.35009765625,3433.6298828125,3441.340087890625,3447.68994140625,31914900.0,3447.68994140625
2017-09-09,,,,,,
2017-09-10,,,,,,
2017-09-11,3496.699951171875,3456.77001953125,3456.77001953125,3495.18994140625,34428500.0,3495.18994140625
2017-09-12,3520.820068359375,3498.320068359375,3498.320068359375,3512.56005859375,34178900.0,3512.56005859375
2017-09-13,3529.179931640625,3506.610107421875,3509.639892578125,3523.139892578125,36394600.0,3523.139892578125
2017-09-14,3530.280029296875,3512.010009765625,3521.030029296875,3526.47998046875,36105600.0,3526.47998046875
2017-09-15,3532.780029296875,3509.929931640625,3526.010009765625,3515.550048828125,78595200.0,3515.550048828125
2017-09-16,,,,,,
2017-09-17,,,,,,
2017-09-18,3537.219970703125,3522.590087890625,3523.60009765625,3526.739990234375,28035100.0,3526.739990234375
2017-09-19,3531.179931640625,3520.929931640625,3524.280029296875,3531.179931640625,25210800.0,3531.179931640625
2017-09-20,3533.659912109375,3520.719970703125,3528.169921875,3525.550048828125,29120000.0,3525.550048828125
2017-09-21,3546.56005859375,3531.52001953125,3531.52001953125,3539.590087890625,34717700.0,3539.590087890625
2017-09-22,3553.080078125,3532.389892578125,3534.27001953125,3541.419921875,30404000.0,3541.419921875
2017-09-23,,,,,,
2017-09-24,,,,,,
2017-09-25,3546.830078125,3530.8798828125,3537.2099609375,3537.81005859375,29131600.0,3537.81005859375
2017-09-26,3542.8798828125,3529.18994140625,3534.889892578125,3536.3798828125,25979100.0,3536.3798828125
2017-09-27,3563.010009765625,3538.429931640625,3538.429931640625,3555.169921875,37927800.0,3555.169921875
2017-09-28,3566.60009765625,3556.5,3556.5,3563.639892578125,33854100.0,3563.639892578125
2017-09-29,3594.85009765625,3560.72998046875,3563.610107421875,3594.85009765625,40061400.0,3594.85009765625
2017-09-30,,,,,,
2017-10-01,,,,,,
2017-10-02,3602.68994140625,3588.39990234375,3590.7099609375,3602.68994140625,33586600.0,3602.68994140625
2017-10-03,3607.31005859375,3598.7099609375,3605.989990234375,3605.72998046875,19542400.0,3605.72998046875
2017-10-04,3608.449951171875,3584.820068359375,3606.60009765625,3594.909912109375,49094400.0,3594.909912109375
2017-10-05,3613.72998046875,3589.659912109375,3592.659912109375,3613.5400390625,39682800.0,3613.5400390625
2017-10-06,3614.169921875,3595.5,3614.169921875,3603.320068359375,31385300.0,3603.320068359375
2017-10-07,,,,,,
2017-10-08,,,,,,
2017-10-09,3618.340087890625,3600.93994140625,3604.610107421875,3610.5,26747500.0,3610.5
2017-10-10,3609.0400390625,3589.97998046875,3607.0,3598.7900390625,32706700.0,3598.7900390625
2017-10-11,3608.510009765625,3591.239990234375,3600.169921875,3607.389892578125,39913200.0,3607.389892578125
2017-10-12,3608.159912109375,3595.56005859375,3608.159912109375,3605.5400390625,25883200.0,3605.5400390625
2017-10-13,3618.35009765625,3599.510009765625,3607.090087890625,3604.550048828125,28417300.0,3604.550048828125
2017-10-14,,,,,,
2017-10-15,,,,,,
2017-10-16,3613.489990234375,3600.219970703125,3607.179931640625,3606.27001953125,29777400.0,3606.27001953125
2017-10-17,3619.659912109375,3598.1201171875,3609.300048828125,3607.77001953125,28661900.0,3607.77001953125
2017-10-18,3625.8701171875,3607.2099609375,3608.02001953125,3619.64990234375,26613000.0,3619.64990234375
