Date,SSE_High,SSE_Low,SSE_Open,SSE_Close,SSE_Volume,SSE_AdjClose
2017-09-05,3390.822998046875,3371.571044921875,3377.197021484375,3384.31689453125,216600.0,3384.31689453125
2017-09-06,3391.010986328125,3364.764892578125,3372.427978515625,3385.388916015625,229100.0,3385.388916015625
2017-09-07,3387.7958984375,3363.177001953125,3383.6279296875,3365.4970703125,221100.0,3365.4970703125
2017-09-08,3380.889892578125,3353.68798828125,3364.427978515625,3365.242919921875,198400.0,3365.242919921875
2017-09-09,,,,,,
2017-09-10,,,,,,
2017-09-11,3384.81005859375,3360.0458984375,3365.35107421875,3376.4189453125,219000.0,3376.4189453125
2017-09-12,3391.069091796875,3370.85205078125,3381.487060546875,3379.488037109375,272900.0,3379.488037109375
2017-09-13,3387.139892578125,3366.541015625,3374.718994140625,3384.14697265625,194600.0,3384.14697265625
2017-09-14,3391.64404296875,3361.333984375,3383.469970703125,3371.426025390625,221300.0,3371.426025390625
2017-09-15,3365.528076171875,3345.327880859375,3365.14501953125,3353.618896484375,219800.0,3353.618896484375
2017-09-16,,,,,,
2017-09-17,,,,,,
2017-09-18,3371.7490234375,3352.512939453125,3352.512939453125,3362.85888671875,190300.0,3362.85888671875
2017-09-19,3370.40087890625,3344.705078125,3365.531982421875,3356.844970703125,191100.0,3356.844970703125
2017-09-20,3370.097900390625,3346.535888671875,3352.18505859375,3365.99609375,192200.0,3365.99609375
2017-09-21,3377.884033203125,3356.875,3364.697998046875,3357.81201171875,197400.0,3357.81201171875
2017-09-22,3356.450927734375,3334.985107421875,3347.156982421875,3352.529052734375,179200.0,3352.529052734375
2017-09-23,,,,,,
2017-09-24,,,,,,
2017-09-25,3350.9609375,3334.944091796875,3344.589111328125,3341.549072265625,169600.0,3341.549072265625
2017-09-26,3347.1630859375,3332.59912109375,3336.35009765625,3343.5830078125,132600.0,3343.5830078125
2017-09-27,3349.695068359375,3340.299072265625,3340.822021484375,3345.27197265625,143100.0,3345.27197265625
2017-09-28,3344.60107421875,3336.177978515625,3343.844970703125,3339.64208984375,149400.0,3339.64208984375
2017-09-29,3357.014892578125,3340.31103515625,3340.31103515625,3348.943115234375,144900.0,3348.943115234375
2017-09-30,,,,,,
2017-10-01,,,,,,
2017-10-02,,,,,,
2017-10-03,,,,,,
2017-10-04,,,,,,
2017-10-05,,,,,,
2017-10-06,,,,,,
2017-10-07,,,,,,
2017-10-08,,,,,,
2017-10-09,3410.169921875,3366.965087890625,3403.24609375,3374.3779296875,191700.0,3374.3779296875
2017-10-10,3384.02587890625,3358.794921875,3373.344970703125,3382.988037109375,179400.0,3382.988037109375
2017-10-11,3395.779052734375,3379.1630859375,3381.488037109375,3388.283935546875,181500.0,3388.283935546875
2017-10-12,3390.2041015625,3372.532958984375,3385.532958984375,3386.10009765625,161800.0,3386.10009765625
2017-10-13,3395.748046875,3383.239013671875,3384.488037109375,3390.52294921875,140000.0,3390.52294921875
2017-10-14,,,,,,
2017-10-15,,,,,,
2017-10-16,3400.510986328125,3374.76904296875,3393.2060546875,3378.469970703125,174300.0,3378.469970703125
2017-10-17,3382.406982421875,3365.56494140625,3373.23388671875,3372.041015625,125400.0,3372.041015625
2017-10-18,3383.23193359375,3371.925048828125,3373.528076171875,3381.7939453125,157200.0,3381.7939453125
2017-10-19,3378.736083984375,3359.6279296875,3374.64404296875,3370.172119140625,158500.0,3370.172119140625
2017-10-20,3379.764892578125,3360.10009765625,3363.513916015625,3378.64794921875,127200.0,3378.64794921875
2017-10-21,,,,,,
2017-10-22,,,,,,
2017-10-23,3385.284912109375,3374.705078125,3382.280029296875,3380.698974609375,130800.0,3380.698974609375
2017-10-24,3388.68896484375,3374.125,3376.59912109375,3388.248046875,139900.0,3388.248046875
2017-10-25,3398.303955078125,3382.033935546875,3384.85791015625,3396.89794921875,123100.0,3396.89794921875
2017-10-26,3414.241943359375,3391.455078125,3397.51904296875,3407.56689453125,183800.0,3407.56689453125
2017-10-27,3421.10302734375,3402.114013671875,3404.498046875,3416.81201171875,170300.0,3416.81201171875
2017-10-28,,,,,,
2017-10-29,,,,,,
2017-10-30,3419.73193359375,3357.27587890625,3413.867919921875,3390.3369140625,208300.0,3390.3369140625
2017-10-31,3397.09912109375,3376.1240234375,3380.9990234375,3393.342041015625,153500.0,3393.342041015625
2017-11-01,3410.35205078125,3388.597900390625,3393.968017578125,3395.9130859375,180600.0,3395.9130859375
2017-11-02,3391.652099609375,3372.212890625,3391.652099609375,3383.31005859375,166900.0,3383.31005859375
2017-11-03,3380.570068359375,3347.360107421875,3377.736083984375,3371.743896484375,172700.0,3371.743896484375
2017-11-04,,,,,,
2017-11-05,,,,,,
2017-11-06,3389.383056640625,3356.533935546875,3369.68505859375,3388.174072265625,154600.0,3388.174072265625
2017-11-07,3415.14794921875,3387.946044921875,3389.471923828125,3413.574951171875,190600.0,3413.574951171875
2017-11-08,3434.491943359375,3404.881103515625,3409.14697265625,3415.4599609375,185400.0,3415.4599609375
2017-11-09,3428.77001953125,3408.618896484375,3410.672119140625,3427.794921875,158700.0,3427.794921875
2017-11-10,3438.7919921875,3414.3291015625,3423.18505859375,3432.673095703125,189300.0,3432.673095703125
2017-11-11,,,,,,
2017-11-12,,,,,,
2017-11-13,3449.1640625,3435.0849609375,3435.18408203125,3447.8359375,205400.0,3447.8359375
2017-11-14,3450.4951171875,3419.69189453125,3446.544921875,3429.548095703125,196500.0,3429.548095703125
2017-11-15,3423.75,3396.381103515625,3416.2109375,3402.52490234375,168800.0,3402.52490234375
2017-11-16,3409.653076171875,3390.589111328125,3393.194091796875,3399.25,156700.0,3399.25
2017-11-17,3403.285888671875,3373.2958984375,3392.68310546875,3382.907958984375,249500.0,3382.907958984375
2017-11-18,,,,,,
2017-11-19,,,,,,
2017-11-20,3393.10595703125,3337.115966796875,3361.35595703125,3392.39892578125,176500.0,3392.39892578125
2017-11-21,3419.802001953125,3377.59912109375,3382.360107421875,3410.498046875,196900.0,3410.498046875
