Date,dow30_High,dow30_Low,dow30_Open,dow30_Close,dow30_Volume,dow30_AdjClose
2017-09-05,21921.08984375,21709.630859375,21912.369140625,21753.310546875,332840000.0,21753.310546875
2017-09-06,21849.240234375,21794.0703125,21815.759765625,21807.640625,318760000.0,21807.640625
2017-09-07,21850.009765625,21745.7109375,21820.380859375,21784.779296875,333810000.0,21784.779296875
2017-09-08,21846.630859375,21731.119140625,21764.4296875,21797.7890625,289400000.0,21797.7890625
2017-09-09,,,,,,
2017-09-10,,,,,,
2017-09-11,22067.099609375,21927.7890625,21927.7890625,22057.369140625,312770000.0,22057.369140625
2017-09-12,22134.5703125,22087.08984375,22090.560546875,22118.859375,364580000.0,22118.859375
2017-09-13,22158.1796875,22095.7890625,22103.470703125,22158.1796875,291890000.0,22158.1796875
2017-09-14,22216.439453125,22135.259765625,22144.9609375,22203.48046875,297780000.0,22203.48046875
2017-09-15,22275.01953125,22214.51953125,22252.439453125,22268.33984375,527540000.0,22268.33984375
2017-09-16,,,,,,
2017-09-17,,,,,,
2017-09-18,22355.619140625,22283.349609375,22297.919921875,22331.349609375,302740000.0,22331.349609375
2017-09-19,22386.009765625,22340.7109375,22349.69921875,22370.80078125,295570000.0,22370.80078125
2017-09-20,22413.259765625,22314.6796875,22351.380859375,22412.58984375,334560000.0,22412.58984375
2017-09-21,22419.509765625,22356.55078125,22414.01953125,22359.23046875,287390000.0,22359.23046875
2017-09-22,22364.310546875,22299.580078125,22334.0703125,22349.58984375,297140000.0,22349.58984375
2017-09-23,,,,,,
2017-09-24,,,,,,
2017-09-25,22359.880859375,22219.109375,22320.470703125,22296.08984375,332430000.0,22296.08984375
2017-09-26,22369.349609375,22279.51953125,22322.029296875,22284.3203125,285990000.0,22284.3203125
2017-09-27,22371.099609375,22254.9296875,22330.9296875,22340.7109375,342900000.0,22340.7109375
2017-09-28,22394.740234375,22288.970703125,22306.830078125,22381.19921875,263010000.0,22381.19921875
2017-09-29,22405.630859375,22332.9609375,22358.470703125,22405.08984375,274790000.0,22405.08984375
2017-09-30,,,,,,
2017-10-01,,,,,,
2017-10-02,22559.380859375,22416.0,22423.470703125,22557.599609375,268530000.0,22557.599609375
2017-10-03,22646.3203125,22562.900390625,22564.44921875,22641.669921875,238830000.0,22641.669921875
2017-10-04,22685.939453125,22632.80078125,22645.669921875,22661.640625,235730000.0,22661.640625
2017-10-05,22777.0390625,22655.140625,22669.080078125,22775.390625,246400000.0,22775.390625
2017-10-06,22773.669921875,22730.849609375,22762.029296875,22773.669921875,221450000.0,22773.669921875
2017-10-07,,,,,,
2017-10-08,,,,,,
2017-10-09,22803.369140625,22739.380859375,22779.73046875,22761.0703125,310770000.0,22761.0703125
2017-10-10,22850.509765625,22770.990234375,22784.759765625,22830.6796875,319270000.0,22830.6796875
2017-10-11,22872.890625,22821.66015625,22827.650390625,22872.890625,316000000.0,22872.890625
2017-10-12,22884.8203125,22821.130859375,22854.849609375,22841.009765625,291790000.0,22841.009765625
