Date,sp500_High,sp500_Low,sp500_Open,sp500_Close,sp500_Volume,sp500_AdjClose
2017-09-05,2471.969970703125,2446.550048828125,2470.35009765625,2457.85009765625,3490260000.0,2457.85009765625
2017-09-06,2469.639892578125,2459.199951171875,2463.830078125,2465.5400390625,3374410000.0,2465.5400390625
2017-09-07,2468.6201171875,2460.2900390625,2468.06005859375,2465.10009765625,3353930000.0,2465.10009765625
2017-09-08,2467.110107421875,2459.39990234375,2462.25,2461.429931640625,3302490000.0,2461.429931640625
2017-09-09,,,,,,
2017-09-10,,,,,,
2017-09-11,2488.949951171875,2474.52001953125,2474.52001953125,2488.110107421875,3291760000.0,2488.110107421875
2017-09-12,2496.77001953125,2490.3701171875,2491.93994140625,2496.47998046875,3230920000.0,2496.47998046875
2017-09-13,2498.3701171875,2492.139892578125,2493.889892578125,2498.3701171875,3368050000.0,2498.3701171875
2017-09-14,2498.429931640625,2491.35009765625,2494.56005859375,2495.6201171875,3414460000.0,2495.6201171875
2017-09-15,2500.22998046875,2493.159912109375,2495.669921875,2500.22998046875,4853170000.0,2500.22998046875
2017-09-16,,,,,,
2017-09-17,,,,,,
2017-09-18,2508.320068359375,2499.919921875,2502.510009765625,2503.8701171875,3194300000.0,2503.8701171875
2017-09-19,2507.840087890625,2503.18994140625,2506.2900390625,2506.64990234375,3249100000.0,2506.64990234375
2017-09-20,2508.85009765625,2496.669921875,2506.840087890625,2508.239990234375,3530010000.0,2508.239990234375
2017-09-21,2507.159912109375,2499.0,2507.159912109375,2500.60009765625,2930860000.0,2500.60009765625
2017-09-22,2503.469970703125,2496.5400390625,2497.260009765625,2502.219970703125,2865960000.0,2502.219970703125
2017-09-23,,,,,,
2017-09-24,,,,,,
2017-09-25,2502.5400390625,2488.030029296875,2499.389892578125,2496.659912109375,3297890000.0,2496.659912109375
2017-09-26,2503.510009765625,2495.1201171875,2501.0400390625,2496.840087890625,3043110000.0,2496.840087890625
2017-09-27,2511.75,2495.909912109375,2503.300048828125,2507.0400390625,3456030000.0,2507.0400390625
2017-09-28,2510.81005859375,2502.929931640625,2503.409912109375,2510.06005859375,3168620000.0,2510.06005859375
2017-09-29,2519.43994140625,2507.989990234375,2509.9599609375,2519.360107421875,3211920000.0,2519.360107421875
2017-09-30,,,,,,
2017-10-01,,,,,,
2017-10-02,2529.22998046875,2520.39990234375,2521.199951171875,2529.1201171875,3199730000.0,2529.1201171875
2017-10-03,2535.1298828125,2528.85009765625,2530.340087890625,2534.580078125,3068850000.0,2534.580078125
2017-10-04,2540.530029296875,2531.800048828125,2533.47998046875,2537.739990234375,3017120000.0,2537.739990234375
2017-10-05,2552.510009765625,2540.02001953125,2540.860107421875,2552.070068359375,3045120000.0,2552.070068359375
2017-10-06,2549.409912109375,2543.7900390625,2547.43994140625,2549.330078125,2884570000.0,2549.330078125
2017-10-07,,,,,,
2017-10-08,,,,,,
2017-10-09,2551.820068359375,2541.60009765625,2551.389892578125,2544.72998046875,2483970000.0,2544.72998046875
2017-10-10,2555.22998046875,2544.860107421875,2549.989990234375,2550.639892578125,2960500000.0,2550.639892578125
2017-10-11,2555.239990234375,2547.949951171875,2550.6201171875,2555.239990234375,2976090000.0,2555.239990234375
2017-10-12,2555.330078125,2548.31005859375,2552.8798828125,2550.929931640625,3151510000.0,2550.929931640625
2017-10-13,2557.64990234375,2552.090087890625,2555.659912109375,2553.169921875,3149440000.0,2553.169921875
2017-10-14,,,,,,
2017-10-15,,,,,,
2017-10-16,2559.469970703125,2552.639892578125,2555.570068359375,2557.639892578125,2916020000.0,2557.639892578125
2017-10-17,2559.7099609375,2554.68994140625,2557.169921875,2559.360107421875,2889390000.0,2559.360107421875
2017-10-18,2564.110107421875,2559.669921875,2562.8701171875,2561.260009765625,2998090000.0,2561.260009765625
2017-10-19,2562.360107421875,2547.919921875,2553.389892578125,2562.10009765625,2990710000.0,2562.10009765625
2017-10-20,2575.43994140625,2567.56005859375,2567.56005859375,2575.2099609375,3384650000.0,2575.2099609375
2017-10-21,,,,,,
2017-10-22,,,,,,
2017-10-23,2578.2900390625,2564.330078125,2578.080078125,2564.97998046875,3211710000.0,2564.97998046875
2017-10-24,2572.179931640625,2565.580078125,2568.659912109375,2569.1298828125,3427330000.0,2569.1298828125
2017-10-25,2567.39990234375,2544.0,2566.52001953125,2557.14990234375,3874510000.0,2557.14990234375
2017-10-26,2567.070068359375,2559.800048828125,2560.080078125,2560.39990234375,3869050000.0,2560.39990234375
2017-10-27,2582.97998046875,2565.93994140625,2570.260009765625,2581.070068359375,3887110000.0,2581.070068359375
2017-10-28,,,,,,
2017-10-29,,,,,,
2017-10-30,2580.030029296875,2568.25,2577.75,2572.830078125,3658870000.0,2572.830078125
2017-10-31,2578.2900390625,2572.14990234375,2575.989990234375,2575.260009765625,3827230000.0,2575.260009765625
2017-11-01,2588.39990234375,2574.919921875,2583.2099609375,2579.360107421875,3813180000.0,2579.360107421875
