Category: All categories

Day,Bitcoin: (Worldwide)
2019-08-01,10
2019-08-02,11
2019-08-03,10
2019-08-04,10
2019-08-05,14
2019-08-06,14
2019-08-07,12
2019-08-08,12
2019-08-09,10
2019-08-10,10
2019-08-11,9
2019-08-12,10
2019-08-13,10
2019-08-14,11
2019-08-15,12
2019-08-16,10
2019-08-17,9
2019-08-18,9
2019-08-19,10
2019-08-20,10
2019-08-21,10
2019-08-22,10
2019-08-23,9
2019-08-24,9
2019-08-25,8
2019-08-26,9
2019-08-27,9
2019-08-28,10
2019-08-29,10
2019-08-30,66
2019-08-31,100
