Category: All categories

Day,Bitcoin: (Worldwide)
2019-05-01,33
2019-05-02,35
2019-05-03,44
2019-05-04,39
2019-05-05,38
2019-05-06,40
2019-05-07,46
2019-05-08,46
2019-05-09,51
2019-05-10,56
2019-05-11,73
2019-05-12,76
2019-05-13,84
2019-05-14,100
2019-05-15,83
2019-05-16,76
2019-05-17,76
2019-05-18,59
2019-05-19,64
2019-05-20,63
2019-05-21,61
2019-05-22,57
2019-05-23,52
2019-05-24,53
2019-05-25,49
2019-05-26,51
2019-05-27,74
2019-05-28,65
2019-05-29,60
2019-05-30,65
2019-05-31,59
